@relation 'weka-code-br-v6:-C 17'

@attribute 'ClsNmCtnServlet'  {false,true}
@attribute 'ImplicitMtd'  {false,true}
@attribute 'MtdNmCtnReadNotThread'  {false,true}
@attribute 'MtdCtnParams'  {false,true}
@attribute 'MtdNmCtnGetparameter'  {false,true}
@attribute 'ClsAnonymous'  {false,true}
@attribute 'MtdNmCtnRedirect'  {false,true}
@attribute 'ClsNmCtnResponse'  {false,true}
@attribute 'ParamTypCtnURL'  {false,true}
@attribute 'ClsNmCtnUrl'  {false,true}
@attribute 'ClsNmCtnRedirect'  {false,true}
@attribute 'ClsNmCtnWeb'  {false,true}
@attribute 'ClsNmCtnHttp'  {false,true}
@attribute 'MtdNmCtnSend'  {false,true}
@attribute 'InnerCls'  {false,true}
@attribute 'MtdNmCtnSendredirect'  {false,true}
@attribute 'ClsNmCtnRequest'  {false,true}
@attribute CWE601 {0,1}

@data
false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
