row,dataset_row,base_value,prediction,readInputPrefixFeature,getInputPrefixFeature,findInputPrefixFeature,removeInputPrefixFeature,parseInputPrefixFeature,copyMixedPrefixFeature,moveMixedPrefixFeature,doMixedPrefixFeature,writeTargetPrefixFeature,setTargetPrefixFeature,addTargetPrefixFeature,updateTargetPrefixFeature,saveTargetPrefixFeature,runTargetPrefixFeature,execTargetPrefixFeature,sendTargetPrefixFeature,logTargetPrefixFeature,printTargetPrefixFeature,evalTargetPrefixFeature,readInputNRMInvokes,getInputNRMInvokes,findInputNRMInvokes,removeInputNRMInvokes,parseInputNRMInvokes,listInputNRMInvokes,peekInputNRMInvokes,pollInputNRMInvokes,retrieveInputNRMInvokes,asInputNRMInvokes,pullInputNRMInvokes,elementInputNRMInvokes,copyMixedNRMInvokes,moveMixedNRMInvokes,doMixedNRMInvokes,writeTargetNRMInvokes,setTargetNRMInvokes,addTargetNRMInvokes,updateTargetNRMInvokes,saveTargetNRMInvokes,runTargetNRMInvokes,execTargetNRMInvokes,sendTargetNRMInvokes,logTargetNRMInvokes,printTargetNRMInvokes,evalTargetNRMInvokes,pushTargetNRMInvokes,insertTargetNRMInvokes,formatTargetNRMInvokes,offerTargetNRMInvokes,fatalTargetNRMInvokes,errorTargetNRMInvokes,infoTargetNRMInvokes,traceTargetNRMInvokes,warnTargetNRMInvokes,severeTargetNRMInvokes,fineTargetNRMInvokes,configTargetNRMInvokes,debugTargetNRMInvokes,generalNRCategoryFeature,generalParamNRCategoryFeature,generalReturnNRCategoryFeature,fileNRCategoryFeature,fileParamNRCategoryFeature,fileReturnNRCategoryFeature,logNRCategoryFeature,logParamNRCategoryFeature,logReturnNRCategoryFeature,webNRCategoryFeature,webParamNRCategoryFeature,webReturnNRCategoryFeature,dbNRCategoryFeature,dbParamNRCategoryFeature,dbReturnNRCategoryFeature,xmlNRCategoryFeature,xmlParamNRCategoryFeature,xmlReturnNRCategoryFeature,guiNRCategoryFeature,guiParamNRCategoryFeature,guiReturnNRCategoryFeature,StringParam,String[]Param,Byte[]Param,Char[]Param,primitiveParam,DFfromNRMtoThis,DFfromNRMtoRet,DFfromParamToNRM,DFfromParamToThis,DFfromNRMtoParam,concreteMethod,isInterface,isAbstractClass,isConcreteClass,inputPrefixType,targetPrefixTye,mixedPrefixType,generalClassNamePatternCat,fileClassNamePatternCat,logClassNamePatternCat,webClassNamePatternCat,xmlClassNamePatternCat,guiClassNamePatternCat,dbClassNamePatternCat
0,7917,0.2838963625805546,0.2888014734120722,-0.0038963687973744636,0.05496817911807809,0.0,0.0,-0.00232405668763778,0.0,0.0,0.0,-0.0034163074668602214,-0.019744526383176076,-0.0023690623859196126,-0.0019642625355008898,0.0,0.0,-0.003154309113982954,-0.0011439428369994886,-0.002787370846270955,0.0016202431894148893,0.0,0.0,-0.002406473706146822,0.0,-0.0031843816769201285,0.0,0.0,0.001939611852387966,0.0025101529284941547,-0.0012471529525911467,0.0,0.0,-0.0012772416009845886,0.0,0.0,0.00148857091636532,0.0,0.0016466189093285147,0.00437217353030655,0.0,-0.0008960168071921446,0.0,-0.0023021093158974255,0.0,0.0,-0.003010562499284781,0.0,0.0,0.0037908887900313577,-0.0014752295129431571,0.0,0.0,0.0,0.0018349916218112386,0.0008229615408576862,0.0,-0.0016378177091911595,0.0,0.001217006856767062,0.0,0.0,-0.035138683978535805,0.004210216234036818,0.0,0.007136612555838973,0.0,0.0,0.007845801271332602,-0.0019325327852393814,0.0,0.012176380489554415,0.0,0.0,0.010403784249821454,0.0,0.0,0.007847740582742402,0.0,0.0,0.007264944779906576,0.0,-0.023806276261155706,0.00900584500395567,-0.034314012516340205,0.0018731829988538696,0.00937722478193856,-0.00450921708046106,0.10805465920178717,0.0,-0.00446332850301734,0.0,0.0,-0.003502159819534831,0.0034920620544495384,0.0,0.02278685869477621,-0.06235252953035034,0.0,-0.04647037585224568,0.0,-0.006756195183423598,0.0019913738507151306,-0.003290470826856906,0.0,0.0
1,5578,0.2838963625805546,0.004397761554496338,0.0,-0.04558386207283822,0.0,0.0,-0.0017227033204006124,0.0,0.0,0.0,-0.002902402259307746,-0.013735077160506643,-0.0006727794876645851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005154259075429795,0.0,-0.0006757255108971645,0.0,-0.0006908786954053269,0.0,0.0,-0.0004547734195016124,0.0,-0.0005393408267554054,-0.00042500589489065724,0.0,0.0,0.0,0.0,-0.00010369659473610423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007906857490382102,0.0,0.0,0.0,-0.0005375408207101209,0.0,-0.00023596373274991492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004850543736892802,0.0,-0.01213427129621302,-0.0004156615875653579,0.0,-0.011016403640198815,0.0,0.0,-0.008270661732932194,-0.0003940210867370109,0.0,-0.010588019923159794,0.0,0.0,-0.010517222091000599,0.0,0.0,-0.0075453959010151365,0.0,0.0,-0.007266013798091008,0.0,-0.011647723763173263,-0.014571785593848566,-0.010308774167310401,-0.009086236822372517,-0.009739111858917652,0.0,-0.028686598202313195,0.0,0.0,0.0,0.0,0.0,0.0025411835793169423,0.0018172234544984996,-0.023259299272005172,-0.03303696702706984,0.0,0.0,0.0,-0.0022214829169833715,-0.0029450536215921445,0.0,0.0,-0.00013538793074008293
2,3074,0.2838963625805546,0.182640797176822,-0.007460376667238246,0.06110674836667988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020949113309865996,0.0,0.0,0.0,-0.011756213989570828,0.0,0.0,-0.008971626073926126,0.0,0.007517954138474382,0.0,-0.009048645190600916,0.013134271036285068,-0.008972287118258067,0.0,-0.010926928551705267,0.0,-0.006583983510302237,0.018978077124612074,0.0,0.0,0.0046634056534050955,-0.008913690619026771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401356857313126,0.0,0.011007285882407574,-0.004803186792487644,0.0,0.014170243220322037,0.0,-0.012613757358794036,0.007501298296530801,0.0,0.0,0.0,0.0,0.0,-0.007488850675898629,0.011983056111479653,0.005785182735753882,0.00476759972293473,0.008080440116640063,0.0,0.007230134853254691,0.003952089456093433,0.0,0.0,0.0,0.0,-0.007497747106132145,0.00759324162290748,0.0,0.012117635048913139,0.0,0.0,0.009132803814624082,0.006381554609644329,0.0,0.006937754589262314,0.0,0.0,0.01792069774736776,0.0,-0.05204917609678832,0.004938711031363549,0.007526581153591542,-0.005937222463371131,-0.008191696535961935,-0.007412410467596133,0.0356798437097164,0.0,0.0,0.0,-0.010950387536977054,-0.012151769441168633,0.0,0.004446999173298662,0.04432936831385429,-0.07338451754451021,0.0,-0.11193474947526592,0.0,0.0,-0.02120719127387233,-0.00927083323000875,0.0,-0.003063538761135312
3,8539,0.2838963625805546,0.9288884528811946,0.0,0.06952463117641297,0.0,0.0,0.0,0.0,0.0,0.0,0.3182640994020864,-0.012912069351079377,0.0,-0.00587586276930822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004680060457908277,0.0,0.006803049790992283,0.0,0.0,0.0,0.0,0.0,0.0,0.005557005985590966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008129325584336397,0.0,0.0,0.0,0.0,0.008163932935292186,0.0,0.0,0.0,0.005004479767978524,0.0,0.007642567822035189,0.0,0.0,-0.01848066734762453,0.0,0.0,-0.01008190910106046,0.0,0.0,-0.008091103831814854,0.0,0.0,-0.006746715607808139,0.0,0.0,-0.011862555382736664,0.0,0.0,-0.007008826891143279,0.0,0.0,-0.006355204989299191,0.0,-0.015900134662571466,-0.011137993687408695,-0.007297036847527962,-0.010530926076262624,-0.00846390679091382,0.011285866743899546,0.02815582415535907,0.0,0.008550224157061689,0.0,0.0,0.0,0.025429161069105585,0.024721584627235477,0.07462706573495559,0.20654941439591196,0.0,0.0,0.0,-0.008252621132658388,0.006520103048184844,0.0,0.0,0.0
4,7193,0.2838963625805546,0.005778208747575009,0.0,0.021277333146460745,0.0,0.0,-0.002123507685420421,0.0,0.0,0.0,-0.004789308595081316,-0.01688179574951042,0.0,0.0,0.0,-0.00046268403370319886,-0.000520393732476714,0.0,0.0,-0.00039748345969883836,0.0,0.0,-0.005399389994168887,-8.920261784022923e-05,0.0,0.0,-0.0004121661065479376,0.0,0.0,0.0,0.0006891000024879083,-0.00034800140756894535,0.0,0.0,-0.0003108097988572325,-0.0005517854988091761,-0.00039461977163768,0.0,0.0,-0.00016752433376302257,0.0,-0.000152591666118137,-0.00017015179902053184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002721199821898543,0.0006878602383829276,0.0,0.0,-0.00033696133828671205,-0.0002634400916328345,0.0,0.0005843379509425635,-0.0003444392554550337,0.0,0.0,-0.01988297970779865,-0.0004753344634254276,0.0,-0.017159068954345727,0.0,0.0,-0.012317081590344591,0.0,0.0,-0.01655523349659107,0.0,0.0,-0.0183747874722268,-0.00036293620648531144,0.0,-0.012303006502347556,0.0,0.0,-0.012061111554678884,0.0,-0.021669002802315467,-0.022302525794403474,-0.018796953474385033,-0.014014017900104201,-0.01683405856020125,0.0018836194014174414,-0.02469002157869517,-0.00032719173421589176,0.001953866195434525,0.0,-0.00027143674125500384,0.0010334564697545956,0.0031588706744359396,0.002154560480294371,0.005855729667976455,-0.043440463141925977,0.0,0.0,0.0007115721736537942,-0.008416294375724444,0.0,0.0,0.0,-0.003466577264963855
5,7040,0.2838963625805546,-5.551115123125783e-17,0.0,-0.04173844517872756,0.0,0.0,-0.0019263569328907416,0.0,0.0,0.0,-0.0016049903620940908,-0.015712819100484245,-0.0007372284254042432,0.0,0.0,0.0,0.0,0.0,-0.0009192209641978183,0.0,-0.00010296393574836058,0.0,8.134824574140344e-05,-0.0005964080846903148,0.0,0.0,-0.0008866968623889897,0.0,0.0,0.0,-0.00027549064121028445,0.0,0.0,0.0,0.0,-0.0007876480702239608,-0.000771559506539278,0.0,-0.00041503830968077555,0.0,0.0,-0.00018964316182568065,0.0,-0.0004464278153092834,-6.0843008347337646e-05,-0.00015057720738395484,0.0,0.0,0.0,-0.0004808896843326792,0.0,0.0,0.0,-0.0005369826050545398,0.0,0.0,-0.0006201056523491838,0.0,-0.0002844860016496175,0.0,0.0,-0.01347327661939576,-0.0007335192951531698,0.0,-0.010393926715032182,0.0,0.0,-0.008242018819018166,0.0,0.0,-0.011896610321671766,0.0,0.0,-0.011385203056507037,0.0,0.0,-0.007824883242888414,0.0,0.0,-0.006938664635660706,0.0,-0.012674653361650644,-0.014127182610020593,-0.01183652214701418,-0.009098434652880964,-0.010873223144495434,0.0,-0.01933304762579689,-0.0003587752607767398,0.0,-0.0010200843374204517,0.0,0.0,-0.008830771961385497,-0.00869300219511652,-0.019138447905325706,-0.025261320329536055,0.0,-0.000768069684350343,0.0,-0.0015079342433085483,0.0,0.0,0.0,-0.00032331715135741623
6,355,0.2838963625805546,0.0,0.0,-0.042809740184644215,0.0,0.0,-0.0029051511208863976,0.0,0.0,0.0,-0.001598474334323931,-0.01561688052052432,0.0,0.0,0.0,-0.0003940568604426756,-0.0003551469161280804,0.0,0.0,-0.0005649075423860906,0.0,-0.0002407419543848662,-0.0010506673160582461,0.0,-0.00015337210035627365,0.0,-0.0005564110440208945,0.0,0.0,0.0,0.0,-0.00023373332639931724,0.0,0.0,0.0,-0.0008779358175246578,-0.0005882866281014666,-0.0008766224071896087,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003190533749911707,0.0,0.0,-0.00041719604906729845,0.0,0.0,-0.0004271593668691026,-5.24341708826323e-05,0.0,-0.00039116476165487117,1.3781042140885419e-05,0.0,0.0,0.0,0.0,-0.0005559012480815191,0.0,-0.012576087349780413,-0.000252984101397586,0.0,-0.010290857116299576,0.0,0.0,-0.008201307665134066,0.0,0.0,-0.010831874174772993,0.0,0.0,-0.01101141478149879,-0.0001238305059081947,0.0,-0.0081322967696952,0.0,0.0,-0.00853745416940043,0.0,-0.012945167735605025,-0.014200680576145777,-0.010936233970949208,-0.009920424318963384,-0.011067248796197676,0.0,-0.019357702336789257,0.0,0.0,0.0,-0.00015502082893355793,-0.0004189409367856103,-0.009922022996787294,-0.008760526325924858,-0.017486323760602232,-0.024953538553003994,0.0,0.0,0.0,-0.0013599199351048783,0.0,0.0,0.0,-0.0014832488720978865
7,4876,0.2838963625805546,0.0,0.0,-0.049264309021394226,0.0,0.0,-0.0025470269551159624,0.0,0.0,0.0,-0.0026333357339004947,-0.014439374993959897,0.0,0.0,0.0,0.0,0.0,-0.00048768245942061204,0.0,0.0,0.0,-0.00023651928242247975,-0.001374687450915223,0.0,-0.00032025969633593177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007481336299804788,-0.00032970259556338487,0.0,0.0,0.0,0.0,-0.00010668167110049227,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005520954834260189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012823588393658124,-0.0002549891775995433,0.0,-0.010926760453604549,0.0,0.0,-0.00940398496118522,-0.0006471116246664658,0.0,-0.011237798449677308,0.0,0.0,-0.012366784878400514,-6.609744336442245e-05,0.0,-0.007833886420967539,0.0,0.0,-0.00806688736461445,0.0,-0.01356189304956265,-0.014690696021469132,-0.01214425860458265,-0.009728681270363368,-0.010700464407399265,0.001058067959104649,-0.02057092970808132,-0.0004433197781959434,0.0015092448989232755,0.0,0.0,0.0,0.0017230500695489483,0.0016452692023961098,-0.022163939607648876,-0.03481609453107421,0.0,0.0,0.0,-0.00318084046777169,0.0,-0.00043929832984519935,0.0,-0.0007238807932599678
8,5467,0.2838963625805546,1.1102230246251565e-16,-0.0005092203454364342,-0.0485560489214337,0.0,0.0,-0.0021531593725658002,0.0,0.0,0.0,-0.0031360149460971662,-0.014916961781066065,0.0,0.0,0.0,0.0,0.0,-0.0005043965864168765,-0.0010125889852719515,0.0,-0.0005172311484147002,-0.0004536969967261106,-0.0013470785235563231,-0.00041359588516482864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009661705543038781,-0.0006381138056596064,0.0,0.0,-0.0007702712797699929,0.0,1.7616498310817755e-05,-9.207950740956778e-05,5.082469422421071e-05,0.0,0.0,0.0,0.0,0.0,-0.00018422047825067828,-0.0004289369644353721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012220723476992693,0.0,0.0,-0.010980655093112423,0.0,0.0,-0.008566659660481282,0.0,0.0,-0.011459800244302557,0.0,0.0,-0.012212532268720643,0.0,0.0,-0.008390104466436338,0.0,0.0,-0.008502045561060715,0.0,-0.013850675203291963,-0.01464856588406215,-0.011792504194671904,-0.008762385807060612,-0.011434372433446319,0.0,-0.019367674065658168,0.0,0.001798906782092793,0.0,0.0,0.0,0.0024175244403983123,0.0016012129226592139,-0.021040829063679968,-0.03386171378477304,0.0,-0.0003580841945942947,0.0,-0.003894775933128166,0.0,-0.0002640182222744964,0.0,-0.0015745422785131136
9,5680,0.2838963625805546,0.010685707767693564,0.0027291032607113237,-0.11626239881557432,0.0,0.0,-0.0031995608072326502,0.0,0.0,0.0,-0.00478186956296292,-0.010951737981013522,0.0,-0.004370625229540635,0.0,0.0023897691609596574,-0.0009092814151044626,0.0,-0.0019553857070331924,0.002722015896103717,-0.0016563476287701287,0.0026379199354513738,-0.0038826145133242307,0.0,0.0,-0.002347718134153922,-0.001395855875629666,0.0014710473844951613,0.0021555449246945446,-0.002896990180245036,0.0011779574667931374,0.0,0.0,0.0010110158002953865,-0.0031162562981680115,-0.0015534130537257097,0.00256232741192706,0.002854829501290552,0.00481099476921165,0.0014168329663696686,-0.0012005798041031465,0.001730783981751622,0.001628891896931173,-0.0031877818271460944,0.001889537842307065,-0.005007658840531908,0.0014219701462946952,0.0,0.0,0.001001440621485321,0.0,-0.001820889297144979,0.0,0.0,-0.002378371524040121,-0.0023116710295479907,0.0,0.0031898541856981836,0.0,0.0023904829651861205,0.0,-0.011922842209988998,0.0012465588316464213,0.0,-0.007958384279514091,0.0,0.0,-0.00681288115391404,-0.0005888856906931429,0.0,-0.011900526963857702,0.0,0.0,-0.008731967429972932,0.0024659901289224317,0.0,-0.0055480074112021814,0.0,0.0,-0.0075688872283902146,0.0,-0.012506863950107097,-0.014037303638788096,-0.006051468323145189,-0.00743330426146703,-0.006441801383470588,0.0024042618962264346,-0.024333887908096923,-0.001041739949657517,0.002044795238992731,-0.0020860879225513044,0.0,0.0025293238376455024,0.0045641562358993805,0.0,-0.030422147211496605,-0.02795611929428774,0.0,0.0,-0.001918912718342811,0.04186559984545497,0.0013730873359513293,0.0012284711588348542,0.0,-0.003676192986455662
