Feature,LocalShapValAgg
readInputPrefixFeature,0.0009624499521885964
getInputPrefixFeature,0.0998991120213064
findInputPrefixFeature,0.014006806786965035
removeInputPrefixFeature,0.0007815855804186632
parseInputPrefixFeature,0.0
copyMixedPrefixFeature,0.0005371400601505563
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,0.0006175663575293263
writeTargetPrefixFeature,0.007918676274207717
setTargetPrefixFeature,0.006024752834746318
addTargetPrefixFeature,0.001144062504919836
updateTargetPrefixFeature,0.0
saveTargetPrefixFeature,0.0005475734768629332
runTargetPrefixFeature,0.0
execTargetPrefixFeature,0.0
sendTargetPrefixFeature,0.0
logTargetPrefixFeature,0.0
printTargetPrefixFeature,0.0
evalTargetPrefixFeature,0.0
readInputNRMInvokes,0.0007915498415571441
getInputNRMInvokes,0.004906681646666161
findInputNRMInvokes,0.0
removeInputNRMInvokes,0.0
parseInputNRMInvokes,0.0
listInputNRMInvokes,0.0
peekInputNRMInvokes,0.0
pollInputNRMInvokes,0.0
retrieveInputNRMInvokes,0.0
asInputNRMInvokes,0.0
pullInputNRMInvokes,0.0
elementInputNRMInvokes,0.0
copyMixedNRMInvokes,0.0
moveMixedNRMInvokes,0.0
doMixedNRMInvokes,0.0
writeTargetNRMInvokes,0.0007203397866087917
setTargetNRMInvokes,0.0007274407344723945
addTargetNRMInvokes,0.0
updateTargetNRMInvokes,0.0
saveTargetNRMInvokes,0.0
runTargetNRMInvokes,0.0
execTargetNRMInvokes,0.0
sendTargetNRMInvokes,0.0
logTargetNRMInvokes,0.0
printTargetNRMInvokes,0.0
evalTargetNRMInvokes,0.0006921775635461952
pushTargetNRMInvokes,0.0
insertTargetNRMInvokes,0.0
formatTargetNRMInvokes,0.0
offerTargetNRMInvokes,0.0
fatalTargetNRMInvokes,0.0
errorTargetNRMInvokes,0.0
infoTargetNRMInvokes,0.0
traceTargetNRMInvokes,0.0
warnTargetNRMInvokes,0.0
severeTargetNRMInvokes,0.0
fineTargetNRMInvokes,0.0
configTargetNRMInvokes,0.0
debugTargetNRMInvokes,0.0
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.017104217655825253
generalReturnNRCategoryFeature,0.0010858630181756475
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.01318524162641303
fileReturnNRCategoryFeature,0.001172255688748081
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.00873320556133028
logReturnNRCategoryFeature,0.0008769320151402628
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.013713666169383966
webReturnNRCategoryFeature,0.0011198847316663677
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.013191012068038264
dbReturnNRCategoryFeature,0.0
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.00779225549290739
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,0.007635201058019933
guiReturnNRCategoryFeature,0.0
StringParam,0.03780114149100667
String[]Param,0.013771292179516344
Byte[]Param,0.0132620065671463
Char[]Param,0.010163770916608538
primitiveParam,0.016276041952149788
DFfromNRMtoThis,0.005744087550110357
DFfromNRMtoRet,0.07043435272357138
DFfromParamToNRM,0.0
DFfromParamToThis,0.004424976255126773
DFfromNRMtoParam,0.0
concreteMethod,0.0
isInterface,0.0
isAbstractClass,0.005475895491758129
isConcreteClass,0.005296709809702045
inputPrefixType,0.03162078222304236
targetPrefixTye,0.03270183920900038
mixedPrefixType,0.0006379445184746072
generalClassNamePatternCat,0.0007589643021475103
fileClassNamePatternCat,0.0016509158903661148
logClassNamePatternCat,0.0030116904911784213
webClassNamePatternCat,0.0
xmlClassNamePatternCat,0.0008348518122810452
guiClassNamePatternCat,0.0
dbClassNamePatternCat,0.0020174942833746283
