row,dataset_row,base_value,prediction,readInputPrefixFeature,getInputPrefixFeature,findInputPrefixFeature,removeInputPrefixFeature,parseInputPrefixFeature,copyMixedPrefixFeature,moveMixedPrefixFeature,doMixedPrefixFeature,writeTargetPrefixFeature,setTargetPrefixFeature,addTargetPrefixFeature,updateTargetPrefixFeature,saveTargetPrefixFeature,runTargetPrefixFeature,execTargetPrefixFeature,sendTargetPrefixFeature,logTargetPrefixFeature,printTargetPrefixFeature,evalTargetPrefixFeature,readInputNRMInvokes,getInputNRMInvokes,findInputNRMInvokes,removeInputNRMInvokes,parseInputNRMInvokes,listInputNRMInvokes,peekInputNRMInvokes,pollInputNRMInvokes,retrieveInputNRMInvokes,asInputNRMInvokes,pullInputNRMInvokes,elementInputNRMInvokes,copyMixedNRMInvokes,moveMixedNRMInvokes,doMixedNRMInvokes,writeTargetNRMInvokes,setTargetNRMInvokes,addTargetNRMInvokes,updateTargetNRMInvokes,saveTargetNRMInvokes,runTargetNRMInvokes,execTargetNRMInvokes,sendTargetNRMInvokes,logTargetNRMInvokes,printTargetNRMInvokes,evalTargetNRMInvokes,pushTargetNRMInvokes,insertTargetNRMInvokes,formatTargetNRMInvokes,offerTargetNRMInvokes,fatalTargetNRMInvokes,errorTargetNRMInvokes,infoTargetNRMInvokes,traceTargetNRMInvokes,warnTargetNRMInvokes,severeTargetNRMInvokes,fineTargetNRMInvokes,configTargetNRMInvokes,debugTargetNRMInvokes,generalNRCategoryFeature,generalParamNRCategoryFeature,generalReturnNRCategoryFeature,fileNRCategoryFeature,fileParamNRCategoryFeature,fileReturnNRCategoryFeature,logNRCategoryFeature,logParamNRCategoryFeature,logReturnNRCategoryFeature,webNRCategoryFeature,webParamNRCategoryFeature,webReturnNRCategoryFeature,dbNRCategoryFeature,dbParamNRCategoryFeature,dbReturnNRCategoryFeature,xmlNRCategoryFeature,xmlParamNRCategoryFeature,xmlReturnNRCategoryFeature,guiNRCategoryFeature,guiParamNRCategoryFeature,guiReturnNRCategoryFeature,StringParam,String[]Param,Byte[]Param,Char[]Param,primitiveParam,DFfromNRMtoThis,DFfromNRMtoRet,DFfromParamToNRM,DFfromParamToThis,DFfromNRMtoParam,concreteMethod,isInterface,isAbstractClass,isConcreteClass,inputPrefixType,targetPrefixTye,mixedPrefixType,generalClassNamePatternCat,fileClassNamePatternCat,logClassNamePatternCat,webClassNamePatternCat,xmlClassNamePatternCat,guiClassNamePatternCat,dbClassNamePatternCat
0,71,0.29894601517458985,1.0,0.0,0.11210149712753815,0.012015930021455077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022940347554315896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02482151314703235,0.0,0.0,0.016897699485107418,0.0,0.0,0.005692094025687485,0.0016734767617238046,0.0,0.020861006377988784,0.0,0.0,0.015067422343229463,0.0,0.0,0.0038076477750427383,0.0,0.0,0.00951742563992984,0.0,0.0931971091509883,0.027334909320648422,0.022513111487630546,0.015238636285526281,0.05922848296610358,0.0024086280902118357,0.199587067260187,0.0,0.0,0.0,0.0,0.0,0.001007666905434212,0.004292852389625742,0.05808385810137347,-0.008851125759701785,0.0,0.0,0.0,0.0,0.0,0.0017050898881703963,0.0,0.0005579512790454544
1,187,0.29894601517458985,0.698525094941389,0.002500392949292813,0.10395298164659307,0.009058684760319635,0.0021260005541665515,0.0,0.0,0.0,0.0,-0.004449159157504578,-0.0039079586813269345,0.0009305653127839093,0.0,-0.0006299663887834296,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011969390173764013,-0.004082602890782215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007661892229883451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023582864714554928,-0.0027268992272052105,0.0,0.015564791334344323,-0.0036197885358334662,0.0,0.005169790846791046,0.0008046448533241847,0.0,0.014712206634923569,-0.0011803279214089332,0.0,0.016302634570948136,0.0,0.0,0.008304901422981039,0.0,0.0,0.005823325291181958,0.0,-0.022762749849268692,0.01700165461289449,0.014120172058250259,0.009636334075934882,0.012619366024851022,0.0052693599592995854,0.12284522256930083,0.0,0.004242730457143134,0.0,0.0,0.0,0.004941645026806001,0.006625548101234419,0.05374322213376771,-0.014388678273592642,0.0,0.0,0.002332475372096815,-0.004453554796890968,0.0,0.0,0.0,0.0
2,70,0.29894601517458985,0.15484494861812892,0.0,-0.20483175494021022,0.01184788264594627,0.0017676302802858196,0.0,0.001597718009119057,0.0,0.0,-0.0027266960309669324,-0.0018927202874476803,0.0,0.0,0.0010883634248123756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013374037368087846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00183159543075931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041751715750703,0.0009209475026865268,0.0,0.003261012209648981,0.0,0.0,0.0032102235419757016,0.0,0.0,0.008209979565888733,0.0,0.0,0.005434341648961467,0.0,0.0,0.004845165190545985,0.0,0.0,0.00308517752215664,0.0,0.06538444330293829,0.005231869776849888,0.00867054634180166,0.006445706495186651,0.018386106384818746,0.0018045914565522684,-0.04839683500302079,0.0,0.0027406517390651686,0.0,0.0,0.0,0.005178664029058922,0.0016977717905074035,-0.0327833050224935,-0.018162024570813784,0.0,0.0008507273872060162,0.0019951735697168755,-0.0013298914667400265,0.0,0.0,0.0,-0.002505285598680046
3,236,0.29894601517458985,0.022662264635749385,-0.0007742176722140853,-0.11914613727527754,0.006869485117833381,0.0,0.0,0.0016627261768504015,0.0,0.0010538622766604645,-0.001822113522739591,-0.001996471789611256,-0.0013485722111307935,0.0,0.0022409760274678405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004467883347404214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001154473807808558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003855843836471215,-0.0009794364375808465,0.0,0.000974965739017935,-0.001962206675970432,0.0,0.0010871499272764856,0.0010484739797260653,0.0,0.0057047501339543985,-0.0010571419789499085,0.0,0.002719760907730099,0.0,0.0,0.0028239630895034915,0.0,0.0,0.001703618730383743,0.0,-0.024143185460904774,0.0028605624717098575,0.0024896092657917942,0.0018101773497144742,-0.024232428300138616,-0.0009989715155940089,-0.06650106522060414,0.0,0.0,0.0,0.0,0.0,0.0021250948588101286,0.0,-0.04301312882632804,-0.024840732050774396,-0.0007328998920467381,0.0,0.00047183803397349945,0.0,0.0,0.0013844575233621925,0.0,0.0
4,135,0.29894601517458985,0.0,0.0,-0.1719281838636718,0.009158290625094847,0.0,0.0,0.003486147331717658,0.0,-0.003799398241406871,-0.0020543825492634503,-0.004412687092900872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017403299166344308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004858966620724135,0.0,0.0,0.003476861617706739,-0.0015206232706090487,0.0,0.002111899042029374,0.0,0.0,0.0037188412974291565,0.0,0.0,0.0047137964855959585,0.0,0.0,0.005046058487796979,0.0,0.0,0.006026671513817724,0.0,0.03853333791073758,0.002765535997862674,0.003322474419677055,0.0,-0.05778805603399092,0.0016985175487335782,-0.07320258543063754,0.0,0.0,0.0,0.0,0.0,0.0024226238783202317,0.0,-0.05060506596973666,-0.02242949257461209,-0.0012085203834285504,0.0,0.0015564694106063443,-0.0014658971036463637,0.0,-0.0015888486249186781,0.0,-0.0015790961402514236
5,203,0.29894601517458985,0.698525094941389,0.0004372095548960555,0.10471775343315644,0.009086731061248235,0.0014613997201303774,0.0,0.0,0.0,0.0009933294767896662,-0.003599016072643492,-0.0020350586429510255,0.00037656306701614817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014400772559604164,-0.003406677914169958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023700222951237557,-0.0016661525638807465,0.0,0.015948043797756543,-0.0018949713215632557,0.0,0.005161680406178665,0.0013194264497558184,0.0,0.015582673160307326,0.000959288645519869,0.0,0.01457536368119716,0.0,0.0,0.007605250069852894,0.0,0.0,0.007370059801962353,0.0,-0.027299490322671063,0.014551240897815005,0.017095022405103966,0.010330731242619323,0.010877183944341796,0.005618116086435374,0.12258380336576898,0.0,0.0038810130588221668,0.0,0.0,0.0,0.004780860310773013,0.008566051661786412,0.05303048017970522,-0.017511862360524908,0.0,0.0005986657787551942,0.002646784330219842,-0.004154379163582131,0.0,-0.0012681831544051891,0.0,0.0
6,214,0.29894601517458985,0.0,0.0,-0.059056594941958106,0.004480401872521419,-0.0005948926476283833,0.0,-0.0007362638296051371,0.0,-0.00020056802103103497,-0.004792374646098316,-0.0027390925524105477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002275740360522931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009355011121383749,-0.0002039204390893122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015882728607885307,0.0,0.0,-0.014384969638722179,0.0,0.0,-0.01085141026809357,-0.000999138256182275,0.0,-0.012490052070878553,-0.00041653506213878044,0.0,-0.0143691649490809,0.0,0.0,-0.009484025506452125,0.0,0.0,-0.009396287400244216,0.0,-0.01642740201438966,-0.015426897207123234,-0.014843119455683559,-0.01230190184847016,-0.015163903514707072,0.0,-0.0322830193058062,0.0,0.002123608333411393,0.0,0.0,0.0,0.0,0.0,-0.020557020837918362,-0.015711953497559352,-8.288538938049485e-05,0.0,-0.0004112888046579635,-0.0016368184998690357,0.0,-0.00033974184483429065,0.0,-0.0005548128499632266
7,231,0.29894601517458985,0.02266226463574944,-0.0031261685885144463,-0.11624426328044454,0.006801054096246842,-0.0013129715065822716,0.0,-0.001299489539734402,0.0,-0.0008389274929547401,-0.005225446247293257,-0.0037511733411915438,-0.0010389425798027316,0.0,-0.0014627167381982087,0.0,0.0,0.0,0.0,0.0,0.0,0.001163858568745035,-0.0026520639903158264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003985873570448811,0.0004901952848452932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011775860447972425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003349621553815097,0.0010917593143777856,0.0,0.0,0.0,0.0,0.002685144522760618,0.0014802851146341553,0.0,0.0035571837685052263,0.0012290009842488216,0.0,0.00449632377924896,0.0,0.0,0.0018768727646605906,0.0,0.0,0.003167177030979203,0.0,-0.02374908515140737,0.0020237574868286314,0.0016694640251220109,0.0023291488909402535,-0.019140602213774987,0.0,-0.06534861374787825,0.0,-0.0014485426727606798,0.0,0.0,0.0,0.0005364727032323778,0.0031163139574446443,-0.041920761364527576,-0.023801024601010353,-0.0008683430503404995,-0.0012525643352472016,0.0,0.0004968918483697354,0.0,-0.0014843331853460968,0.0,-0.0010992439187684222
8,149,0.29894601517458985,0.030175906970256294,0.0,-0.15887985536110721,0.008451311821222784,0.0,0.0,0.0,0.0,-0.0022370016378291833,-0.0036994611917661583,-0.004174874002613523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025090862336129495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007273593467520795,0.0,0.0,0.0,0.009845218495517992,0.0,0.0025033456290782337,0.0014293643372482717,0.0,0.003622321628525545,0.0,0.0,0.0031478742163572764,0.0,0.0,0.002914776905615981,0.0,0.0,0.003264891939612264,0.0,-0.03937074651914921,0.003517713917233595,0.0028134151824000288,0.0023793391519127865,0.004618695580638182,0.0,-0.043341599415316526,0.0,0.0,0.0,0.0,0.0,0.0018296890825484002,0.0021666591253618633,-0.05235455171162076,-0.021548151501945435,0.0,0.0007989219423891286,0.0,0.0,0.0,0.0,0.0,-0.001231913052555711
9,27,0.29894601517458985,0.7628344872754971,0.0016744432548104788,0.11226897208279432,0.009795860025359043,0.0009711335311623319,0.0,0.0,0.0,0.0,-0.003319569328721856,-0.0010657207969669135,0.0,0.0,-0.0007692259637233507,0.0,0.0,0.0,0.0,0.0,0.0,0.0016269017688392213,-0.0033896402535224797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023318906675841343,0.0008902527020299672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013167055203743268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015138225745765687,0.0,0.0,0.015651058175464007,-0.0012302730295741776,0.0,0.008129963320912962,0.0,0.0,0.017121015236761936,0.0,0.0,0.014718704043764033,0.0,0.0,0.007948337022823115,0.0,0.0,0.007919385179216755,0.0,0.0654198760428488,0.01899876691156262,0.015600274986317147,0.01189081385262118,0.009686801568412014,0.0007941645894920737,0.13217074893178876,0.0,0.002373285038055571,0.0,0.0,0.0,0.0014997152749006263,0.0003181863013188942,0.01548521081629581,-0.01264593208258592,0.0,0.0,0.0018609231545640694,-0.0028749402755913946,0.0,0.0,0.0,0.00031427072732781447
