Feature,GlobalSHAPValAgg_AllClasses
readInputPrefixFeature,0.0018386972525061508
getInputPrefixFeature,0.08154955214880365
findInputPrefixFeature,0.0
removeInputPrefixFeature,0.0
parseInputPrefixFeature,0.003174271957697809
copyMixedPrefixFeature,0.0
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,0.00010369836127789018
writeTargetPrefixFeature,0.011019534185597831
setTargetPrefixFeature,0.012641248285372166
addTargetPrefixFeature,0.0017641051809762504
updateTargetPrefixFeature,0.001724212752541269
saveTargetPrefixFeature,0.0
runTargetPrefixFeature,0.0016413593251088916
execTargetPrefixFeature,0.002175648247686916
sendTargetPrefixFeature,0.002609661494418525
logTargetPrefixFeature,0.0019953842355920023
printTargetPrefixFeature,0.0017770871227276847
evalTargetPrefixFeature,0.0017414441651986752
readInputNRMInvokes,0.0018228916193407908
getInputNRMInvokes,0.002417827219435819
findInputNRMInvokes,0.0016727451135222359
removeInputNRMInvokes,0.0016881072791955422
parseInputNRMInvokes,0.003107035326630215
listInputNRMInvokes,0.0016393267585638035
peekInputNRMInvokes,0.0016281907136579093
pollInputNRMInvokes,0.00178550756495906
retrieveInputNRMInvokes,0.0017294345842339479
asInputNRMInvokes,0.0015744049047121333
pullInputNRMInvokes,0.0016756836103374374
elementInputNRMInvokes,0.0017379692783347327
copyMixedNRMInvokes,0.0017633244319513071
moveMixedNRMInvokes,0.001663778795287853
doMixedNRMInvokes,0.002584926227745495
writeTargetNRMInvokes,0.010960137212810387
setTargetNRMInvokes,0.004971672949802479
addTargetNRMInvokes,0.001644421440180466
updateTargetNRMInvokes,0.001643621800811012
saveTargetNRMInvokes,0.0016828809051875678
runTargetNRMInvokes,0.0016147062613569342
execTargetNRMInvokes,0.0017377943042035122
sendTargetNRMInvokes,0.004206021284066519
logTargetNRMInvokes,0.0016344118713776546
printTargetNRMInvokes,0.0036265851256561048
evalTargetNRMInvokes,0.0015555796618005526
pushTargetNRMInvokes,0.00172110692673557
insertTargetNRMInvokes,0.0016949506057718118
formatTargetNRMInvokes,0.0016865412382887255
offerTargetNRMInvokes,0.0017001849117948085
fatalTargetNRMInvokes,0.0016138326562956332
errorTargetNRMInvokes,0.0016441748390418742
infoTargetNRMInvokes,0.0015960069497414926
traceTargetNRMInvokes,0.0017618515547459367
warnTargetNRMInvokes,0.0017001096084556602
severeTargetNRMInvokes,0.0016800653033073882
fineTargetNRMInvokes,0.0015868816454683392
configTargetNRMInvokes,0.0016822938348149128
debugTargetNRMInvokes,0.0015815654671333928
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.013980313402261696
generalReturnNRCategoryFeature,0.0023226411893321505
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.012226002909283287
fileReturnNRCategoryFeature,0.00032533151655764187
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.006593100756286917
logReturnNRCategoryFeature,0.0016691557779387994
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.024175559781718443
webReturnNRCategoryFeature,0.00023563540654172408
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.03135162053224893
dbReturnNRCategoryFeature,0.0016861715232922465
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.0035303236046665513
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,0.003532185936051315
guiReturnNRCategoryFeature,0.0
StringParam,0.017600657618561003
String[]Param,0.01747763505062802
Byte[]Param,0.01378036166254675
Char[]Param,0.018926414078776373
primitiveParam,0.004135949886729166
DFfromNRMtoThis,0.009357943127164266
DFfromNRMtoRet,0.07697117198720033
DFfromParamToNRM,0.001641165917168109
DFfromParamToThis,0.00933348106429551
DFfromNRMtoParam,0.0016392000381612272
concreteMethod,0.0015882055812391045
isInterface,0.0018074227919933038
isAbstractClass,0.003024456159492765
isConcreteClass,0.0032019559318908707
inputPrefixType,0.03231987451068425
targetPrefixTye,0.023112153615660918
mixedPrefixType,7.302556751646277e-05
generalClassNamePatternCat,0.001698439395212462
fileClassNamePatternCat,0.001628959654381044
logClassNamePatternCat,0.0017159489495328008
webClassNamePatternCat,0.006848059327914901
xmlClassNamePatternCat,0.0016324040059698594
guiClassNamePatternCat,2.285619105365356e-06
dbClassNamePatternCat,0.004938527193847092
