row,dataset_row,base_value,prediction,readInputPrefixFeature,getInputPrefixFeature,findInputPrefixFeature,removeInputPrefixFeature,parseInputPrefixFeature,copyMixedPrefixFeature,moveMixedPrefixFeature,doMixedPrefixFeature,writeTargetPrefixFeature,setTargetPrefixFeature,addTargetPrefixFeature,updateTargetPrefixFeature,saveTargetPrefixFeature,runTargetPrefixFeature,execTargetPrefixFeature,sendTargetPrefixFeature,logTargetPrefixFeature,printTargetPrefixFeature,evalTargetPrefixFeature,readInputNRMInvokes,getInputNRMInvokes,findInputNRMInvokes,removeInputNRMInvokes,parseInputNRMInvokes,listInputNRMInvokes,peekInputNRMInvokes,pollInputNRMInvokes,retrieveInputNRMInvokes,asInputNRMInvokes,pullInputNRMInvokes,elementInputNRMInvokes,copyMixedNRMInvokes,moveMixedNRMInvokes,doMixedNRMInvokes,writeTargetNRMInvokes,setTargetNRMInvokes,addTargetNRMInvokes,updateTargetNRMInvokes,saveTargetNRMInvokes,runTargetNRMInvokes,execTargetNRMInvokes,sendTargetNRMInvokes,logTargetNRMInvokes,printTargetNRMInvokes,evalTargetNRMInvokes,pushTargetNRMInvokes,insertTargetNRMInvokes,formatTargetNRMInvokes,offerTargetNRMInvokes,fatalTargetNRMInvokes,errorTargetNRMInvokes,infoTargetNRMInvokes,traceTargetNRMInvokes,warnTargetNRMInvokes,severeTargetNRMInvokes,fineTargetNRMInvokes,configTargetNRMInvokes,debugTargetNRMInvokes,generalNRCategoryFeature,generalParamNRCategoryFeature,generalReturnNRCategoryFeature,fileNRCategoryFeature,fileParamNRCategoryFeature,fileReturnNRCategoryFeature,logNRCategoryFeature,logParamNRCategoryFeature,logReturnNRCategoryFeature,webNRCategoryFeature,webParamNRCategoryFeature,webReturnNRCategoryFeature,dbNRCategoryFeature,dbParamNRCategoryFeature,dbReturnNRCategoryFeature,xmlNRCategoryFeature,xmlParamNRCategoryFeature,xmlReturnNRCategoryFeature,guiNRCategoryFeature,guiParamNRCategoryFeature,guiReturnNRCategoryFeature,StringParam,String[]Param,Byte[]Param,Char[]Param,primitiveParam,DFfromNRMtoThis,DFfromNRMtoRet,DFfromParamToNRM,DFfromParamToThis,DFfromNRMtoParam,concreteMethod,isInterface,isAbstractClass,isConcreteClass,inputPrefixType,targetPrefixTye,mixedPrefixType,generalClassNamePatternCat,fileClassNamePatternCat,logClassNamePatternCat,webClassNamePatternCat,xmlClassNamePatternCat,guiClassNamePatternCat,dbClassNamePatternCat
0,71,0.2666666666666666,0.6666666666666665,0.0,0.15806542001937932,0.00648331415947355,0.004322177035983136,0.0,-0.002140375632135301,0.0,0.0,-0.0025643886434196916,0.0,0.0,0.0,0.00037210711655324106,0.0,0.0,0.0,0.0,0.0,0.0,0.003114971404271664,-0.0031354383129658333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009790782455696082,0.0021591319959717156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026773869646657757,-0.004120717227800769,0.0,0.01870834626496044,-0.005648651695365025,0.0,-0.005370399843029445,0.005270941237734068,0.0,0.04262251611069748,-0.005089043205627465,0.0,0.05477472403373438,0.0,0.0,0.003066920926261073,0.0,0.0,0.002692946654188844,0.0,0.03625154416481765,-0.019541154386048934,0.01868432519758448,-0.009468435835779863,-0.00441945251726023,0.0016251286470882502,0.07882866318864784,0.0,0.0008757128526571669,0.0,0.0,0.0,0.0036315201276236864,0.0,-0.009638818805685252,-0.003958613229792877,0.0018056761769515285,0.002181908338696682,0.0011447441401174897,0.0004117103029697661,0.0,-0.0009225546733387925,0.0,0.0011706460196586055
1,187,0.2666666666666666,0.6666666666666665,0.0,0.1726850047642385,0.005367211060267754,0.0016442362170528838,0.0,-0.003976022216480724,0.0,0.0,-0.004154241275004117,0.0,0.0,0.0,0.003609176794900952,0.0,0.0,0.0,0.0,0.0,0.0,0.0030123649842817212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003083380033740076,-0.0018932543142422865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003221491010490145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028573643640074357,0.0,0.0,0.025603717297319546,-0.011104196105709011,0.0,-0.00408024722178656,0.004373323648182131,0.0,0.05382450320547619,0.0,0.0,0.0546980650268544,0.0,0.0,0.00523817946254274,0.0,0.0,0.0021794321047575002,0.0,-0.03688733808694504,-0.022467344039111534,0.020018952555218548,-0.00905647766569093,0.009147215115245183,0.0,0.12117574335862552,0.0,0.0,0.0,0.0,0.0,0.0,0.004193964773567829,-0.00921314228259548,-0.001721735166224181,-0.002569508873055929,-0.001916355717529794,0.0,0.0,0.0,0.0,0.0,0.0
2,70,0.2666666666666666,-1.1102230246251565e-16,0.002568564521889516,-0.2714958131844753,0.007466714168959614,-0.0019879296380617595,0.0,0.004147293569812548,0.0,0.0,-0.008198406799107822,-0.0017443614293398296,-0.004055098754252923,0.0,0.004148056237493099,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018154919397183997,-0.004003155591817127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030193402252012224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041563447350154425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149692470335239,0.0011086843053528005,0.0,0.014425010097093988,-0.017941499031769153,0.0,-0.016321866302553174,0.005637222731057313,0.0,0.024827898034415558,-0.00730099827548941,0.0,0.024839912391009182,0.0,0.0,0.005528360679284003,0.0,0.0,0.001955014516330818,0.0,0.044343681785775996,-0.02350947075828537,0.013413686364967273,-0.021780113861480307,0.0050628032238166755,0.004076647532752369,-0.061535189266448645,0.0,-0.007618419067582778,0.0,0.0,0.0,0.0014810037979518605,0.0,0.016413309504719295,-0.016806215971569297,0.0,0.0002872898417329737,0.003227539578572317,-0.0010178710573659037,0.0,-0.002897680352563381,0.0,0.0
3,236,0.2666666666666666,0.0,-0.00040029385022610726,-0.21833898128125123,0.002952596498920163,0.0010268827511412757,0.0,0.0,0.0,-0.0006666126007552378,-0.01013730678642137,-0.005195285575462317,-0.002988906485239807,0.0,-0.0013719581554566937,0.0,0.0,0.0,0.0,0.0,0.0,-5.8459851345613375e-05,-0.004650352044212681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004407426233818203,0.0011191272410175455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009628426785207389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01700390691044673,-0.0011271330472887092,0.0,0.012014377754239091,-0.009752114457476316,0.0,-0.008191812842023312,0.0044500599502196895,0.0,0.02609052818661989,-0.00588238647529658,0.0,0.023675115868711863,0.0,0.0,0.002065111111849604,0.0,0.0,0.0,0.0,-0.018326617472875676,-0.023991891167315694,0.011066581090006017,-0.020135218659264462,-0.003082649555450364,0.0033632627166296216,-0.03941632505757155,0.0,-0.005894849510516283,0.0,0.0,0.0,0.0,-0.001805870006017211,0.01672632395442769,-0.00932010600038582,-0.0024201319092259804,-0.0014402218257246076,0.001287288733921889,-0.0007455731207648789,0.0,0.0020566184813631547,0.0,-0.0015936590909512716
4,135,0.2666666666666666,-1.1102230246251565e-16,0.0014716669939935313,-0.2674579431586324,0.005517954546324843,0.0013014625879638588,0.0,0.0019759134629637504,0.0,0.0,-0.00894127332113406,-0.004007705740628943,0.0,0.0,-0.0033132914217479004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031918513561616573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001217082728286173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017955802773212473,0.0,0.0,0.015598736822269383,-0.015101528010165175,0.0,-0.014529463185916,0.004570214097294617,0.0,0.026162178732745168,-0.005944717336506354,0.0,0.026036339898958084,0.0,0.0,0.0,0.0,0.0,0.0010819775436463465,0.0,0.04053961084173972,-0.02159542388310196,0.014165287664767597,-0.021350296215259808,0.0,0.004984914247845199,-0.06178720441183082,0.0,-0.003931572617591087,0.0,0.0,0.0,0.0,-0.002903283260535038,0.017888509987088425,-0.013532143439984115,0.0,0.0,0.0023002546217468505,0.0019172650403705778,0.0,-0.003764141898688067,0.0,0.0
5,203,0.2666666666666666,0.6666666666666666,-0.0021807846879689165,0.17559847879613066,0.006696097815830826,0.0016624712548643067,0.0,0.0016291760364772134,0.0,0.0,-0.0021643779420561886,0.0032413508982234375,-0.002048885593535515,0.0,-0.002619418560659345,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007409724687361936,-0.0015465267662038561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026700707059487384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011600478810130828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026044717136267888,-0.005498287528261631,0.0,0.022461521605663132,-0.008828583079621402,0.0,-0.001255420523027948,0.0047813478240509594,0.0,0.049731213854315406,-0.003211285888685554,0.0,0.05572271693338599,0.0,0.0,0.007311994022197629,0.0,0.0,0.004402732720311596,0.0,-0.03401897820675316,-0.022316124151798938,0.023225571200929974,-0.010817612332417487,0.0063042181331353486,0.001181640900721163,0.11858471147329369,0.0,0.0008940856856515474,0.0,0.0,0.0,0.0014530796715393327,0.006954572415646775,-0.012498125430081993,-0.0031933822283580263,-0.002414153191626801,0.0021178337373176726,0.0012244387133973546,0.0007064794698501981,0.0,-0.0022443127633361448,0.0,-0.0005031003691111091
6,214,0.2666666666666666,1.1102230246251565e-16,0.0,-0.1258699122806807,0.006395665736605917,0.0,0.0,-0.003163933567396678,0.0,-0.002656704285830364,-0.009282980486914096,-0.0012248839541771188,0.0019286603293951778,0.0,-0.0013253783450432176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026236343184703613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017508117207297954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02072697455158942,0.0,0.0,-0.019972662048342762,-0.0011793260731022752,0.0,0.006638084963651825,0.0023744796561101177,0.0,-0.037618185837387866,-0.004985098123498034,0.0,-0.052034938976502895,0.0,0.0,-0.004653777370128117,0.0,0.0,-0.004249517420031523,0.0,-0.006032376265113981,0.032870632598143774,-0.024931055483530765,0.0252707747463764,-0.0017484618429782937,0.0,-0.024575196023771822,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025555366606611974,0.021146638477007932,-0.009561506097512508,-0.00181368555852122,0.0,-0.0011218729306749508,0.002366807048632291,0.0,0.0,0.0,0.0
7,231,0.2666666666666666,0.0,-0.001020211453181057,-0.21735861235203124,0.004244621399730249,0.0,0.0,0.0,0.0,0.0,-0.010279410465847398,-0.004932469083940553,-0.0018385982348007352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003027292531002555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009910319067168655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016829645300682677,-0.0011991294341055579,0.0,0.01466146194833866,-0.009527514173991251,0.0,-0.005997704752674385,0.002259608231945169,0.0,0.025476751240395473,-0.004540879626642507,0.0,0.024525346518673125,0.0,0.0,0.001448173293432197,0.0,0.0,0.0017129705003825712,0.0,-0.020420926517571585,-0.025312866540485576,0.009568468435910287,-0.02059227693214603,-0.002055786453228701,0.0028728536071265854,-0.03842030697085275,0.0,-0.007836448317816214,0.0,0.0,0.0,-0.0004717475081868257,-0.0016174439841700275,0.01548237430313603,-0.009703118621841492,-0.0011094893248693347,0.0010508381030608785,0.0018628783327973443,0.0,0.0,-0.0012215141780117277,0.0,-0.001169942331597229
8,149,0.2666666666666666,0.3333333333333333,0.002504531520112613,-0.21670688712621863,0.011053314333355274,-0.001811020996348213,0.0,0.0,0.0,0.0,-0.00905205668356222,0.0,-0.00227261590382469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165891692992583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033568231550321535,-0.002222350227408604,0.0,0.030428678373139034,0.20619727954762934,0.0,-0.0034006443575415554,0.0,0.0,0.044058395874088524,-0.004841116623968882,0.0,0.040565008578131515,0.0,0.0,0.0,0.0,0.0,0.006885286341926461,0.0,-0.053712949178039295,-0.01919372471080797,0.0236927034440366,-0.015261023709024974,0.0027570114716397496,0.007258644680511209,-0.05622296301245201,0.0,-0.0019616958547500713,0.0,0.0,0.0,0.004609056411383657,0.001563719069020704,0.054959775939492875,-0.014235624112705986,0.0,-0.0046605122244842735,-0.0009191282785820148,0.0,0.0,0.0013804256016711758,0.0,0.0
9,27,0.2666666666666666,0.6666666666666667,-0.0011788956483607482,0.1564035627211655,0.003429538079987585,0.0025078886554630044,0.0,-0.0023402854742973094,0.0,0.001739942626769112,-0.003950110906054089,0.0,0.0022329001984847867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021065710476012895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001912414822545827,-0.000722064097239791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397718649931363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026723528560342182,0.001198834345526248,0.0,0.01999142629032033,-0.00808661088919007,0.0,-0.0023853140875029107,0.006157901253591703,0.0,0.041329053645740285,-0.005392725070911767,0.0,0.05479439010636674,0.0,0.0,0.00744671179350807,0.0,0.0,0.00394357985690871,0.0,0.03993264154453586,-0.018921183999188875,0.02403815246758839,-0.010713779010673,0.0056799886150639325,0.0,0.07198660534687938,0.0,0.0,0.0,0.0,0.0,0.00236496624629757,0.0028349923853748455,-0.009675126228566167,-0.0012846529826784365,-0.003397953938372978,0.0,-0.003310344129449097,0.0,0.0,0.0020512526953961776,0.0,-0.00538701160199162
