Feature,LocalShapValAgg
readInputPrefixFeature,0.0028781871062008215
getInputPrefixFeature,0.04765120184809157
findInputPrefixFeature,0.009959079065528426
removeInputPrefixFeature,0.0016190675631785004
parseInputPrefixFeature,0.0
copyMixedPrefixFeature,0.0024607933507486916
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,0.0013634110527583085
writeTargetPrefixFeature,0.0045562492814725155
setTargetPrefixFeature,0.002815336495416644
addTargetPrefixFeature,0.0016476227850481485
updateTargetPrefixFeature,0.0
saveTargetPrefixFeature,0.0012019075944735094
runTargetPrefixFeature,0.0
execTargetPrefixFeature,0.0
sendTargetPrefixFeature,0.0
logTargetPrefixFeature,0.0
printTargetPrefixFeature,0.0
evalTargetPrefixFeature,0.0
readInputNRMInvokes,0.001374830063461788
getInputNRMInvokes,0.0013302049318968192
findInputNRMInvokes,0.0
removeInputNRMInvokes,0.0
parseInputNRMInvokes,0.0
listInputNRMInvokes,0.0
peekInputNRMInvokes,0.0
pollInputNRMInvokes,0.0
retrieveInputNRMInvokes,0.0
asInputNRMInvokes,0.0
pullInputNRMInvokes,0.0
elementInputNRMInvokes,0.0
copyMixedNRMInvokes,0.0
moveMixedNRMInvokes,0.0
doMixedNRMInvokes,0.0
writeTargetNRMInvokes,0.002143857418175632
setTargetNRMInvokes,0.0029085613005348948
addTargetNRMInvokes,0.0
updateTargetNRMInvokes,0.0
saveTargetNRMInvokes,0.0
runTargetNRMInvokes,0.0
execTargetNRMInvokes,0.0
sendTargetNRMInvokes,0.0
logTargetNRMInvokes,0.0
printTargetNRMInvokes,0.0
evalTargetNRMInvokes,0.0010646386591479625
pushTargetNRMInvokes,0.0
insertTargetNRMInvokes,0.0
formatTargetNRMInvokes,0.0
offerTargetNRMInvokes,0.0
fatalTargetNRMInvokes,0.0
errorTargetNRMInvokes,0.0
infoTargetNRMInvokes,0.0
traceTargetNRMInvokes,0.0
warnTargetNRMInvokes,0.0
severeTargetNRMInvokes,0.0
fineTargetNRMInvokes,0.0
configTargetNRMInvokes,0.0
debugTargetNRMInvokes,0.0
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.014697240490217287
generalReturnNRCategoryFeature,0.0015938824948242862
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.009755559127798479
fileReturnNRCategoryFeature,0.007921880897194419
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.006133212735451159
logReturnNRCategoryFeature,0.0018652647133878789
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.009382167073329204
webReturnNRCategoryFeature,0.010586423079419035
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.005148073471477244
dbReturnNRCategoryFeature,0.0
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.005745855694878172
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,0.005437259279214185
guiReturnNRCategoryFeature,0.0
StringParam,0.04923783366255774
String[]Param,0.024387726685644377
Byte[]Param,0.012231177360482936
Char[]Param,0.011646460065761087
primitiveParam,0.006969479487793043
DFfromNRMtoThis,0.013279386671930616
DFfromNRMtoRet,0.1647986553853037
DFfromParamToNRM,0.0
DFfromParamToThis,0.008651832535878794
DFfromNRMtoParam,0.0
concreteMethod,0.0
isInterface,0.0
isAbstractClass,0.0023761911487736407
isConcreteClass,0.0023602944976677015
inputPrefixType,0.052123283525109504
targetPrefixTye,0.015572744231895403
mixedPrefixType,0.0018137680160217099
generalClassNamePatternCat,0.0011095657629760702
fileClassNamePatternCat,0.0012816780786484776
logClassNamePatternCat,0.002285239917214063
webClassNamePatternCat,0.0
xmlClassNamePatternCat,0.0013034724349248036
guiClassNamePatternCat,0.0
dbClassNamePatternCat,0.002794868667740878
