Feature,LocalSHAPValAgg_AllClasses
readInputPrefixFeature,0.002404254822539694
getInputPrefixFeature,0.10125072240023936
findInputPrefixFeature,0.008908581193569003
removeInputPrefixFeature,0.002492555767320696
parseInputPrefixFeature,0.0
copyMixedPrefixFeature,0.0021207067398269193
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,0.001464365654904559
writeTargetPrefixFeature,0.012655962232945024
setTargetPrefixFeature,0.003183547147217826
addTargetPrefixFeature,0.002116376645408489
updateTargetPrefixFeature,0.0
saveTargetPrefixFeature,0.001441122188117487
runTargetPrefixFeature,0.0
execTargetPrefixFeature,0.0
sendTargetPrefixFeature,0.0
logTargetPrefixFeature,0.0
printTargetPrefixFeature,0.0
evalTargetPrefixFeature,0.0
readInputNRMInvokes,0.0014621030669475395
getInputNRMInvokes,0.0028489456559655842
findInputNRMInvokes,0.0
removeInputNRMInvokes,0.0
parseInputNRMInvokes,0.0
listInputNRMInvokes,0.0
peekInputNRMInvokes,0.0
pollInputNRMInvokes,0.0
retrieveInputNRMInvokes,0.0
asInputNRMInvokes,0.0
pullInputNRMInvokes,0.0
elementInputNRMInvokes,0.0
copyMixedNRMInvokes,0.0
moveMixedNRMInvokes,0.0
doMixedNRMInvokes,0.0
writeTargetNRMInvokes,0.0019928777880026944
setTargetNRMInvokes,0.0023909041258808324
addTargetNRMInvokes,0.0
updateTargetNRMInvokes,0.0
saveTargetNRMInvokes,0.0
runTargetNRMInvokes,0.0
execTargetNRMInvokes,0.0
sendTargetNRMInvokes,0.0
logTargetNRMInvokes,0.0
printTargetNRMInvokes,0.0
evalTargetNRMInvokes,0.0012722334744610009
pushTargetNRMInvokes,0.0
insertTargetNRMInvokes,0.0
formatTargetNRMInvokes,0.0
offerTargetNRMInvokes,0.0
fatalTargetNRMInvokes,0.0
errorTargetNRMInvokes,0.0
infoTargetNRMInvokes,0.0
traceTargetNRMInvokes,0.0
warnTargetNRMInvokes,0.0
severeTargetNRMInvokes,0.0
fineTargetNRMInvokes,0.0
configTargetNRMInvokes,0.0
debugTargetNRMInvokes,0.0
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.019343103368645902
generalReturnNRCategoryFeature,0.0025240085144064184
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.01583727971422788
fileReturnNRCategoryFeature,0.009748977962967533
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.010099812571613576
logReturnNRCategoryFeature,0.004870479873061073
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.035373088078679664
webReturnNRCategoryFeature,0.007246608444886894
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.03711599119449305
dbReturnNRCategoryFeature,0.0
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.004016386447036949
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,0.00394086098526894
guiReturnNRCategoryFeature,0.0
StringParam,0.03323072102709676
String[]Param,0.020128710481932138
Byte[]Param,0.01565525941192424
Char[]Param,0.019034149784522416
primitiveParam,0.004906536142403555
DFfromNRMtoThis,0.011089930986398466
DFfromNRMtoRet,0.1099152056382321
DFfromParamToNRM,0.0
DFfromParamToThis,0.007361208682946839
DFfromNRMtoParam,0.0
concreteMethod,0.0
isInterface,0.0
isAbstractClass,0.002157908617364795
isConcreteClass,0.0020810400103528606
inputPrefixType,0.04643950258930127
targetPrefixTye,0.010928355391163366
mixedPrefixType,0.0018508189560007236
generalClassNamePatternCat,0.0013321185409110566
fileClassNamePatternCat,0.0015267766410519232
logClassNamePatternCat,0.0019451622819934798
webClassNamePatternCat,0.0
xmlClassNamePatternCat,0.0014014807373400765
guiClassNamePatternCat,0.0
dbClassNamePatternCat,0.0023761222218262102
