Feature,GlobalSHAPValAgg_AllClasses
readInputPrefixFeature,0.0005859194237388346
getInputPrefixFeature,0.05842536093829583
findInputPrefixFeature,0.0
removeInputPrefixFeature,0.0
parseInputPrefixFeature,0.0026214447712239893
copyMixedPrefixFeature,0.0
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,9.301980975374864e-05
writeTargetPrefixFeature,0.0052586966935965936
setTargetPrefixFeature,0.019350862004466906
addTargetPrefixFeature,0.0005997564066462763
updateTargetPrefixFeature,0.0005283091484945924
saveTargetPrefixFeature,0.0
runTargetPrefixFeature,0.0007702418833207251
execTargetPrefixFeature,0.000784513021263168
sendTargetPrefixFeature,0.0010619458253110618
logTargetPrefixFeature,0.0007940382864509078
printTargetPrefixFeature,0.0005832935031053634
evalTargetPrefixFeature,0.0006108747100251655
readInputNRMInvokes,0.0007848252823562718
getInputNRMInvokes,0.002233552436253866
findInputNRMInvokes,0.0006559755309163648
removeInputNRMInvokes,0.0006316861692080559
parseInputNRMInvokes,0.0007042553192023439
listInputNRMInvokes,0.0005423390202665599
peekInputNRMInvokes,0.0005596223817723576
pollInputNRMInvokes,0.0005407872520436326
retrieveInputNRMInvokes,0.0005436170056045157
asInputNRMInvokes,0.0005024077742421736
pullInputNRMInvokes,0.0006186594856320651
elementInputNRMInvokes,0.0004957433619100505
copyMixedNRMInvokes,0.0005860397619478633
moveMixedNRMInvokes,0.0005675469193827192
doMixedNRMInvokes,0.0007155303708904294
writeTargetNRMInvokes,0.004168676414016037
setTargetNRMInvokes,0.000755146764118721
addTargetNRMInvokes,0.0006613366139740654
updateTargetNRMInvokes,0.0005203038610074293
saveTargetNRMInvokes,0.0005099875233796516
runTargetNRMInvokes,0.0005360967352513584
execTargetNRMInvokes,0.0005895371491689439
sendTargetNRMInvokes,0.0005800602645717818
logTargetNRMInvokes,0.0008692380625173419
printTargetNRMInvokes,0.0005982400948354705
evalTargetNRMInvokes,0.0005028084218195546
pushTargetNRMInvokes,0.0005094405504261762
insertTargetNRMInvokes,0.0005560642228150088
formatTargetNRMInvokes,0.0005109044804731963
offerTargetNRMInvokes,0.0004557964728933017
fatalTargetNRMInvokes,0.0005139836538862142
errorTargetNRMInvokes,0.0004936322552279532
infoTargetNRMInvokes,0.0005456738390891715
traceTargetNRMInvokes,0.00046623048709505476
warnTargetNRMInvokes,0.0004915867551968791
severeTargetNRMInvokes,0.0005002962520532327
fineTargetNRMInvokes,0.00046864622218439943
configTargetNRMInvokes,0.0005136141930751842
debugTargetNRMInvokes,0.0004900344508721007
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.011420211905510324
generalReturnNRCategoryFeature,0.0006267993419026338
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.008744904868741818
fileReturnNRCategoryFeature,0.0001350064032739427
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.006640067677860913
logReturnNRCategoryFeature,0.0005324440253882831
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.008676421381435104
webReturnNRCategoryFeature,0.00026331047869520267
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.008964355557210561
dbReturnNRCategoryFeature,0.0005523093977843798
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.006212261643548128
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,0.00604298003591431
guiReturnNRCategoryFeature,0.0
StringParam,0.016644787776332104
String[]Param,0.011494281718827893
Byte[]Param,0.010437466109812095
Char[]Param,0.007351183294883156
primitiveParam,0.011633508941536324
DFfromNRMtoThis,0.003486336933740222
DFfromNRMtoRet,0.04804288746061645
DFfromParamToNRM,0.0005444379456063337
DFfromParamToThis,0.002778306118985626
DFfromNRMtoParam,0.00044747172257680645
concreteMethod,0.0005051837114874515
isInterface,0.0010663080435468182
isAbstractClass,0.007121292201446454
isConcreteClass,0.00692826307065679
inputPrefixType,0.045977543210591304
targetPrefixTye,0.043931198870063026
mixedPrefixType,8.620594134074328e-05
generalClassNamePatternCat,0.0015020201616874505
fileClassNamePatternCat,0.0012565328779512257
logClassNamePatternCat,0.00391702229725916
webClassNamePatternCat,0.005310767410270464
xmlClassNamePatternCat,0.002598803133069622
guiClassNamePatternCat,9.764421194131312e-06
dbClassNamePatternCat,0.005147593628141164
