row,dataset_row,base_value,prediction,readInputPrefixFeature,getInputPrefixFeature,findInputPrefixFeature,removeInputPrefixFeature,parseInputPrefixFeature,copyMixedPrefixFeature,moveMixedPrefixFeature,doMixedPrefixFeature,writeTargetPrefixFeature,setTargetPrefixFeature,addTargetPrefixFeature,updateTargetPrefixFeature,saveTargetPrefixFeature,runTargetPrefixFeature,execTargetPrefixFeature,sendTargetPrefixFeature,logTargetPrefixFeature,printTargetPrefixFeature,evalTargetPrefixFeature,readInputNRMInvokes,getInputNRMInvokes,findInputNRMInvokes,removeInputNRMInvokes,parseInputNRMInvokes,listInputNRMInvokes,peekInputNRMInvokes,pollInputNRMInvokes,retrieveInputNRMInvokes,asInputNRMInvokes,pullInputNRMInvokes,elementInputNRMInvokes,copyMixedNRMInvokes,moveMixedNRMInvokes,doMixedNRMInvokes,writeTargetNRMInvokes,setTargetNRMInvokes,addTargetNRMInvokes,updateTargetNRMInvokes,saveTargetNRMInvokes,runTargetNRMInvokes,execTargetNRMInvokes,sendTargetNRMInvokes,logTargetNRMInvokes,printTargetNRMInvokes,evalTargetNRMInvokes,pushTargetNRMInvokes,insertTargetNRMInvokes,formatTargetNRMInvokes,offerTargetNRMInvokes,fatalTargetNRMInvokes,errorTargetNRMInvokes,infoTargetNRMInvokes,traceTargetNRMInvokes,warnTargetNRMInvokes,severeTargetNRMInvokes,fineTargetNRMInvokes,configTargetNRMInvokes,debugTargetNRMInvokes,generalNRCategoryFeature,generalParamNRCategoryFeature,generalReturnNRCategoryFeature,fileNRCategoryFeature,fileParamNRCategoryFeature,fileReturnNRCategoryFeature,logNRCategoryFeature,logParamNRCategoryFeature,logReturnNRCategoryFeature,webNRCategoryFeature,webParamNRCategoryFeature,webReturnNRCategoryFeature,dbNRCategoryFeature,dbParamNRCategoryFeature,dbReturnNRCategoryFeature,xmlNRCategoryFeature,xmlParamNRCategoryFeature,xmlReturnNRCategoryFeature,guiNRCategoryFeature,guiParamNRCategoryFeature,guiReturnNRCategoryFeature,StringParam,String[]Param,Byte[]Param,Char[]Param,primitiveParam,DFfromNRMtoThis,DFfromNRMtoRet,DFfromParamToNRM,DFfromParamToThis,DFfromNRMtoParam,concreteMethod,isInterface,isAbstractClass,isConcreteClass,inputPrefixType,targetPrefixTye,mixedPrefixType,generalClassNamePatternCat,fileClassNamePatternCat,logClassNamePatternCat,webClassNamePatternCat,xmlClassNamePatternCat,guiClassNamePatternCat,dbClassNamePatternCat
0,71,0.131743132859434,2.7755575615628914e-17,-0.0017775951759464862,0.014953946584145093,0.0,0.004641716733255719,0.0,0.0,0.0,0.0,0.0,0.0013888128233778415,-0.0003201149762419192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003368191769869996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012432546587779059,0.0,0.0,-0.007619293337248628,-0.0019976180830107737,0.0,-0.005407626537686783,-0.000631869641129665,0.0,-0.008764205629658418,0.0,0.0,-0.00858670512747158,0.0,0.0,-0.005332542246009066,0.0,0.0,-0.0043784340915927035,0.0,-0.03672906737351376,-0.011665694422296272,-0.009723734257357437,-0.005680790754340381,-0.05942290422881349,0.0,-0.015068395349322323,0.0,0.0,0.0,0.0,0.0,-0.0014893331924394624,0.0,0.04069063474004568,0.001684689790646455,0.0,0.0,-0.0009235892644869811,0.0023679164397246524,0.0,0.0,0.0,-0.002886981464154198
1,187,0.131743132859434,0.1434213950177213,-0.00029159854323048437,0.021256887120321925,-0.00023008974879833825,0.0,0.0,0.0003378204704744421,0.0,0.00028763893015043676,0.003442840613439466,0.0020691682902824653,-0.001199613032834814,0.0,-0.0007363752132724577,0.0,0.0,0.0,0.0,0.0,0.0,0.000739405555267748,0.0015852776901754677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041866793004891,0.0010160049641933931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020776945907646813,0.00018422792172337798,0.0,-0.011009571124948343,-0.0002367708412717057,0.0,-0.0031814255886466296,-0.0007656574462708737,0.0,-0.008563838249085295,-0.00033495564389086614,0.0,-0.009355537666395864,0.0,0.0,-0.004199960623968385,0.0,0.0,-0.00348001244183154,0.0,-0.020031868119319056,-0.0063236691896877105,-0.008764626692493257,-0.005110937013174443,-0.007715183523070908,-0.0037654486317517267,0.021208641651603303,0.0,-0.0021060279975676144,0.0,0.0,0.0,0.0036224042773702345,0.00231835409958194,0.05107787048147814,0.0033438404038535997,0.0,-0.001422778384050057,-0.0014471026712468153,0.002616779519912642,0.0,-0.00019816166445015752,0.0,-0.00046132725947035415
2,70,0.131743132859434,0.021748864880748647,0.0,-0.028432948614502126,-0.001996637766028258,0.00040029906324697635,0.0,0.0,0.0,0.0,0.0013479299865668478,0.0,-0.0012748308635793322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003746730326789024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005700709979794748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009071533710862179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009342704613018124,-0.0026771920900176462,0.0,-0.0023002944443558716,-0.0009416374371544642,0.0,0.001414753522377041,0.0,0.0,-0.006138189567930767,0.0,0.0,-0.0008517733486561604,0.0,0.0,0.0,0.0,0.0,0.0006551672914180969,0.0,0.012834875442899421,0.0004527926296465345,0.0,0.0,0.0021668112797411576,-0.002263016327094303,-0.010657330404685198,0.0,-0.000455391382171405,0.0,0.0,0.0,0.0,0.0014041148660989856,-0.07538943802917976,0.0050220671322327255,0.0004420129607718711,0.0006859777815634025,0.0008367650538215228,0.0,0.0,0.0,0.0,-0.0018037772213341796
3,236,0.131743132859434,-2.7755575615628914e-17,-0.0009417141284261423,-0.036373241142688965,-0.0008036571885637238,0.0,0.0,-0.0004909870469892794,0.0,0.0,0.0018763339848037223,0.0,-0.00043761003271771336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006327810099628539,-0.0015169888681220137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003821950421700797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002294825581237758,-0.0021937304712966866,0.0,-0.004414623780128686,0.0,0.0,0.00089111698169693,-0.0006711989954596083,0.0,-0.007722460690394199,-0.00016624525431202587,0.0,-0.0009289590190148658,0.0,0.0,-0.0002505079825104579,0.0,0.0,0.0,0.0,-0.004629258807672177,0.0,-0.0011653550800797246,-0.00029219585973271414,-0.0044914544322223115,-0.00041145057564801553,-0.017584427868634615,0.0,0.0018714764308212534,0.0,0.0,0.0,0.001567450546862837,0.0007138978731729945,-0.054742136348303924,0.0048866551752601755,0.0006546488682374438,0.0,0.0,0.0006331698975369825,0.0,-0.00019829494398059994,0.0,-0.0023671444874829306
4,135,0.131743132859434,2.7755575615628914e-17,-0.0010582044750923518,-0.03206389764629803,-0.001141680390714288,0.0,0.0,0.0,0.0,0.000715011676846716,0.0005998784891079348,0.0006526585924806541,-0.0004593387093448003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022211071357226603,-0.0017511283292823024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038682307824838727,-0.0006813952467105343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003093849375886482,-0.0012319138023072942,0.0,-0.0032039401117668065,-0.0014492249888721153,0.0,0.0007573202215706274,0.0,0.0,-0.00499662515298102,-0.0006469710369084904,0.0,-0.0014695400253817207,0.0,0.0,0.0,0.0,0.0,0.0007616429925553018,0.0,0.000678108035643452,-0.0016811226036423231,-0.0017848938624700104,-0.0007621845026456874,-0.017412356210829403,-0.00042818073893673955,-0.010749262483102389,0.0,0.0019524380218227909,0.0,0.0,0.0,0.0016385308010118335,0.000629105545539513,-0.057294734525389225,0.004316743102224724,0.0007652999688788228,0.0,-0.0007296269034261292,0.0,0.0,0.0,0.0,-0.0005108653933075802
5,203,0.131743132859434,0.14342139501772128,0.0,0.021263543794368508,-0.00029046181866736697,0.0006960273181020906,0.0,0.0,0.0,-0.00018958244454047836,0.0023044275873490712,0.0014954551467289297,-0.002329499642907342,0.0,0.0006637776532975966,0.0,0.0,0.0,0.0,0.0,0.0,0.0005780738392118879,0.002142173357878104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006334636396973198,0.0008470215168970421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004477401356783096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002223650115919727,0.0,0.0,-0.008741874976518932,0.0,0.0,-0.003390532222031213,0.0,0.0,-0.010773934603945209,0.0,0.0,-0.008771791850738122,0.0,0.0,-0.0038138262419903516,0.0,0.0,-0.004199171433211193,0.0,-0.019876801913782736,-0.006579500684186334,-0.009335615524685275,-0.004835350492625357,-0.006967708058125175,-0.003592990201350174,0.02243767120157185,0.0,-0.0024044574809611078,0.0,0.0,0.0,0.0025058232527342904,0.002157747212589783,0.052141583629110776,0.004314271438878466,-0.0007954827635340955,-0.0012987105620554111,-0.0027694886449369242,0.0022238798588127113,0.0,-0.00041599000901304593,0.0,-0.0006825164675372565
6,214,0.131743132859434,0.0034201904028777486,0.0,-0.02479192921847632,0.0,-0.0008607542681712447,0.0,0.0,0.0,0.0,0.0,0.0016513058138336604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009522941223612987,0.0,0.0,0.0008997901772633564,0.0,0.0008780289044033753,0.0,0.0,-0.0019839392469466217,0.0009530639545602459,0.0,0.0009244557319688211,0.0,0.0,0.0,0.0,0.0,0.0009615927220332572,0.0,0.0007861727388662122,0.0,0.0017582663789708593,0.0,0.0009499162118585202,0.0,-0.04695751045770947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0607906210058685,-0.0025741920415702766,0.0,0.000825705270789151,0.0,0.0,0.0,0.0,0.0,0.0
7,231,0.131743132859434,0.0,0.0004176418877910009,-0.03627518835252124,-0.000822573307256712,-0.00020604928483815928,0.0,0.000557427997398387,0.0,-0.0006077652140783887,0.002025308907110003,0.0012226956281275899,-0.0006991390957913972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020202765298472677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005684020904242189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002499846463492735,-0.0004741334407919353,0.0,-0.0046765946717357175,0.0,0.0,0.0006262338199132748,-0.0011359204758190473,0.0,-0.008138912691372659,0.0,0.0,-0.001119168164934045,0.0,0.0,0.0,0.0,0.0,0.0003618535829800392,0.0,-0.005212943844204461,-0.0003354506016424168,-0.0004572845783170695,-0.0016608820756017432,-0.0026745824672453704,0.00046354650199514707,-0.016478976253217356,0.0,0.0016935130140374663,0.0,0.0,0.0,0.0013740095989125682,0.0008850439670838069,-0.05580794659834149,0.0038986848536317095,0.0,-0.00047498333633899594,-0.000397800406781791,0.0,0.0,-0.00010561701159532645,0.0,-0.0024186556622254607
8,149,0.131743132859434,0.03517136586819741,-0.00021784755440887836,-0.024920650013583116,-0.0010230018913593454,-0.000225743128051263,0.0,0.0005266692335820691,0.0,0.0,0.0017517957707793863,0.0011468356346469961,-0.0006661172405505038,0.0,-0.00030506974993523803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001295179981373208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002031570469767497,-0.0014707773449600169,0.0,-0.003804013475679646,0.0160548551822515,0.0,0.0009526508114061877,-0.0005774766557304512,0.0,-0.008819430713866195,0.0,0.0,-0.00031967998825523905,0.0,0.0,0.0,0.0,0.0,0.000500764959511573,0.0,-0.015483782083548881,-0.0009081288929429812,-0.000528895374359727,0.0,0.0,-0.0006834492157631822,-0.013400736062460908,0.0,0.0010545365300229854,0.0,0.0,0.0,0.0019005407647369509,0.0015349872343608701,-0.05102087340192065,0.0031775402400938332,-0.0002290147835290974,-0.00032912356605424136,-0.00022027087382793463,-0.00046647808725130784,0.0,0.0,0.0,-0.00028877374298443004
9,27,0.131743132859434,0.18472722229339433,0.0,0.022836194741641665,-0.0006455791786412288,0.0,0.0,0.0,0.0,0.000974556754159859,0.003995401296135987,0.0012447992222539763,-0.0021803838354464825,0.0,-0.0007715583223134317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001963655576580684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013617244975431646,0.0006167456033164888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006976093112815737,0.0,-0.00421174635029565,0.0009954331693313753,0.0,-0.0038864534766525948,0.0,0.0,-0.007252801172414173,0.0,0.0,-0.0072621884451285305,0.0,0.0,-0.004948362474079813,0.0,0.0,-0.0035492701930497773,0.0,0.006332657936761555,-0.005883056996798964,-0.0057552680984989495,-0.004286270137932527,0.005049820708736157,0.0006130794330241622,-0.017468801316583196,0.0,0.0,0.0,0.0,0.0,0.003962002118609601,0.003518625108898546,0.06410307363898478,0.00517938943406507,0.0,-0.0005659229361114818,-0.001331653717725265,0.0023294565585044733,0.0,0.00042858830915354763,0.0,-0.0004959583382639493
