Feature,LocalShapValAgg
readInputPrefixFeature,0.001045890599531924
getInputPrefixFeature,0.09998030141952392
findInputPrefixFeature,0.013919762621458512
removeInputPrefixFeature,0.0007561735160931042
parseInputPrefixFeature,0.0
copyMixedPrefixFeature,0.000644773167600443
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,0.0005928858784605391
writeTargetPrefixFeature,0.007893413279335256
setTargetPrefixFeature,0.00599746802089274
addTargetPrefixFeature,0.0011715866259110344
updateTargetPrefixFeature,0.0
saveTargetPrefixFeature,0.0005596348154792414
runTargetPrefixFeature,0.0
execTargetPrefixFeature,0.0
sendTargetPrefixFeature,0.0
logTargetPrefixFeature,0.0
printTargetPrefixFeature,0.0
evalTargetPrefixFeature,0.0
readInputNRMInvokes,0.0006788585834888358
getInputNRMInvokes,0.004976981951667279
findInputNRMInvokes,0.0
removeInputNRMInvokes,0.0
parseInputNRMInvokes,0.0
listInputNRMInvokes,0.0
peekInputNRMInvokes,0.0
pollInputNRMInvokes,0.0
retrieveInputNRMInvokes,0.0
asInputNRMInvokes,0.0
pullInputNRMInvokes,0.0
elementInputNRMInvokes,0.0
copyMixedNRMInvokes,0.0
moveMixedNRMInvokes,0.0
doMixedNRMInvokes,0.0
writeTargetNRMInvokes,0.0006687515567259605
setTargetNRMInvokes,0.0007352465263838807
addTargetNRMInvokes,0.0
updateTargetNRMInvokes,0.0
saveTargetNRMInvokes,0.0
runTargetNRMInvokes,0.0
execTargetNRMInvokes,0.0
sendTargetNRMInvokes,0.0
logTargetNRMInvokes,0.0
printTargetNRMInvokes,0.0
evalTargetNRMInvokes,0.00044386143153454577
pushTargetNRMInvokes,0.0
insertTargetNRMInvokes,0.0
formatTargetNRMInvokes,0.0
offerTargetNRMInvokes,0.0
fatalTargetNRMInvokes,0.0
errorTargetNRMInvokes,0.0
infoTargetNRMInvokes,0.0
traceTargetNRMInvokes,0.0
warnTargetNRMInvokes,0.0
severeTargetNRMInvokes,0.0
fineTargetNRMInvokes,0.0
configTargetNRMInvokes,0.0
debugTargetNRMInvokes,0.0
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.01717273876848079
generalReturnNRCategoryFeature,0.0009653194520264924
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.013296536788763701
fileReturnNRCategoryFeature,0.0012129168159269394
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.008827102738651947
logReturnNRCategoryFeature,0.0008487461369445934
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.013717822460958068
webReturnNRCategoryFeature,0.001049267533931913
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.013296361887936132
dbReturnNRCategoryFeature,0.0
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.007827926587999618
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,0.007803778165486084
guiReturnNRCategoryFeature,0.0
StringParam,0.03797503622402789
String[]Param,0.013832144444646045
Byte[]Param,0.013290606746873683
Char[]Param,0.010033259363215656
primitiveParam,0.01631745564765902
DFfromNRMtoThis,0.005670066732754456
DFfromNRMtoRet,0.07030701545296261
DFfromParamToNRM,0.0
DFfromParamToThis,0.0042493846497078675
DFfromNRMtoParam,0.0
concreteMethod,0.0
isInterface,0.0
isAbstractClass,0.005473626081158003
isConcreteClass,0.005193932351690852
inputPrefixType,0.03182838343729399
targetPrefixTye,0.032858824362474205
mixedPrefixType,0.0006525454856680733
generalClassNamePatternCat,0.0009291699318059446
fileClassNamePatternCat,0.0017682128279653284
logClassNamePatternCat,0.0030383811731738595
webClassNamePatternCat,0.0
xmlClassNamePatternCat,0.0008723744989164806
guiClassNamePatternCat,0.0
dbClassNamePatternCat,0.0019396556700302175
