Feature,LocalSHAPValAgg_AllClasses
readInputPrefixFeature,0.000916650548795572
getInputPrefixFeature,0.08034477511622845
findInputPrefixFeature,0.00929950276535871
removeInputPrefixFeature,0.0006207820507724492
parseInputPrefixFeature,0.0
copyMixedPrefixFeature,0.0006449682317979056
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,0.0004957037107230448
writeTargetPrefixFeature,0.005261559937697305
setTargetPrefixFeature,0.003976679436618911
addTargetPrefixFeature,0.0010999504531342553
updateTargetPrefixFeature,0.0
saveTargetPrefixFeature,0.0004895775973921755
runTargetPrefixFeature,0.0
execTargetPrefixFeature,0.0
sendTargetPrefixFeature,0.0
logTargetPrefixFeature,0.0
printTargetPrefixFeature,0.0
evalTargetPrefixFeature,0.0
readInputNRMInvokes,0.0006368340156810931
getInputNRMInvokes,0.0045735198022636625
findInputNRMInvokes,0.0
removeInputNRMInvokes,0.0
parseInputNRMInvokes,0.0
listInputNRMInvokes,0.0
peekInputNRMInvokes,0.0
pollInputNRMInvokes,0.0
retrieveInputNRMInvokes,0.0
asInputNRMInvokes,0.0
pullInputNRMInvokes,0.0
elementInputNRMInvokes,0.0
copyMixedNRMInvokes,0.0
moveMixedNRMInvokes,0.0
doMixedNRMInvokes,0.0
writeTargetNRMInvokes,0.0007491319126990559
setTargetNRMInvokes,0.0006414981258561421
addTargetNRMInvokes,0.0
updateTargetNRMInvokes,0.0
saveTargetNRMInvokes,0.0
runTargetNRMInvokes,0.0
execTargetNRMInvokes,0.0
sendTargetNRMInvokes,0.0
logTargetNRMInvokes,0.0
printTargetNRMInvokes,0.0
evalTargetNRMInvokes,0.000422377216898331
pushTargetNRMInvokes,0.0
insertTargetNRMInvokes,0.0
formatTargetNRMInvokes,0.0
offerTargetNRMInvokes,0.0
fatalTargetNRMInvokes,0.0
errorTargetNRMInvokes,0.0
infoTargetNRMInvokes,0.0
traceTargetNRMInvokes,0.0
warnTargetNRMInvokes,0.0
severeTargetNRMInvokes,0.0
fineTargetNRMInvokes,0.0
configTargetNRMInvokes,0.0
debugTargetNRMInvokes,0.0
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.012948130979286121
generalReturnNRCategoryFeature,0.0011420307361410644
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.0100605853408112
fileReturnNRCategoryFeature,0.0016560723839050473
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.006111244554808774
logReturnNRCategoryFeature,0.0008514650073600835
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.010976453060905262
webReturnNRCategoryFeature,0.0008872820907286626
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.009248801547088467
dbReturnNRCategoryFeature,0.0
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.0053071746918342015
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,0.005363221147549154
guiReturnNRCategoryFeature,0.0
StringParam,0.03215315668340918
String[]Param,0.009509642490006876
Byte[]Param,0.009085576790475785
Char[]Param,0.006869025592911938
primitiveParam,0.012423588024724578
DFfromNRMtoThis,0.0052674302113052615
DFfromNRMtoRet,0.07092468262533873
DFfromParamToNRM,0.0
DFfromParamToThis,0.0036981815885856906
DFfromNRMtoParam,0.0
concreteMethod,0.0
isInterface,0.0
isAbstractClass,0.005412402186491718
isConcreteClass,0.0053540418288674394
inputPrefixType,0.05816203977463766
targetPrefixTye,0.02267970638575166
mixedPrefixType,0.0005963277985530055
generalClassNamePatternCat,0.0007770739484263578
fileClassNamePatternCat,0.0015860394324550319
logClassNamePatternCat,0.0024494331182844512
webClassNamePatternCat,0.0
xmlClassNamePatternCat,0.000711811811475662
guiClassNamePatternCat,0.0
dbClassNamePatternCat,0.0017598431286157939
