Feature,SHAP Value
SiSRMInvkWrite,0.04372053644316276
DbParamNR,0.03294483075401662
ClsNmCtnDb,0.021053025814947356
SoSRMInvkGet,0.020668552076878136
ParamTypCtnStr,0.013405569569383616
GeneralParamNR,0.013204329752640253
SiSRMInvkSevere,0.011997359164982228
FileParamNR,0.007418398728295224
ParamTypCtnByte[],0.0044520078318133795
ParamTypCtnChar[],0.004416871124603726
ClsNmCtnGeneral,0.003807938516960388
MixedPfxCopy,0.0023754211061244312
MixedPfxTyp,0.001960075873060855
GeneralRtnNR,0.0014984427266987663
ClsNmCtnLog,0.0014442520925523339
ClsNmCtnXml,0.0011777907036674695
SoSRMInvkList,0.0011504093703049514
DbRtnNR,0.001123977127813737
SoSRMInvkRead,0.0009147392324576273
IsAbstractCls,0.0005025858064651792
SiPfxAdd,0.0005003546132278883
SiPfxWrite,0.0003073465134374141
SiPfxUpdate,0.0002984268732214926
SiPfxExec,0.00020842233776976506
SoSRMInvkRemove,0.00020816062702230798
SiSRMInvkFine,7.202524503549523e-07
GuiParamNR,7.202524503549523e-07
MixedSRMInvkDo,0.0
MixedSRMInvkMove,0.0
SoPfxFind,0.0
MixedPfxMove,0.0
SoPfxRemove,0.0
SiSRMInvkAdd,0.0
SiSRMInvkSave,0.0
SoSRMInvkParse,0.0
SoSRMInvkFind,0.0
SiPfxEval,0.0
SoSRMInvkPeek,0.0
SoSRMInvkPoll,0.0
SiPfxSave,0.0
MixedPfxDo,0.0
tag,0.0
IsConcreteCls,0.0
ConcreteMtd,0.0
SRMDfParam,0.0
LogParamNR,0.0
LogRtnNR,0.0
WebRtnNR,0.0
DbNR,0.0
SiSRMInvkConfig,0.0
LogNR,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
SoSRMInvkRetrieve,0.0
MixedSRMInvkCopy,0.0
SiSRMInvkUpdate,0.0
SiSRMInvkRun,0.0
SiPfxRun,0.0
WebNR,0.0
SiSRMInvkError,0.0
SiSRMInvkWarn,0.0
FileNR,0.0
SiSRMInvkTrace,0.0
SiSRMInvkExec,0.0
SiSRMInvkLog,0.0
SiSRMInvkInfo,0.0
SiSRMInvkFormat,0.0
SiSRMInvkOffer,0.0
SiSRMInvkFatal,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPush,0.0
SiSRMInvkPrint,0.0
SiSRMInvkEval,0.0
ParamDfSRM,0.0
XmlRtnNR,0.0
GeneralNR,0.0
GuiRtnNR,0.0
GuiNR,0.0
XmlNR,0.0
SiPfxLog,-8.163012166512856e-07
SoPfxParse,-2.1616931489623625e-06
ParamTypCtnStr[],-8.91888031129967e-05
ClsNmCtnGui,-0.0007256342251726194
SoSRMInvkElement,-0.0008304127013320055
SiPfxPrint,-0.0009096384128334384
SiSRMInvkDebug,-0.0013143800497357437
SiPfxSend,-0.001819585250865799
SoPfxGet,-0.002081290121254714
IsInterface,-0.002484990320529172
FileRtnNR,-0.0024963949929347543
SiSRMInvkSet,-0.0026078321854846372
SoPfxRead,-0.0029948040015719823
SiPfxSet,-0.00400443906308257
SiSRMInvkSend,-0.004069150893931606
PrimitiveParam,-0.005368317916473073
WebParamNR,-0.005380914757380392
MtdNm,-0.008633361613965253
XmlParamNR,-0.009971337335067096
SRMDfThis,-0.017487776417228984
ClsNmCtnFile,-0.019123249852140072
ClsNmCtnWeb,-0.019255277429390392
ParamDfThis,-0.024627163296157637
SoPfxTyp,-0.03106347116809386
SRMDfRet,-0.03303817555934335
SiPfxTyp,-0.06767328892729069
