Feature,SHAP Value,instance
SoPfxRead,0.0285360704032747,0
SoPfxTyp,0.0205170962298572,0
SiSRMInvkTrace,0.0130031082486028,0
FileRtnNR,0.0120792224263519,0
SiSRMInvkRun,0.0072872560409627,0
SRMDfRet,0.0051965211085219,0
MixedPfxTyp,0.0038458379564174,0
ClsNmCtnGeneral,0.0020424592711117,0
SiSRMInvkSend,0.0016649709263412,0
GeneralRtnNR,0.0012484680006365,0
DbRtnNR,0.0010552037441523,0
ClsNmCtnXml,0.0006244020446001,0
SiPfxTyp,0.0004014238310226,0
SoPfxGet,0.0003333381910628,0
SoPfxParse,0.0001237089769142,0
SiPfxSend,0.0001169452340632,0
SoSRMInvkFind,0.0,0
SiSRMInvkUpdate,0.0,0
MixedPfxDo,0.0,0
SiPfxSave,0.0,0
SiPfxUpdate,0.0,0
SoSRMInvkPeek,0.0,0
SoSRMInvkRetrieve,0.0,0
SoSRMInvkList,0.0,0
SiPfxLog,0.0,0
SiSRMInvkSave,0.0,0
MixedSRMInvkMove,0.0,0
SiSRMInvkAdd,0.0,0
MixedSRMInvkDo,0.0,0
MixedSRMInvkCopy,0.0,0
SiPfxEval,0.0,0
SiPfxPrint,0.0,0
SiPfxRun,0.0,0
SoSRMInvkParse,0.0,0
SoSRMInvkRemove,0.0,0
SoSRMInvkPull,0.0,0
SoSRMInvkElement,0.0,0
MixedPfxMove,0.0,0
MixedPfxCopy,0.0,0
SoPfxRemove,0.0,0
SoPfxFind,0.0,0
SRMDfParam,0.0,0
ConcreteMtd,0.0,0
tag,0.0,0
DbNR,0.0,0
WebNR,0.0,0
LogRtnNR,0.0,0
WebRtnNR,0.0,0
XmlParamNR,0.0,0
ParamDfSRM,0.0,0
GuiParamNR,0.0,0
SoSRMInvkAs,0.0,0
SiSRMInvkFormat,0.0,0
SiSRMInvkEval,0.0,0
SiSRMInvkPush,0.0,0
SiSRMInvkLog,0.0,0
SiSRMInvkExec,0.0,0
SiSRMInvkFine,0.0,0
SiSRMInvkSevere,0.0,0
SiSRMInvkConfig,0.0,0
SiSRMInvkDebug,0.0,0
FileNR,0.0,0
GeneralNR,0.0,0
LogParamNR,0.0,0
LogNR,0.0,0
WebParamNR,0.0,0
SiSRMInvkOffer,0.0,0
SiSRMInvkError,0.0,0
SiSRMInvkFatal,0.0,0
SiSRMInvkInfo,0.0,0
SiSRMInvkWarn,0.0,0
SiSRMInvkInsert,0.0,0
SiSRMInvkPrint,0.0,0
GuiNR,0.0,0
XmlRtnNR,0.0,0
GuiRtnNR,0.0,0
XmlNR,0.0,0
SiPfxExec,-1.9238904919866018e-07,0
SiPfxAdd,-5.656164800485475e-07,0
SiPfxWrite,-1.4405049007168436e-06,0
ClsNmCtnDb,-6.911242819634435e-05,0
DbParamNR,-0.0002975081444345,0
MtdNm,-0.0003822839527576,0
SiSRMInvkSet,-0.0008306904661271,0
SiPfxSet,-0.0012091562423237,0
IsAbstractCls,-0.0019886570133891,0
ClsNmCtnGui,-0.0024529981994255,0
ParamTypCtnStr[],-0.0032054090276007,0
GeneralParamNR,-0.0047578239540724,0
IsConcreteCls,-0.004776852138051,0
ParamTypCtnByte[],-0.0048754622249465,0
SiSRMInvkWrite,-0.0053264106852102,0
IsInterface,-0.0076142576398906,0
SoSRMInvkRead,-0.0091680678367878,0
SoSRMInvkPoll,-0.0092075358980815,0
ParamTypCtnStr,-0.010014051909405,0
PrimitiveParam,-0.0120190667335887,0
ClsNmCtnLog,-0.0142116501703595,0
FileParamNR,-0.0187901989115046,0
ParamTypCtnChar[],-0.0216860097798565,0
ClsNmCtnFile,-0.0227674819571681,0
ClsNmCtnWeb,-0.0267713866648811,0
ParamDfThis,-0.0348039836073741,0
SoSRMInvkGet,-0.0495852236994268,0
SRMDfThis,-0.0513761250191516,0
ClsNmCtnDb,0.0577537713377231,1
SoSRMInvkGet,0.0554532522439737,1
ParamTypCtnStr,0.0325833969330361,1
DbParamNR,0.0233164421699902,1
SRMDfRet,0.0226209848414756,1
GuiParamNR,0.0222034438134629,1
SiSRMInvkWrite,0.0141568777866961,1
SRMDfThis,0.0094520265374966,1
ClsNmCtnGeneral,0.0071553214149156,1
SiSRMInvkAdd,0.0063645448460998,1
ParamTypCtnChar[],0.0035663303996388,1
MixedPfxCopy,0.0034107144680554,1
ClsNmCtnLog,0.0026789510113199,1
FileParamNR,0.0021395477173283,1
MixedPfxTyp,0.0014251468369828,1
SoPfxRead,0.0010547360182965,1
ClsNmCtnXml,0.000998572653079,1
SiSRMInvkFormat,0.000955577026225,1
DbRtnNR,0.0008100541543178,1
SiPfxAdd,0.0007465570128392,1
SoPfxParse,0.0004975351603183,1
SiPfxUpdate,0.000448585360028,1
SiSRMInvkRun,0.0001266572562186,1
MixedSRMInvkCopy,0.0,1
MixedPfxDo,0.0,1
SiSRMInvkSave,0.0,1
SoSRMInvkElement,0.0,1
SoPfxFind,0.0,1
MixedPfxMove,0.0,1
SoPfxGet,0.0,1
SoPfxRemove,0.0,1
SiPfxExec,0.0,1
SiPfxRun,0.0,1
SoSRMInvkParse,0.0,1
SoSRMInvkRemove,0.0,1
SoSRMInvkPeek,0.0,1
SoSRMInvkAs,0.0,1
SoSRMInvkList,0.0,1
SoSRMInvkFind,0.0,1
SiPfxEval,0.0,1
SiPfxSave,0.0,1
ConcreteMtd,0.0,1
SRMDfParam,0.0,1
tag,0.0,1
ParamDfSRM,0.0,1
XmlRtnNR,0.0,1
GuiRtnNR,0.0,1
WebRtnNR,0.0,1
LogRtnNR,0.0,1
GeneralNR,0.0,1
SoSRMInvkRetrieve,0.0,1
MixedSRMInvkDo,0.0,1
SoSRMInvkPoll,0.0,1
MixedSRMInvkMove,0.0,1
SoSRMInvkPull,0.0,1
SiSRMInvkPush,0.0,1
SiSRMInvkExec,0.0,1
DbNR,0.0,1
SiSRMInvkFine,0.0,1
GeneralRtnNR,0.0,1
SiSRMInvkDebug,0.0,1
FileNR,0.0,1
SiSRMInvkEval,0.0,1
SiSRMInvkPrint,0.0,1
SiSRMInvkLog,0.0,1
SiSRMInvkTrace,0.0,1
SiSRMInvkFatal,0.0,1
SiSRMInvkError,0.0,1
SiSRMInvkInfo,0.0,1
SiSRMInvkSevere,0.0,1
SiSRMInvkWarn,0.0,1
SiSRMInvkInsert,0.0,1
SiSRMInvkOffer,0.0,1
GuiNR,0.0,1
LogNR,0.0,1
WebNR,0.0,1
XmlNR,0.0,1
SiPfxLog,-1.1530028831072126e-06,1
LogParamNR,-8.306569660776475e-06,1
IsAbstractCls,-0.0002411652514003,1
IsInterface,-0.0004476170558425,1
IsConcreteCls,-0.0005224845698665,1
WebParamNR,-0.001247477244017,1
SiPfxSend,-0.0012504393602505,1
ParamTypCtnStr[],-0.001527593914628,1
SiPfxSet,-0.0017242920679981,1
SiSRMInvkConfig,-0.0017752090242092,1
SiSRMInvkSet,-0.0021394709894852,1
SiSRMInvkSend,-0.0021398557675836,1
SiPfxWrite,-0.0023609580915026,1
SiSRMInvkUpdate,-0.0024323158960865,1
SoSRMInvkRead,-0.002485759935218,1
FileRtnNR,-0.002494954488034,1
ClsNmCtnGui,-0.0025508402183721,1
SiPfxPrint,-0.007497721599433,1
PrimitiveParam,-0.0079048231606139,1
XmlParamNR,-0.0103174922635429,1
ParamTypCtnByte[],-0.0112588166413021,1
MtdNm,-0.0208539340919075,1
ClsNmCtnFile,-0.0237822589020212,1
ClsNmCtnWeb,-0.0315522580684949,1
GeneralParamNR,-0.0371666789575384,1
SoPfxTyp,-0.0420277905010429,1
ParamDfThis,-0.0598203903529796,1
SiPfxTyp,-0.0696787570159326,1
GeneralParamNR,0.036514239763451,2
ParamDfThis,0.0263926581266797,2
WebParamNR,0.0218797958350605,2
SiSRMInvkWrite,0.0173231376555329,2
SRMDfThis,0.013192824376438,2
ParamTypCtnStr,0.0083019327230817,2
SRMDfRet,0.0055108833015833,2
SiSRMInvkPush,0.0044837480342733,2
SiSRMInvkFatal,0.0034286369453463,2
ClsNmCtnLog,0.0025219968468633,2
GuiParamNR,0.0023489150947053,2
ParamTypCtnChar[],0.001866034067577,2
DbRtnNR,0.0015357153543183,2
MixedPfxCopy,0.0014267891697997,2
MixedPfxTyp,0.0011676903912045,2
SiPfxWrite,0.0007233939970755,2
SiPfxSet,0.0007030610846794,2
ClsNmCtnXml,0.0006898101551221,2
PrimitiveParam,0.0006696152576895,2
ClsNmCtnGeneral,0.0006250708566633,2
SiSRMInvkOffer,0.0004818224743029,2
FileParamNR,0.000396508740432,2
SiSRMInvkDebug,0.0003406131504907,2
SiPfxSend,0.0003187667158019,2
SoSRMInvkRemove,0.0003042266443172,2
SiPfxUpdate,0.0002734221911562,2
ParamTypCtnByte[],0.0002604792688226,2
SoPfxGet,0.0002414734363076,2
GeneralRtnNR,0.0001785143386008,2
SiPfxAdd,0.0001236196222144,2
ClsNmCtnDb,7.309906126865516e-05,2
SoSRMInvkPull,1.839827967978908e-07,2
MixedSRMInvkCopy,0.0,2
SiPfxExec,0.0,2
SiPfxEval,0.0,2
SiSRMInvkUpdate,0.0,2
MixedSRMInvkMove,0.0,2
SoPfxFind,0.0,2
SoPfxRemove,0.0,2
MixedPfxDo,0.0,2
