Feature,SHAP Value
SiSRMInvkWrite,0.11197333609058531
GeneralParamNR,0.10513041480376382
SRMDfRet,0.05990744531632396
SiSRMInvkSevere,0.02972804022962444
ClsNmCtnFile,0.011611505968745162
ClsNmCtnWeb,0.011293555767543803
XmlParamNR,0.011122566354616018
SoSRMInvkElement,0.011002007496132504
ClsNmCtnGeneral,0.007357510669241812
ClsNmCtnLog,0.007027167879266577
SoSRMInvkList,0.005456461530563089
SiPfxSend,0.0032825985272210284
ParamDfThis,0.002978445843509068
SiSRMInvkSet,0.0028936864557000397
SiSRMInvkSend,0.0024470008303936613
DbParamNR,0.001356948441699049
SiPfxExec,0.0008333320850621787
FileRtnNR,0.0008321319415450258
ClsNmCtnGui,0.0007135566902991136
SoSRMInvkRemove,0.00041628350096571676
SoSRMInvkRead,0.0002496499284713738
IsInterface,4.057075126090437e-05
SoPfxGet,9.606138339085524e-07
MixedSRMInvkCopy,0.0
SoSRMInvkPull,0.0
SiSRMInvkRun,0.0
SiSRMInvkUpdate,0.0
MixedSRMInvkDo,0.0
MixedSRMInvkMove,0.0
MixedPfxDo,0.0
SoPfxRemove,0.0
SoPfxFind,0.0
MixedPfxMove,0.0
SoSRMInvkParse,0.0
SoSRMInvkPoll,0.0
SoSRMInvkAs,0.0
SoSRMInvkRetrieve,0.0
SiPfxEval,0.0
SoSRMInvkFind,0.0
SiPfxSave,0.0
SiPfxRun,0.0
IsConcreteCls,0.0
tag,0.0
SRMDfParam,0.0
XmlNR,0.0
GuiRtnNR,0.0
LogParamNR,0.0
WebRtnNR,0.0
DbNR,0.0
SiSRMInvkConfig,0.0
ConcreteMtd,0.0
XmlRtnNR,0.0
SiSRMInvkAdd,0.0
SoSRMInvkPeek,0.0
SiSRMInvkSave,0.0
SiSRMInvkLog,0.0
SiSRMInvkEval,0.0
WebNR,0.0
SiSRMInvkWarn,0.0
SiSRMInvkTrace,0.0
GeneralNR,0.0
FileNR,0.0
LogRtnNR,0.0
LogNR,0.0
SiSRMInvkExec,0.0
SiSRMInvkFormat,0.0
SiSRMInvkOffer,0.0
SiSRMInvkError,0.0
SiSRMInvkFatal,0.0
SiSRMInvkInfo,0.0
SiSRMInvkPush,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPrint,0.0
ParamDfSRM,0.0
GuiNR,0.0
SiSRMInvkFine,-1.4405049007168436e-06
SoPfxParse,-2.1616931489554236e-06
MtdNm,-0.00019970983822886756
GuiParamNR,-0.0012481974964674014
SiPfxWrite,-0.0012663312216330685
MixedPfxTyp,-0.0013054932223325877
GeneralRtnNR,-0.001497145373688627
SiPfxUpdate,-0.0015470913637949807
ParamTypCtnStr[],-0.0016931664096576163
SoPfxRead,-0.001696790434268472
SiPfxSet,-0.0017480896844336569
PrimitiveParam,-0.0019186728250648877
MixedPfxCopy,-0.002552730035557685
IsAbstractCls,-0.0025542425142848213
SiSRMInvkDebug,-0.002636618441483496
SiPfxAdd,-0.0026613710155937997
DbRtnNR,-0.0031264748656245206
SiPfxLog,-0.003243637752366857
FileParamNR,-0.0035679076303127416
SiPfxPrint,-0.003826815195037983
ClsNmCtnXml,-0.004195146583579591
ClsNmCtnDb,-0.006041494493444235
SRMDfThis,-0.006307354511180904
SoPfxTyp,-0.007393715146535404
WebParamNR,-0.00773247180135761
ParamTypCtnStr,-0.008546862332218033
SoSRMInvkGet,-0.02065162541073723
ParamTypCtnByte[],-0.025654579239333074
ParamTypCtnChar[],-0.039146580998081965
SiPfxTyp,-0.04222358350263587
