Feature,SHAP Value,instance
SiSRMInvkWrite,0.1119733360905853,0
GeneralParamNR,0.1051304148037638,0
SRMDfRet,0.0599074453163239,0
SiSRMInvkSevere,0.0297280402296244,0
ClsNmCtnFile,0.0116115059687451,0
ClsNmCtnWeb,0.0112935557675438,0
XmlParamNR,0.011122566354616,0
SoSRMInvkElement,0.0110020074961325,0
ClsNmCtnGeneral,0.0073575106692418,0
ClsNmCtnLog,0.0070271678792665,0
SoSRMInvkList,0.005456461530563,0
SiPfxSend,0.003282598527221,0
ParamDfThis,0.002978445843509,0
SiSRMInvkSet,0.0028936864557,0
SiSRMInvkSend,0.0024470008303936,0
DbParamNR,0.001356948441699,0
SiPfxExec,0.0008333320850621,0
FileRtnNR,0.000832131941545,0
ClsNmCtnGui,0.0007135566902991,0
SoSRMInvkRemove,0.0004162835009657,0
SoSRMInvkRead,0.0002496499284713,0
IsInterface,4.057075126090437e-05,0
SoPfxGet,9.606138339085524e-07,0
MixedSRMInvkCopy,0.0,0
SoSRMInvkPull,0.0,0
SiSRMInvkRun,0.0,0
SiSRMInvkUpdate,0.0,0
MixedSRMInvkDo,0.0,0
MixedSRMInvkMove,0.0,0
MixedPfxDo,0.0,0
SoPfxRemove,0.0,0
SoPfxFind,0.0,0
MixedPfxMove,0.0,0
SoSRMInvkParse,0.0,0
SoSRMInvkPoll,0.0,0
SoSRMInvkAs,0.0,0
SoSRMInvkRetrieve,0.0,0
SiPfxEval,0.0,0
SoSRMInvkFind,0.0,0
SiPfxSave,0.0,0
SiPfxRun,0.0,0
IsConcreteCls,0.0,0
tag,0.0,0
SRMDfParam,0.0,0
XmlNR,0.0,0
GuiRtnNR,0.0,0
LogParamNR,0.0,0
WebRtnNR,0.0,0
DbNR,0.0,0
SiSRMInvkConfig,0.0,0
ConcreteMtd,0.0,0
XmlRtnNR,0.0,0
SiSRMInvkAdd,0.0,0
SoSRMInvkPeek,0.0,0
SiSRMInvkSave,0.0,0
SiSRMInvkLog,0.0,0
SiSRMInvkEval,0.0,0
WebNR,0.0,0
SiSRMInvkWarn,0.0,0
SiSRMInvkTrace,0.0,0
GeneralNR,0.0,0
FileNR,0.0,0
LogRtnNR,0.0,0
LogNR,0.0,0
SiSRMInvkExec,0.0,0
SiSRMInvkFormat,0.0,0
SiSRMInvkOffer,0.0,0
SiSRMInvkError,0.0,0
SiSRMInvkFatal,0.0,0
SiSRMInvkInfo,0.0,0
SiSRMInvkPush,0.0,0
SiSRMInvkInsert,0.0,0
SiSRMInvkPrint,0.0,0
ParamDfSRM,0.0,0
GuiNR,0.0,0
SiSRMInvkFine,-1.4405049007168436e-06,0
SoPfxParse,-2.161693148955424e-06,0
MtdNm,-0.0001997098382288,0
GuiParamNR,-0.0012481974964674,0
SiPfxWrite,-0.001266331221633,0
MixedPfxTyp,-0.0013054932223325,0
GeneralRtnNR,-0.0014971453736886,0
SiPfxUpdate,-0.0015470913637949,0
ParamTypCtnStr[],-0.0016931664096576,0
SoPfxRead,-0.0016967904342684,0
SiPfxSet,-0.0017480896844336,0
PrimitiveParam,-0.0019186728250648,0
MixedPfxCopy,-0.0025527300355576,0
IsAbstractCls,-0.0025542425142848,0
SiSRMInvkDebug,-0.0026366184414834,0
SiPfxAdd,-0.0026613710155937,0
DbRtnNR,-0.0031264748656245,0
SiPfxLog,-0.0032436377523668,0
FileParamNR,-0.0035679076303127,0
SiPfxPrint,-0.0038268151950379,0
ClsNmCtnXml,-0.0041951465835795,0
ClsNmCtnDb,-0.0060414944934442,0
SRMDfThis,-0.0063073545111809,0
SoPfxTyp,-0.0073937151465354,0
WebParamNR,-0.0077324718013576,0
ParamTypCtnStr,-0.008546862332218,0
SoSRMInvkGet,-0.0206516254107372,0
