Feature,SHAP Value
SRMDfRet,0.06485918048436953
SoPfxTyp,0.03399042285134206
SRMDfThis,0.01578895756447764
ParamDfThis,0.01306540392807258
SoPfxRead,0.010001742850779122
SiPfxSet,0.008617268176168463
ParamTypCtnChar[],0.008479105298617381
IsAbstractCls,0.007333937471356359
ParamTypCtnByte[],0.005216545564812148
SiSRMInvkFatal,0.004357056545087484
SiSRMInvkSet,0.003987890051937525
ClsNmCtnWeb,0.003755533174415182
SiPfxLog,0.0023398053084662668
DbParamNR,0.00216647988443016
ClsNmCtnXml,0.001498375357748355
MixedPfxTyp,0.001127246016313685
ClsNmCtnGeneral,0.0008898935772305126
SoPfxParse,0.0006555040943107548
SiSRMInvkEval,0.0006296070187596925
DbRtnNR,0.0005753134124931863
SoPfxGet,0.0004899608150627649
ClsNmCtnGui,0.00048132582920354383
MtdNm,0.00029998449711466507
IsInterface,0.000209403148504924
SiSRMInvkAdd,9.867805976761235e-05
SiSRMInvkSend,7.202524503584218e-07
MixedPfxDo,0.0
SiSRMInvkSave,0.0
SoPfxRemove,0.0
SoSRMInvkFind,0.0
SiPfxEval,0.0
MixedPfxMove,0.0
SiPfxSave,0.0
SoSRMInvkRetrieve,0.0
SoSRMInvkPoll,0.0
SoSRMInvkElement,0.0
SoSRMInvkAs,0.0
SoSRMInvkPeek,0.0
SoSRMInvkList,0.0
SiPfxRun,0.0
SoPfxFind,0.0
tag,0.0
SRMDfParam,0.0
ConcreteMtd,0.0
XmlRtnNR,0.0
GuiNR,0.0
LogParamNR,0.0
WebRtnNR,0.0
DbNR,0.0
GeneralRtnNR,0.0
LogNR,0.0
LogRtnNR,0.0
FileNR,0.0
MixedSRMInvkMove,0.0
MixedSRMInvkDo,0.0
SiSRMInvkUpdate,0.0
SiSRMInvkRun,0.0
SoSRMInvkRemove,0.0
SiPfxPrint,0.0
WebNR,0.0
SiSRMInvkConfig,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPush,0.0
SiSRMInvkFormat,0.0
SiSRMInvkLog,0.0
SiSRMInvkTrace,0.0
SiSRMInvkOffer,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkSevere,0.0
SiSRMInvkWarn,0.0
SiSRMInvkFine,0.0
SiSRMInvkExec,0.0
ParamDfSRM,0.0
GuiRtnNR,0.0
XmlParamNR,0.0
XmlNR,0.0
SiSRMInvkDebug,0.0
GeneralNR,0.0
SiPfxAdd,-7.301402177792293e-07
SiPfxUpdate,-1.2611783557735234e-06
FileRtnNR,-1.4405049007099047e-06
SoSRMInvkParse,-0.0002518587969736544
SoSRMInvkRead,-0.000634877830992045
MixedSRMInvkCopy,-0.0012481974964673875
ClsNmCtnFile,-0.0013721542689213231
SiPfxExec,-0.0015894780235517492
SiSRMInvkPrint,-0.0023945812846517256
SoSRMInvkPull,-0.002482277744411454
MixedPfxCopy,-0.0030004853592088057
SiPfxWrite,-0.0032325198586377057
SiPfxSend,-0.004110955494050689
ParamTypCtnStr[],-0.007541024630935006
SoSRMInvkGet,-0.01153275793740867
IsConcreteCls,-0.016869389557563622
SiSRMInvkWrite,-0.021502224989392894
ClsNmCtnLog,-0.02331205799963259
GuiParamNR,-0.027638040557614
ClsNmCtnDb,-0.028685518697226384
FileParamNR,-0.029334370662395217
SiPfxTyp,-0.03218043540563738
PrimitiveParam,-0.07639168652830697
GeneralParamNR,-0.08553069275040726
WebParamNR,-0.09361592358916866
ParamTypCtnStr,-0.10578565946183305
