Feature,SHAP Value,instance
SiPfxTyp,0.1056510891779584,0
GuiParamNR,0.0469404085838469,0
SoPfxRead,0.025816526974513,0
SoPfxTyp,0.0214900765301338,0
IsConcreteCls,0.0201719305334394,0
ParamTypCtnChar[],0.0166214549182782,0
ClsNmCtnFile,0.0161949349109028,0
SiPfxPrint,0.0112648247595468,0
MtdNm,0.0048354338233251,0
ClsNmCtnWeb,0.0043167991277236,0
ClsNmCtnXml,0.0025982631285699,0
DbParamNR,0.0025535109482226,0
IsInterface,0.0024978354978354,0
SoSRMInvkRead,0.0023827710614275,0
FileRtnNR,0.0016640235217064,0
LogParamNR,0.001411254910257,0
SoPfxGet,0.0012932862836564,0
SiPfxAdd,0.0012485221436597,0
DbRtnNR,0.0011507905398608,0
SiSRMInvkSend,0.0010401948292589,0
SiPfxWrite,0.00095820389122,0
SiPfxSet,0.0009364876426381,0
PrimitiveParam,0.0009265486027593,0
ParamTypCtnByte[],0.0009159870985988,0
SoSRMInvkRemove,0.0006097185588979,0
SiPfxLog,0.000581962571886,0
IsAbstractCls,0.0002270072933606,0
MixedSRMInvkDo,5.1383743349564526e-05,0
SoPfxParse,4.323386297910847e-06,0
ClsNmCtnGui,2.7074665103626883e-06,0
GeneralRtnNR,2.5778243845087093e-08,0
SoPfxFind,0.0,0
SiSRMInvkSave,0.0,0
SiPfxEval,0.0,0
SoSRMInvkFind,0.0,0
SiPfxRun,0.0,0
SiPfxExec,0.0,0
SoSRMInvkParse,0.0,0
MixedPfxDo,0.0,0
MixedPfxMove,0.0,0
SoPfxRemove,0.0,0
XmlNR,0.0,0
tag,0.0,0
ConcreteMtd,0.0,0
SRMDfParam,0.0,0
ParamTypCtnStr[],0.0,0
GuiNR,0.0,0
GuiRtnNR,0.0,0
SiSRMInvkAdd,0.0,0
SoSRMInvkRetrieve,0.0,0
MixedSRMInvkCopy,0.0,0
SoSRMInvkElement,0.0,0
SoSRMInvkAs,0.0,0
SoSRMInvkPeek,0.0,0
SiSRMInvkUpdate,0.0,0
MixedSRMInvkMove,0.0,0
SiSRMInvkRun,0.0,0
SiPfxSave,0.0,0
SoSRMInvkList,0.0,0
SoSRMInvkPoll,0.0,0
WebRtnNR,0.0,0
WebNR,0.0,0
SiSRMInvkLog,0.0,0
SiSRMInvkPrint,0.0,0
SiSRMInvkEval,0.0,0
SiSRMInvkFine,0.0,0
SiSRMInvkWarn,0.0,0
SiSRMInvkSevere,0.0,0
FileNR,0.0,0
SiSRMInvkFormat,0.0,0
SiSRMInvkInsert,0.0,0
SiSRMInvkError,0.0,0
SiSRMInvkInfo,0.0,0
LogNR,0.0,0
GeneralNR,0.0,0
LogRtnNR,0.0,0
SiSRMInvkConfig,0.0,0
XmlParamNR,0.0,0
DbNR,0.0,0
XmlRtnNR,0.0,0
ParamDfSRM,0.0,0
SiSRMInvkSet,-2.120263482563445e-07,0
SiSRMInvkExec,-8.94653162523476e-05,0
MixedPfxTyp,-0.0001174845710266,0
SiPfxUpdate,-0.0007852133080456,0
MixedPfxCopy,-0.0008903970103276,0
SiSRMInvkDebug,-0.0012611170572753,0
SoSRMInvkPull,-0.0012742648506002,0
SiSRMInvkTrace,-0.0020413785642289,0
SRMDfThis,-0.0023837139961833,0
SoSRMInvkGet,-0.0028940751745942,0
ClsNmCtnGeneral,-0.0031242715970752,0
SiSRMInvkOffer,-0.0063312940296009,0
FileParamNR,-0.0063449362856906,0
SiPfxSend,-0.0065370651028016,0
WebParamNR,-0.0088619423113934,0
ClsNmCtnDb,-0.0152133454757283,0
SiSRMInvkPush,-0.0193200645850115,0
ParamTypCtnStr,-0.0206235420218068,0
ClsNmCtnLog,-0.030269689718597,0
SiSRMInvkFatal,-0.0373124379863457,0
ParamDfThis,-0.046865423000782,0
SiSRMInvkWrite,-0.0499686690251574,0
SRMDfRet,-0.0572699102312163,0
GeneralParamNR,-0.0807542631688487,0
IsAbstractCls,0.0279787643391856,1
SoPfxTyp,0.0142356471320537,1
IsInterface,0.0083559126463062,1
ClsNmCtnWeb,0.0049293372632684,1
ClsNmCtnGeneral,0.0038933784772802,1
ClsNmCtnXml,0.0029131215676863,1
ClsNmCtnFile,0.0027312419527007,1
SoPfxGet,0.0018994646818664,1
SiSRMInvkSend,0.0016657045268076,1
SiPfxSet,0.0013146423469593,1
IsConcreteCls,0.0009814593011989,1
SoSRMInvkRead,0.00088019337464,1
SiSRMInvkSet,0.0008326116937949,1
DbRtnNR,0.0004387371224856,1
PrimitiveParam,0.0004156458669938,1
GeneralRtnNR,0.0004146815107546,1
ClsNmCtnGui,0.0001631402382139,1
SiPfxExec,8.655008654906426e-07,1
MixedSRMInvkCopy,0.0,1
MixedSRMInvkDo,0.0,1
MixedSRMInvkMove,0.0,1
SoSRMInvkPeek,0.0,1
SoSRMInvkPoll,0.0,1
SoSRMInvkList,0.0,1
SiPfxUpdate,0.0,1
SiSRMInvkRun,0.0,1
SiSRMInvkSave,0.0,1
SoSRMInvkElement,0.0,1
MixedPfxMove,0.0,1
SiPfxRun,0.0,1
SiPfxEval,0.0,1
SiPfxPrint,0.0,1
SiPfxSave,0.0,1
SoSRMInvkParse,0.0,1
SoSRMInvkFind,0.0,1
SoSRMInvkPull,0.0,1
SoSRMInvkAs,0.0,1
MixedPfxDo,0.0,1
SoPfxFind,0.0,1
SoPfxRemove,0.0,1
MixedPfxCopy,0.0,1
XmlRtnNR,0.0,1
tag,0.0,1
ConcreteMtd,0.0,1
SRMDfParam,0.0,1
ParamDfSRM,0.0,1
GuiParamNR,0.0,1
DbNR,0.0,1
WebNR,0.0,1
LogNR,0.0,1
LogParamNR,0.0,1
LogRtnNR,0.0,1
SoSRMInvkRetrieve,0.0,1
SiSRMInvkUpdate,0.0,1
SiSRMInvkEval,0.0,1
SiSRMInvkLog,0.0,1
SiSRMInvkExec,0.0,1
WebRtnNR,0.0,1
SiSRMInvkConfig,0.0,1
GeneralNR,0.0,1
SiSRMInvkDebug,0.0,1
FileNR,0.0,1
SiSRMInvkPush,0.0,1
SiSRMInvkInsert,0.0,1
SiSRMInvkPrint,0.0,1
SiSRMInvkOffer,0.0,1
SiSRMInvkError,0.0,1
SiSRMInvkInfo,0.0,1
SiSRMInvkTrace,0.0,1
SiSRMInvkSevere,0.0,1
SiSRMInvkWarn,0.0,1
SiSRMInvkFine,0.0,1
SiSRMInvkFormat,0.0,1
GuiNR,0.0,1
XmlNR,0.0,1
GuiRtnNR,0.0,1
XmlParamNR,0.0,1
SiPfxLog,-7.202524503618912e-07,1
FileRtnNR,-1.6808662842565658e-06,1
WebParamNR,-2.2732880155210133e-05,1
DbParamNR,-3.5233170740139874e-05,1
SiPfxAdd,-5.016319947964698e-05,1
SiPfxSend,-0.0001085507553335,1
SiPfxWrite,-0.0002776440996636,1
ParamTypCtnByte[],-0.0004124216006289,1
SoSRMInvkGet,-0.0007471008968731,1
MixedPfxTyp,-0.0008321320109534,1
SoPfxParse,-0.0008326733464526,1
SiSRMInvkWrite,-0.0018575836434507,1
ClsNmCtnDb,-0.003885074205582,1
SiPfxTyp,-0.0051830586987858,1
SiSRMInvkAdd,-0.0062513340930382,1
ParamTypCtnStr[],-0.0071872105681983,1
MtdNm,-0.0100891749899466,1
ClsNmCtnLog,-0.0117364741928668,1
SiSRMInvkFatal,-0.0126297572102674,1
SRMDfThis,-0.0186226324339655,1
SoSRMInvkRemove,-0.0243694295033475,1
ParamDfThis,-0.0246562666009594,1
SRMDfRet,-0.0263694929158771,1
FileParamNR,-0.0374037462159195,1
ParamTypCtnStr,-0.038428686902228,1
GeneralParamNR,-0.0582407252117593,1
SoPfxRead,-0.0799518658068418,1
ParamTypCtnChar[],-0.0934743437667259,1
SiPfxTyp,0.1098968724299265,2
SoPfxTyp,0.0384571863146293,2
ParamTypCtnChar[],0.0347297098734783,2
SRMDfThis,0.0237951309284099,2
ParamDfThis,0.0216487174526486,2
ParamTypCtnByte[],0.0212025714075197,2
WebParamNR,0.013113386558738,2
MtdNm,0.0088330714521943,2
ClsNmCtnWeb,0.0079617216618466,2
ClsNmCtnFile,0.0075117438833949,2
PrimitiveParam,0.0072869907415379,2
SiPfxSet,0.0057525287475162,2
SiPfxPrint,0.0047364536078713,2
SoPfxRead,0.0046915944358405,2
SiSRMInvkDebug,0.0039509984912193,2
SiPfxLog,0.0032444540535835,2
ClsNmCtnXml,0.0030173558799121,2
IsInterface,0.0024444195692682,2
SiPfxAdd,0.0021610164023659,2
SoPfxGet,0.0020803295074208,2
IsAbstractCls,0.0020516567078196,2
DbRtnNR,0.0020024977378107,2
ParamTypCtnStr[],0.0017823552127706,2
FileRtnNR,0.0016642630513897,2
SiSRMInvkSend,0.0016221500635379,2
SiPfxUpdate,0.0012486644905734,2
GuiParamNR,0.001247477244017,2
SiPfxWrite,0.0009589847081956,2
MixedPfxCopy,0.0001773089294332,2
ClsNmCtnGui,1.2077534873505824e-05,2
SoPfxParse,4.323386297938603e-06,2
SiSRMInvkFine,7.202524503480134e-07,2
SoPfxFind,0.0,2
SoSRMInvkParse,0.0,2
SoSRMInvkFind,0.0,2
SiPfxEval,0.0,2
SoPfxRemove,0.0,2
MixedPfxDo,0.0,2
MixedPfxMove,0.0,2
SiPfxSave,0.0,2
SiPfxRun,0.0,2
tag,0.0,2
IsConcreteCls,0.0,2
ConcreteMtd,0.0,2
ParamDfSRM,0.0,2
GuiRtnNR,0.0,2
LogParamNR,0.0,2
WebRtnNR,0.0,2
DbNR,0.0,2
SiSRMInvkConfig,0.0,2
MixedSRMInvkMove,0.0,2
SoSRMInvkPull,0.0,2
MixedSRMInvkDo,0.0,2
SiSRMInvkAdd,0.0,2
SiSRMInvkUpdate,0.0,2
SiSRMInvkRun,0.0,2
SiSRMInvkSave,0.0,2
SoSRMInvkPeek,0.0,2
SoSRMInvkPoll,0.0,2
SoSRMInvkRetrieve,0.0,2
SoSRMInvkAs,0.0,2
