readInputPrefixFeature,getInputPrefixFeature,findInputPrefixFeature,removeInputPrefixFeature,parseInputPrefixFeature,copyMixedPrefixFeature,moveMixedPrefixFeature,doMixedPrefixFeature,writeTargetPrefixFeature,setTargetPrefixFeature,addTargetPrefixFeature,updateTargetPrefixFeature,saveTargetPrefixFeature,runTargetPrefixFeature,execTargetPrefixFeature,sendTargetPrefixFeature,logTargetPrefixFeature,printTargetPrefixFeature,evalTargetPrefixFeature,readInputNRMInvokes,getInputNRMInvokes,findInputNRMInvokes,removeInputNRMInvokes,parseInputNRMInvokes,listInputNRMInvokes,peekInputNRMInvokes,pollInputNRMInvokes,retrieveInputNRMInvokes,asInputNRMInvokes,pullInputNRMInvokes,elementInputNRMInvokes,copyMixedNRMInvokes,moveMixedNRMInvokes,doMixedNRMInvokes,writeTargetNRMInvokes,setTargetNRMInvokes,addTargetNRMInvokes,updateTargetNRMInvokes,saveTargetNRMInvokes,runTargetNRMInvokes,execTargetNRMInvokes,sendTargetNRMInvokes,logTargetNRMInvokes,printTargetNRMInvokes,evalTargetNRMInvokes,pushTargetNRMInvokes,insertTargetNRMInvokes,formatTargetNRMInvokes,offerTargetNRMInvokes,fatalTargetNRMInvokes,errorTargetNRMInvokes,infoTargetNRMInvokes,traceTargetNRMInvokes,warnTargetNRMInvokes,severeTargetNRMInvokes,fineTargetNRMInvokes,configTargetNRMInvokes,debugTargetNRMInvokes,generalNRCategoryFeature,generalParamNRCategoryFeature,generalReturnNRCategoryFeature,fileNRCategoryFeature,fileParamNRCategoryFeature,fileReturnNRCategoryFeature,logNRCategoryFeature,logParamNRCategoryFeature,logReturnNRCategoryFeature,webNRCategoryFeature,webParamNRCategoryFeature,webReturnNRCategoryFeature,dbNRCategoryFeature,dbParamNRCategoryFeature,dbReturnNRCategoryFeature,xmlNRCategoryFeature,xmlParamNRCategoryFeature,xmlReturnNRCategoryFeature,guiNRCategoryFeature,guiParamNRCategoryFeature,guiReturnNRCategoryFeature,StringParam,String[]Param,Byte[]Param,Char[]Param,primitiveParam,DFfromNRMtoThis,DFfromNRMtoRet,DFfromParamToNRM,DFfromParamToThis,DFfromNRMtoParam,concreteMethod,isInterface,isAbstractClass,isConcreteClass,inputPrefixType,targetPrefixTye,mixedPrefixType,generalClassNamePatternCat,fileClassNamePatternCat,logClassNamePatternCat,webClassNamePatternCat,xmlClassNamePatternCat,guiClassNamePatternCat,dbClassNamePatternCat
0.0,0.09905017936996673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07090695896284586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04111380373975674,0.0,0.0,0.039820652065832296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04930107827548239,0.03993578492489063,0.0,0.04412413063483675,0.0,0.0863008975528591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07208441984089939,0.16200356832641333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0642332412120494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02412664044313988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021541325750164268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02563500109608518,-0.02377532728153909,-0.02462910284949053,0.0,-0.020422034722300864,0.0,-0.030782502496365695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02729268505877832,-0.03231705142073779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.10046845823828185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04559990748912653,0.0,0.0,0.0,0.0,0.0,0.03495011854474265,0.0,0.0,0.035691957419833775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04414287379334695,0.0,0.0,0.04360786331602535,0.0,0.09393718713993017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07353385525651913,0.15947416757461627,0.0,0.0,0.0,0.07383869889692635,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024442346097753424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02469267201067343,0.0,0.0,-0.020372143557250706,0.0,0.0,0.0,0.0,0.0,-0.02143846149274899,0.0,0.0,-0.02290269094151215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025521830560906466,-0.020656107433191843,0.0,-0.019480757992090265,0.0,-0.06953653428056014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045711367963963564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07490146014485129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019406248548835558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019429563038820614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04459089874945229,0.017553075866611898,0.0,0.0,0.0,0.0,0.1340486857644752,0.0,0.0,0.0,0.0,0.0,-0.044483439080184414,-0.047703299759623265,0.0,-0.049272172340847034,0.0,0.0,0.0,0.0,-0.018167474595587315,0.0,0.0,0.0
0.0,-0.06518475635219438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021316212257589177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01857481657415514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02086810087490016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022896506093102335,-0.023111176238675066,-0.019141985270977047,0.0,0.0,0.0,-0.03243961975491734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029402736382276414,-0.041819002531863866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1708739140785844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06199289223386609,0.011148385276137485,0.0126054117658413,0.013056051328840738,0.025092924539557707,0.0,-0.029389744280929633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03636770165644254,-0.04212049479705327,0.0,0.0,0.0,0.0,0.0124760224672687,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012706974098224027,0.0,0.0,-0.013399678355704778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010809322841045355,0.0,0.0,-0.018501037073644828,0.0,0.0,0.0,0.0,-0.013727643074290958,-0.0230700627040521,-0.016258682379706263,0.0,-0.013703430582813925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014877230601372013,0.0,0.0,0.0,0.0,-0.017512294776321626,0.0,0.0,0.0
0.0,-0.12186558461782672,0.0,0.0,-0.002473821302492524,0.0,0.0,0.0,-0.003964734328796804,-0.013688469934346664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006737688005343967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011025807660588235,0.0,0.0,0.0,0.0,0.0,-0.043362738927422234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0332411369190927,-0.046095046562653924,0.0,0.0,0.0,0.0,-0.025775260082775163,0.0,0.0,0.0
0.0,0.08738876603171106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17249591393685212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029510498496395456,0.0,0.0,0.027507997602352452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02952153209599278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02779382493044287,0.0297965396634512,0.0,0.0,0.0,0.09257559247247878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046425192220419007,0.16222923021925337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
