Feature,LocalShapValAgg
readInputPrefixFeature,0.0
getInputPrefixFeature,0.06067614631241329
findInputPrefixFeature,0.0
removeInputPrefixFeature,0.0
parseInputPrefixFeature,0.00032456107116176323
copyMixedPrefixFeature,0.0
moveMixedPrefixFeature,0.0
doMixedPrefixFeature,0.0
writeTargetPrefixFeature,0.0009661583836080837
setTargetPrefixFeature,0.01892208316744088
addTargetPrefixFeature,0.0003802350997906406
updateTargetPrefixFeature,0.0
saveTargetPrefixFeature,0.0
runTargetPrefixFeature,0.0
execTargetPrefixFeature,0.00043260688641757984
sendTargetPrefixFeature,0.0
logTargetPrefixFeature,0.0
printTargetPrefixFeature,0.00015605499125156944
evalTargetPrefixFeature,0.0005169880646301265
readInputNRMInvokes,0.00019134814223620771
getInputNRMInvokes,0.0006578166701812389
findInputNRMInvokes,0.0
removeInputNRMInvokes,0.0
parseInputNRMInvokes,0.0
listInputNRMInvokes,0.0
peekInputNRMInvokes,0.0
pollInputNRMInvokes,0.0
retrieveInputNRMInvokes,0.0
asInputNRMInvokes,0.0
pullInputNRMInvokes,0.0
elementInputNRMInvokes,0.0
copyMixedNRMInvokes,0.0
moveMixedNRMInvokes,0.0
doMixedNRMInvokes,0.0
writeTargetNRMInvokes,0.0004923783622558132
setTargetNRMInvokes,0.0
addTargetNRMInvokes,0.0
updateTargetNRMInvokes,0.0
saveTargetNRMInvokes,0.0
runTargetNRMInvokes,0.0
execTargetNRMInvokes,0.00032849324703905475
sendTargetNRMInvokes,0.0
logTargetNRMInvokes,0.0
printTargetNRMInvokes,0.0
evalTargetNRMInvokes,0.0
pushTargetNRMInvokes,0.0
insertTargetNRMInvokes,0.0
formatTargetNRMInvokes,0.0
offerTargetNRMInvokes,0.0
fatalTargetNRMInvokes,0.0
errorTargetNRMInvokes,0.0
infoTargetNRMInvokes,0.0
traceTargetNRMInvokes,0.0
warnTargetNRMInvokes,0.0
severeTargetNRMInvokes,0.0
fineTargetNRMInvokes,0.0
configTargetNRMInvokes,0.0
debugTargetNRMInvokes,0.0
generalNRCategoryFeature,0.0
generalParamNRCategoryFeature,0.021666604310664403
generalReturnNRCategoryFeature,0.0
fileNRCategoryFeature,0.0
fileParamNRCategoryFeature,0.01391145285940592
fileReturnNRCategoryFeature,0.0006033360135274
logNRCategoryFeature,0.0
logParamNRCategoryFeature,0.009154698389287867
logReturnNRCategoryFeature,0.0
webNRCategoryFeature,0.0
webParamNRCategoryFeature,0.011528554487764294
webReturnNRCategoryFeature,0.0003215316535900936
dbNRCategoryFeature,0.0
dbParamNRCategoryFeature,0.012009975095595923
dbReturnNRCategoryFeature,0.0
xmlNRCategoryFeature,0.0
xmlParamNRCategoryFeature,0.0015410363307570888
xmlReturnNRCategoryFeature,0.0
guiNRCategoryFeature,0.0
guiParamNRCategoryFeature,2.7500257823415216e-05
guiReturnNRCategoryFeature,0.0
StringParam,0.027820597077690388
String[]Param,0.02532164188008581
Byte[]Param,0.015203513184106506
Char[]Param,0.0012437503593705366
primitiveParam,0.013408794366979492
DFfromNRMtoThis,0.00406702814345122
DFfromNRMtoRet,0.049317874502305147
DFfromParamToNRM,0.0
DFfromParamToThis,0.0023030655437398543
DFfromNRMtoParam,0.0
concreteMethod,0.0
isInterface,0.00018213918669617726
isAbstractClass,0.0006462115746766187
isConcreteClass,0.0006177485923739589
inputPrefixType,0.021724001371276894
targetPrefixTye,0.05781481583576363
mixedPrefixType,0.0
generalClassNamePatternCat,0.0
fileClassNamePatternCat,0.0001991343337761692
logClassNamePatternCat,0.0
webClassNamePatternCat,0.00169562668520824
xmlClassNamePatternCat,0.0010327039563232895
guiClassNamePatternCat,0.0
dbClassNamePatternCat,0.0063796054355882885
