@relation 'sscm:-C 103'

@attribute readInputPrefixFeature {0,1,2}
@attribute getInputPrefixFeature {0,1,2}
@attribute findInputPrefixFeature {0,1,2}
@attribute removeInputPrefixFeature {0,1,2}
@attribute parseInputPrefixFeature {0,1,2}
@attribute copyMixedPrefixFeature {0,1,2}
@attribute moveMixedPrefixFeature {0,1,2}
@attribute doMixedPrefixFeature {0,1,2}
@attribute writeTargetPrefixFeature {0,1,2}
@attribute setTargetPrefixFeature {0,1,2}
@attribute addTargetPrefixFeature {0,1,2}
@attribute updateTargetPrefixFeature {0,1,2}
@attribute saveTargetPrefixFeature {0,1,2}
@attribute runTargetPrefixFeature {0,1,2}
@attribute execTargetPrefixFeature {0,1,2}
@attribute sendTargetPrefixFeature {0,1,2}
@attribute logTargetPrefixFeature {0,1,2}
@attribute printTargetPrefixFeature {0,1,2}
@attribute evalTargetPrefixFeature {0,1,2}
@attribute readInputNRMInvokes {0,1,2}
@attribute getInputNRMInvokes {0,1,2}
@attribute findInputNRMInvokes {0,1,2}
@attribute removeInputNRMInvokes {0,1,2}
@attribute parseInputNRMInvokes {0,1,2}
@attribute listInputNRMInvokes {0,1,2}
@attribute peekInputNRMInvokes {0,1,2}
@attribute pollInputNRMInvokes {0,1,2}
@attribute retrieveInputNRMInvokes {0,1,2}
@attribute asInputNRMInvokes {0,1,2}
@attribute pullInputNRMInvokes {0,1,2}
@attribute elementInputNRMInvokes {0,1,2}
@attribute copyMixedNRMInvokes {0,1,2}
@attribute moveMixedNRMInvokes {0,1,2}
@attribute doMixedNRMInvokes {0,1,2}
@attribute writeTargetNRMInvokes {0,1,2}
@attribute setTargetNRMInvokes {0,1,2}
@attribute addTargetNRMInvokes {0,1,2}
@attribute updateTargetNRMInvokes {0,1,2}
@attribute saveTargetNRMInvokes {0,1,2}
@attribute runTargetNRMInvokes {0,1,2}
@attribute execTargetNRMInvokes {0,1,2}
@attribute sendTargetNRMInvokes {0,1,2}
@attribute logTargetNRMInvokes {0,1,2}
@attribute printTargetNRMInvokes {0,1,2}
@attribute evalTargetNRMInvokes {0,1,2}
@attribute pushTargetNRMInvokes {0,1,2}
@attribute insertTargetNRMInvokes {0,1,2}
@attribute formatTargetNRMInvokes {0,1,2}
@attribute offerTargetNRMInvokes {0,1,2}
@attribute fatalTargetNRMInvokes {0,1,2}
@attribute errorTargetNRMInvokes {0,1,2}
@attribute infoTargetNRMInvokes {0,1,2}
@attribute traceTargetNRMInvokes {0,1,2}
@attribute warnTargetNRMInvokes {0,1,2}
@attribute severeTargetNRMInvokes {0,1,2}
@attribute fineTargetNRMInvokes {0,1,2}
@attribute configTargetNRMInvokes {0,1,2}
@attribute debugTargetNRMInvokes {0,1,2}
@attribute generalNRCategoryFeature {0,1,2}
@attribute generalParamNRCategoryFeature {0,1,2}
@attribute generalReturnNRCategoryFeature {0,1,2}
@attribute fileNRCategoryFeature {0,1,2}
@attribute fileParamNRCategoryFeature {0,1,2}
@attribute fileReturnNRCategoryFeature {0,1,2}
@attribute logNRCategoryFeature {0,1,2}
@attribute logParamNRCategoryFeature {0,1,2}
@attribute logReturnNRCategoryFeature {0,1,2}
@attribute webNRCategoryFeature {0,1,2}
@attribute webParamNRCategoryFeature {0,1,2}
@attribute webReturnNRCategoryFeature {0,1,2}
@attribute dbNRCategoryFeature {0,1,2}
@attribute dbParamNRCategoryFeature {0,1,2}
@attribute dbReturnNRCategoryFeature {0,1,2}
@attribute xmlNRCategoryFeature {0,1,2}
@attribute xmlParamNRCategoryFeature {0,1,2}
@attribute xmlReturnNRCategoryFeature {0,1,2}
@attribute guiNRCategoryFeature {0,1,2}
@attribute guiParamNRCategoryFeature {0,1,2}
@attribute guiReturnNRCategoryFeature {0,1,2}
@attribute StringParam {0,1,2}
@attribute String[]Param {0,1,2}
@attribute Byte[]Param {0,1,2}
@attribute Char[]Param {0,1,2}
@attribute primitiveParam {0,1,2}
@attribute DFfromNRMtoThis {0,1,2}
@attribute DFfromNRMtoRet {0,1,2}
@attribute DFfromParamToNRM {0,1,2}
@attribute DFfromParamToThis {0,1,2}
@attribute DFfromNRMtoParam {0,1,2}
@attribute concreteMethod {0,1,2}
@attribute isInterface {0,1,2}
@attribute isAbstractClass {0,1,2}
@attribute isConcreteClass {0,1,2}
@attribute inputPrefixType {0,1,2}
@attribute targetPrefixTye {0,1,2}
@attribute mixedPrefixType {0,1,2}
@attribute generalClassNamePatternCat {0,1,2}
@attribute fileClassNamePatternCat {0,1,2}
@attribute logClassNamePatternCat {0,1,2}
@attribute webClassNamePatternCat {0,1,2}
@attribute xmlClassNamePatternCat {0,1,2}
@attribute guiClassNamePatternCat {0,1,2}
@attribute dbClassNamePatternCat {0,1,2}
@attribute tag {None,Target,Input}

@data
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,Input
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,None
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,Target
1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,Target
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,Target
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,None
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,Target
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,None
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,None
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,Target
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,Target
