Feature,GlobalShapValAgg
ClsNmCtnWeb,0.0
ClsNmCtnInput,0.0
ClsNmEndsReq,0.0
ClsNmEndsRender,0.0
InnerCls,0.0
RtnTypServlet,0.0
ClsNmEndsEncoder,0.0
MtdNmStrtSet,0.0
ParamTypEqRtnTyp,0.0
ImplicitMtd,0.0
ClsNmCtnPage,0.0
ClsNmCtnHtml,0.0
MtdStrtOn,0.0
ClsAnonymous,0.0
RtnTypString,0.0
ClsNmCtnHibernate,0.0
ClsNmCtnDom,0.0
MtdFrmClsWebInvkd,0.0
RtnTypDocument,0.0
RtnTypNode,0.0
RtnTypRequest,0.0
ParamTypCtnStr,0.0
ClsNmCtnCss,0.0
MtdCtnParams,0.0
MtdNmCtnSaniti,0.003992000000000002
MtdNmCtnSetheader,0.0
