row,dataset_row,base_value,prediction,ClsNmCtnInput,ClsNmEndsReq,ClsAnonymous,ParamTypCtnSql,RtnTypStr,ClsNmCtnHibernate,MtdNmCtnExecute,ClsNmCtnDb,InnerCls,ClsNmEndsEncoder,MtdConstructor,ClsNmCtnJdbc,MtdNmCtnQuery,ParamTypCtnStr,ClsNmCtnDatabase,RtnTypResultSet,MtdCtnParams,ParamTypEqRtnTyp,ImplicitMtd,MtdMakedbInvkd,MtdNmCtnSaniti,ClsNmCtnSql
0,71,0.004,-4.336808689942018e-18,0.0,0.0,0.0,-0.0006666666666666657,-0.0013333333333333342,-0.001999999999999995,0.0,0.0006666666666666651,0.0,0.0,0.0,0.0,-0.009333333333333312,0.011999999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333327
1,187,0.004,-3.469446951953614e-18,0.0,0.0,0.0,0.0,-0.0020000000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,70,0.004,-4.336808689942018e-18,0.0,0.0,0.0,-0.0006666666666666657,-0.0013333333333333342,-0.001999999999999995,0.0,0.0006666666666666651,0.0,0.0,0.0,0.0,-0.009333333333333312,0.011999999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333327
3,236,0.004,-3.469446951953614e-18,0.0,0.0,0.0,0.0,-0.0020000000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,135,0.004,-4.336808689942018e-18,0.0,0.0,0.0,-0.0006666666666666657,-0.0013333333333333342,-0.001999999999999995,0.0,0.0006666666666666651,0.0,0.0,0.0,0.0,-0.009333333333333312,0.011999999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333327
5,203,0.004,-3.469446951953614e-18,0.0,0.0,0.0,0.0,-0.0020000000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,214,0.004,0.0,0.0,0.0,0.0,-0.0006666666666666666,0.00833333333333331,-0.001999999999999999,0.0,0.0006666666666666644,0.0,0.0,0.0,0.0,-0.009666666666666646,0.0,0.0,0.0,-0.0003333333333333326,0.0003333333333333338,0.0,0.0,0.0,-0.0006666666666666644
7,231,0.004,-3.469446951953614e-18,0.0,0.0,0.0,0.0,-0.0020000000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,149,0.004,-3.469446951953614e-18,0.0,0.0,0.0,0.0,-0.0020000000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,27,0.004,-4.336808689942018e-18,0.0,0.0,0.0,-0.0006666666666666657,-0.0013333333333333342,-0.001999999999999995,0.0,0.0006666666666666651,0.0,0.0,0.0,0.0,-0.009333333333333312,0.011999999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333327
