row,dataset_row,base_value,prediction,ClsNmCtnInput,ClsNmEndsReq,ClsAnonymous,ParamTypCtnSql,RtnTypStr,ClsNmCtnHibernate,MtdNmCtnExecute,ClsNmCtnDb,InnerCls,ClsNmEndsEncoder,MtdConstructor,ClsNmCtnJdbc,MtdNmCtnQuery,ParamTypCtnStr,ClsNmCtnDatabase,RtnTypResultSet,MtdCtnParams,ParamTypEqRtnTyp,ImplicitMtd,MtdMakedbInvkd,MtdNmCtnSaniti,ClsNmCtnSql
0,71,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
1,187,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
2,70,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
3,236,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
4,135,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
5,203,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
6,214,0.010804479904311687,0.0012472777615880285,0.0,0.0,0.0,-0.000677173755878944,0.004602174594568629,-0.0017665461783144317,0.0,0.0,0.0,0.0,0.0,0.0,-0.004412343961697442,-0.0036318773041626967,0.0,0.0,-0.0025814773031832467,0.0001632107953729526,0.0,0.0,0.0,-0.0012531690294284772
7,231,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
8,149,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
9,27,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
10,123,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
11,180,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
12,221,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
13,170,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
14,160,0.010804479904311687,0.0012472777615880285,0.0,0.0,0.0,-0.000677173755878944,0.004602174594568629,-0.0017665461783144317,0.0,0.0,0.0,0.0,0.0,0.0,-0.004412343961697442,-0.0036318773041626967,0.0,0.0,-0.0025814773031832467,0.0001632107953729526,0.0,0.0,0.0,-0.0012531690294284772
15,87,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
16,218,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
17,125,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
18,97,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
19,91,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
20,206,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
21,240,0.010804479904311687,0.01879147216042963,0.0,0.0,0.0,-0.000999342274190426,0.009722763228341686,-0.0026780927928401707,0.0,0.0,0.0,0.0,0.0,0.0,-0.00885143434565688,0.014659155715739338,0.0,0.0,0.0022489198039932993,-0.003012769550531916,0.0,0.0,0.0,-0.0031022075287369857
22,90,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
23,44,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
24,166,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
25,126,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
26,189,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
27,174,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
28,137,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
29,118,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
30,197,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
31,2,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
32,34,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
33,14,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
34,92,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
35,17,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
36,140,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
37,136,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
38,3,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
39,188,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
40,64,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
41,81,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
42,145,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
43,176,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
44,1,0.010804479904311687,0.001004188233564447,0.0,0.0,0.0,-0.0006264715316745219,-0.000606970644392675,-0.0016589460132922951,0.0,0.0,0.0,0.0,0.0,0.0,-0.004026525795520239,-0.002975507942225919,0.0,0.0,0.0010402095165337635,0.00015806873157862004,0.0,0.0,0.0,-0.0011041479917539739
45,230,0.010804479904311687,0.0004964271176747335,0.0,0.0,0.0,-0.000535049879965202,-0.0005146621141619204,-0.0013213351134090474,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030971361093833105,-0.0022367115428903305,0.0,0.0,-0.0018434070333729615,0.00013633591906173087,0.0,0.0,0.0,-0.0008960869125159126
46,74,0.010804479904311687,0.009689125715145422,0.0,0.0,0.0,-0.0009315420009769248,-0.0010515368603525074,-0.0025182151758264774,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999991868725017,0.01206361552159504,0.0,0.0,0.0017224201551163728,0.00021187882404556633,0.0,0.0,0.0,-0.0026119827840423186
