Feature,SHAP Value
MtdCtnParams,0.010315892316735345
ParamTypCtnStr,0.005181493137400236
ParamTypEqRtnTyp,0.0034328257652053865
ClsNmCtnHibernate,0.0007041040373339345
ClsNmCtnDom,0.0005699046417196945
ClsNmCtnInput,0.00025056064993312196
RtnTypDocument,0.0
ClsAnonymous,0.0
ClsNmCtnCss,0.0
MtdNmCtnSetheader,0.0
RtnTypServlet,0.0
InnerCls,0.0
MtdStrtOn,0.0
RtnTypReq,0.0
ClsNmEndsRender,0.0
MtdNmStrtSet,0.0
ClsNmEndsEncoder,0.0
ImplicitMtd,0.0
ClsNmCtnHtml,0.0
CWE79,0.0
ClsNmCtnPage,0.0
MtdFrmClsWebInvkd,-0.002810785513759982
ClsNmEndsReq,-0.002972957405321694
RtnTypNode,-0.003204012129141058
RtnTypStr,-0.006606498917336932
MtdNmCtnSaniti,-0.008699399655949128
ClsNmCtnWeb,-0.011606013914697783
