Feature,SHAP Value,Source
ClsNmEndsReq,0.1435316764911278,0
ParamTypCtnStr,0.0395365630294482,0
ParamTypEqRtnTyp,0.0331802057651134,0
ClsNmCtnDb,0.0324612456982049,0
MtdCtnParams,0.0244604112696646,0
RtnTypStr,0.0213407960753961,0
ClsNmCtnInput,0.0008333333333333,0
CWE89,0.0,0
InnerCls,0.0,0
MtdMakedbInvkd,0.0,0
ClsNmEndsEncoder,0.0,0
ImplicitMtd,0.0,0
MtdConstructor,0.0,0
ClsAnonymous,0.0,0
RtnTypResultSet,-0.0008001700680272,0
ClsNmCtnJdbc,-0.0014342122162254,0
MtdNmCtnSaniti,-0.0020555555555555,0
ParamTypCtnSql,-0.002953514739229,0
MtdNmCtnQuery,-0.0045927181207907,0
ClsNmCtnHibernate,-0.0059363962178998,0
ClsNmCtnDatabase,-0.0060600907029478,0
ClsNmCtnSql,-0.0102999423434461,0
MtdNmCtnExecute,-0.0107883357261338,0
ClsNmCtnDb,0.0045262572428449,1
ImplicitMtd,0.0,1
MtdConstructor,0.0,1
InnerCls,0.0,1
MtdMakedbInvkd,0.0,1
ClsAnonymous,0.0,1
ClsNmEndsEncoder,0.0,1
ClsNmCtnInput,0.0,1
CWE89,0.0,1
RtnTypResultSet,-0.0002270408163265,1
ParamTypEqRtnTyp,-0.0008718808035175,1
MtdCtnParams,-0.0013279997513698,1
ParamTypCtnSql,-0.0014043588508481,1
ClsNmCtnJdbc,-0.0022384888890206,1
MtdNmCtnSaniti,-0.0031899685949286,1
RtnTypStr,-0.003221636648497,1
ClsNmEndsReq,-0.0044767822448455,1
MtdNmCtnQuery,-0.0062805689120516,1
ClsNmCtnSql,-0.0066330534848652,1
ClsNmCtnDatabase,-0.0085274246972206,1
ParamTypCtnStr,-0.0113931438399081,1
ClsNmCtnHibernate,-0.0167395249092708,1
MtdNmCtnExecute,-0.0209044221614743,1
ClsNmCtnDatabase,0.1780982799196437,2
ClsNmCtnJdbc,0.0137715897506121,2
ClsNmCtnDb,0.0054506849048052,2
RtnTypResultSet,0.0006301020408163,2
ClsNmCtnInput,2.4781763942525814e-19,2
ImplicitMtd,0.0,2
MtdConstructor,0.0,2
CWE89,0.0,2
MtdMakedbInvkd,0.0,2
ClsAnonymous,0.0,2
InnerCls,0.0,2
ClsNmEndsEncoder,0.0,2
MtdNmCtnSaniti,-0.0008260667127336,2
ParamTypCtnSql,-0.0028450366068508,2
ClsNmEndsReq,-0.0032077788775248,2
RtnTypStr,-0.0046106170248096,2
ClsNmCtnSql,-0.0096476080831479,2
ParamTypEqRtnTyp,-0.0139466646231154,2
MtdNmCtnQuery,-0.0140410794908303,2
ClsNmCtnHibernate,-0.0151488782580006,2
MtdNmCtnExecute,-0.0201704410680697,2
MtdCtnParams,-0.0205072151682424,2
ParamTypCtnStr,-0.1759093080638519,2
ClsNmCtnDatabase,0.5893738197775643,3
ParamTypCtnSql,0.1411066155512208,3
ClsNmCtnDb,0.0660307497248407,3
ParamTypCtnStr,0.0519523332101149,3
MtdCtnParams,0.0405668638093728,3
ClsNmCtnJdbc,0.0280610141336558,3
ParamTypEqRtnTyp,0.0104344844083397,3
RtnTypStr,0.0082975254801354,3
ClsNmEndsReq,0.0051405188711358,3
ClsNmCtnInput,0.0028703398218409,3
RtnTypResultSet,0.0011475446528049,3
ImplicitMtd,0.0,3
MtdConstructor,0.0,3
InnerCls,0.0,3
ClsNmEndsEncoder,0.0,3
CWE89,0.0,3
MtdMakedbInvkd,0.0,3
ClsAnonymous,0.0,3
MtdNmCtnSaniti,-0.0011779482385718,3
MtdNmCtnQuery,-0.0021287484931734,3
ClsNmCtnSql,-0.0067155321362776,3
MtdNmCtnExecute,-0.0086531877132545,3
ClsNmCtnHibernate,-0.0092164302210491,3
ClsNmEndsReq,0.0437449016684864,4
ClsNmCtnDb,0.007743242532611,4
ClsNmCtnJdbc,0.0018561884698576,4
RtnTypResultSet,0.0002168367346938,4
ClsNmEndsEncoder,0.0,4
MtdConstructor,0.0,4
ImplicitMtd,0.0,4
ClsNmCtnInput,0.0,4
MtdMakedbInvkd,0.0,4
CWE89,0.0,4
ClsAnonymous,0.0,4
InnerCls,0.0,4
ParamTypEqRtnTyp,-0.0009316207649324,4
MtdNmCtnSaniti,-0.0018041618164212,4
MtdNmCtnQuery,-0.0048398526077097,4
ClsNmCtnDatabase,-0.0056829847673559,4
ParamTypCtnSql,-0.0086904761904761,4
MtdNmCtnExecute,-0.0091093272356989,4
ClsNmCtnSql,-0.0106745734556241,4
RtnTypStr,-0.0111811552115692,4
ClsNmCtnHibernate,-0.0123016789471754,4
MtdCtnParams,-0.0172913185944182,4
ParamTypCtnStr,-0.0539640571755671,4
RtnTypStr,0.0609865322974816,5
MtdCtnParams,0.0129887264983774,5
ParamTypCtnStr,0.0101700366559578,5
ClsNmCtnDb,0.0057269349726891,5
ClsNmCtnJdbc,0.0048683578308544,5
ParamTypEqRtnTyp,0.0009378224215058,5
MtdNmCtnQuery,0.0007040413080968,5
ClsNmCtnInput,0.0004960297054311,5
MtdMakedbInvkd,0.0,5
InnerCls,0.0,5
ClsNmEndsEncoder,0.0,5
MtdConstructor,0.0,5
ImplicitMtd,0.0,5
CWE89,0.0,5
ClsAnonymous,0.0,5
RtnTypResultSet,-0.0007857145772286,5
ParamTypCtnSql,-0.0021771339367853,5
MtdNmCtnSaniti,-0.0024266134196424,5
ClsNmEndsReq,-0.0026234455837468,5
ClsNmCtnSql,-0.0031403536635332,5
ClsNmCtnDatabase,-0.0067654348859231,5
ClsNmCtnHibernate,-0.0083466744712442,5
MtdNmCtnExecute,-0.0106668218966897,5
ClsNmCtnJdbc,0.0249957991036157,6
ParamTypCtnStr,0.0228456736256646,6
RtnTypStr,0.0161799299783967,6
ClsNmCtnSql,0.0079177290894253,6
