Feature,SHAP Value,Source
MtdModSTATIC,0.0107142857142857,0
MtdReplacInvkd,0.0057142857142857,0
MtdNmCtnReplac,0.005,0
MtdNmCtnEncodNotEncoding,0.005,0
MtdNmCtnSaniti,0.005,0
MtdModFINAL,0.0035714285714285,0
MtdNmStrtHas,0.0,0
MtdNmCtnStrip,0.0,0
MtdNmCtnUnescape,0.0,0
MtdNmCtnVerif,0.0,0
ParamTypCtnStr,0.0,0
MtdModPUBLIC,0.0,0
ParamDfRtn,0.0,0
ParamTypCtnCharsequence,0.0,0
MtdEscapInvkd,0.0,0
ClsSTATIC,0.0,0
ClasRegexInvkd,0.0,0
ClsNmEndsEncoder,0.0,0
MtdNmCtnEscapeNotUnescape,0.0,0
ClsPUBLIC,0.0,0
ClsNmCtnEncod,0.0,0
MtdStripInvkd,0.0,0
ClasSanitiInvkd,0.0,0
MtdNmCtnRegex,0.0,0
ClasEncodInvkd,0.0,0
ImplicitMtd,0.0,0
MtdConstructor,0.0,0
MtdNmStrtSet,0.0,0
RtnTypCharsequence,0.0,0
ClsNmCtnSaniti,0.0,0
MtdEncodInvkd,0.0,0
ClsFINAL,0.0,0
ClsNmCtnValid,0.0,0
ClasEscapInvkd,0.0,0
RtnTypByte[],0.0,0
MtdNmStrtGet,0.0,0
MtdSanitiInvkd,0.0,0
ClsNmCtnPage,0.0,0
MtdCtnParams,0.0,0
ParamTypCtnChar[],0.0,0
MtdRegexInvkd,0.0,0
MtdNmStrtPut,0.0,0
ClsNmCtnEscap,0.0,0
ParamTypCtnByte[],0.0,0
ParamTypCtnStringbuilder,0.0,0
sanitizer,0.0,0
MtdMatchInvkd,0.0,0
RtnTypStr,-0.0021428571428571,0
ParamTypEqRtnTyp,-0.0028571428571428,0
ParamTypEqRtnTyp,0.0085714285714285,1
MtdModSTATIC,0.0071428571428571,1
RtnTypStr,0.005,1
ClsFINAL,0.0028571428571428,1
MtdNmCtnReplac,0.0028571428571428,1
MtdReplacInvkd,0.0021428571428571,1
MtdNmCtnSaniti,0.0007142857142857,1
MtdNmCtnEncodNotEncoding,0.0007142857142857,1
MtdNmStrtHas,0.0,1
MtdNmCtnVerif,0.0,1
ClsSTATIC,0.0,1
MtdModPUBLIC,0.0,1
MtdNmCtnUnescape,0.0,1
ParamTypCtnCharsequence,0.0,1
MtdEscapInvkd,0.0,1
MtdNmCtnStrip,0.0,1
ClasRegexInvkd,0.0,1
MtdNmCtnEscapeNotUnescape,0.0,1
ClsPUBLIC,0.0,1
ClsNmCtnEncod,0.0,1
ParamDfRtn,0.0,1
ParamTypCtnStr,0.0,1
ClasSanitiInvkd,0.0,1
MtdStripInvkd,0.0,1
MtdNmCtnRegex,0.0,1
ImplicitMtd,0.0,1
MtdConstructor,0.0,1
MtdNmStrtSet,0.0,1
RtnTypCharsequence,0.0,1
ClsNmCtnSaniti,0.0,1
MtdEncodInvkd,0.0,1
ClasEncodInvkd,0.0,1
ClsNmCtnValid,0.0,1
ClsNmEndsEncoder,0.0,1
RtnTypByte[],0.0,1
MtdRegexInvkd,0.0,1
MtdSanitiInvkd,0.0,1
MtdCtnParams,0.0,1
ClsNmCtnPage,0.0,1
MtdModFINAL,0.0,1
MtdNmStrtGet,0.0,1
ParamTypCtnChar[],0.0,1
ClsNmCtnEscap,0.0,1
ParamTypCtnByte[],0.0,1
ParamTypCtnStringbuilder,0.0,1
ClasEscapInvkd,0.0,1
MtdMatchInvkd,0.0,1
MtdNmStrtPut,0.0,1
sanitizer,0.0,1
ParamTypEqRtnTyp,0.0121428571428571,2
RtnTypStr,0.0057142857142857,2
MtdReplacInvkd,0.0057142857142857,2
MtdNmCtnEncodNotEncoding,0.0035714285714285,2
MtdNmCtnReplac,0.0028571428571428,2
