Feature,SHAP Value
ParamTypCtnStr,0.17262351829554304
ClsNmCtnJdbc,0.04646137966655096
MtdFrmClsIoInvkd,0.04624170373191679
ClsFINAL,0.04434664668687879
MtdModPUBLIC,0.02956179324541573
MtdCtnParams,0.027927507275746933
MtdFrmClsSqlInvkd,0.021303942231495888
ClsNmCtnWeb,0.014063026776348695
MtdputInvkd,0.01107993930771728
MtdNmCtnLog,0.00767009056381195
ParamTypCtnStringbuilder,0.00749433569099589
ClsNmCtnSecurity,0.006518437747648524
MtdHandlInvkd,0.0036166914045285916
MtdFrmClsNetInvkd,0.0032013979826814496
MtdNmCtnStream,0.002668784122669863
ClsNmCtnInput,0.0025017456139194336
MtdNmCtnPars,0.0024926266436894975
ClsNmCtnNet,0.002138992087706182
MtdModFINAL,0.002099484645930072
MtdReplacInvkd,0.0020480864882253167
ParamTypCtnByte[],0.0016858927270171076
MtdLoneGetterOrSetter,0.0016331347381770185
ParamDfSiMtdWrit,0.0014863233210398175
ClsNmCtnManager,0.001294848038897678
MtdSetInvkd,0.0012076698418468184
MtdLogInvkd,0.0010164560791776263
ParamDfSiMtdStream,0.0008793209582868833
ParamTypCtnChar[],0.0005548854184833548
MtdFrmClswebInvkd,0.00037734922872500093
MtdDumpInvkd,0.00021451971174123638
MtdRunInvkd,0.00021451971174121787
MtdNmCtnHandl,0.0001293036617138199
ParamTypCtnDb,0.00010905027389212137
MtdParsInvkd,3.1725276108618417e-05
ParamDfSiMtdHandl,1.4968945732699948e-05
MtdNmCtnSend,1.571309337422555e-06
ParamDfSiMtdSend,1.530041622279284e-06
sink,0.0
MtdFrmClsLogInvkd,0.0
InnerCls,0.0
MtdPrintInvkd,0.0
ClsNmCtnHtml,0.0
ImplicitMtd,0.0
MtdConstructor,0.0
ClsNmCtnRedirect,0.0
ParamDfSiMtdDump,0.0
MtdNmCtnSetheader,0.0
ClsSTATIC,0.0
ClsAnonymous,0.0
ParamDfSiMtdUpdat,0.0
ParamDfSiMtdRun,0.0
ParamTypCtnWeb,0.0
MtdNmStrtSet,0.0
MtdStrtOn,0.0
MtdNmCtnDump,0.0
ClsNmEndsRender,0.0
ParamDfSiMtdPrint,0.0
MtdNmCtnRedirect,0.0
MtdupdatInvkd,-0.0005237849046037893
RtnTypResultSet,-0.0005685205889441788
ClsPUBLIC,-0.0006071653088792114
ParamTypCtnSql,-0.0008290039617355471
MtdNmCtnUpdat,-0.001087702533991412
MtdsendInvkd,-0.001109809186995751
ParamDfSiMtdPut,-0.0018122663484731831
ParamDfSiMtdPars,-0.0019076692974090426
MtdFrmClsDbInvkd,-0.001999318231536281
MtdModPRIVATE,-0.002266398640295745
MtdNmCtnExecut,-0.002329599418752761
MtdNmCtnPrint,-0.0034021464820508476
ParamTypCtnCharsequence,-0.003731002908491978
MtdNmCtnWrit,-0.004254288874718987
ClsNmCtnResponse,-0.004640742645388755
MtdNmCtnRun,-0.004876331840919669
ParamDfSiMtdExecut,-0.005068562139025086
ParamDfSiMtdSet,-0.005717278597313209
ParamTypCtnIo,-0.006219328433585534
MtdExecutInvkd,-0.006274004327734052
ClsNmEndsReq,-0.0064021316835575675
MtdNmCtnReplac,-0.007634220309320548
MtdWritInvkd,-0.009295722534776776
MtdModSTATIC,-0.009461788964173249
ClsNmCtnIo,-0.029931453024689265
ParamDfSiMtdLog,-0.029991750355401692
ClsNmCtnSql,-0.037451017834508105
