Feature,SHAP Value,Source
ParamTypCtnStr,0.2457369842970128,0
ClsNmEndsReq,0.1813109527489089,0
MtdFrmClsDbInvkd,0.049584796291305,0
MtdFrmClsIoInvkd,0.0316194155558669,0
MtdModPUBLIC,0.0262265989684383,0
MtdFrmClsSqlInvkd,0.022671872945387,0
MtdModSTATIC,0.0208681165589864,0
ClsFINAL,0.0199989299998458,0
ClsNmCtnWeb,0.0126970044577246,0
ClsPUBLIC,0.0073251679838156,0
MtdNmCtnStream,0.0059828587479866,0
ClsNmCtnSecurity,0.0040093016818939,0
MtdNmCtnPars,0.0039238400645506,0
ParamTypCtnStringbuilder,0.003794896588909,0
ClsNmCtnNet,0.0026490387114143,0
ParamDfSiMtdWrit,0.0026324037382538,0
ParamTypCtnByte[],0.0026235134791148,0
MtdFrmClsNetInvkd,0.0022150269270599,0
MtdLoneGetterOrSetter,0.0022052995081758,0
MtdHandlInvkd,0.0018851039503139,0
MtdSetInvkd,0.0018544653485332,0
ParamDfSiMtdPut,0.0016636842050204,0
ParamTypCtnSql,0.0016430834957346,0
MtdNmCtnLog,0.0015665468442826,0
ClsNmCtnJdbc,0.0014161527193225,0
MtdWritInvkd,0.0013939960636704,0
MtdFrmClswebInvkd,0.0013906450147219,0
ParamTypCtnChar[],0.0013753919067683,0
ParamTypCtnDb,0.0012207957887654,0
MtdModFINAL,0.0012108762537025,0
MtdNmCtnHandl,0.0010157401939395,0
MtdupdatInvkd,0.0009170501202947,0
RtnTypResultSet,0.0006248433520952,0
ParamDfSiMtdStream,0.0003501785341607,0
ClsNmCtnInput,0.0002644962233434,0
MtdParsInvkd,0.0002461207008969,0
MtdsendInvkd,0.0002080368463198,0
ParamDfSiMtdPars,0.0001506423020929,0
ParamDfSiMtdHandl,4.2388291786728725e-05,0
InnerCls,0.0,0
sink,0.0,0
ImplicitMtd,0.0,0
ClsNmCtnRedirect,0.0,0
MtdDumpInvkd,0.0,0
ParamDfSiMtdDump,0.0,0
MtdNmCtnSetheader,0.0,0
MtdConstructor,0.0,0
ClsNmEndsRender,0.0,0
ClsAnonymous,0.0,0
ClsSTATIC,0.0,0
ParamTypCtnWeb,0.0,0
MtdNmStrtSet,0.0,0
MtdRunInvkd,0.0,0
ParamDfSiMtdUpdat,0.0,0
MtdNmCtnDump,0.0,0
ParamDfSiMtdPrint,0.0,0
ParamDfSiMtdRun,0.0,0
ClsNmCtnHtml,0.0,0
MtdStrtOn,0.0,0
MtdNmCtnRedirect,0.0,0
MtdPrintInvkd,-4.944220748000679e-07,0
ClsNmCtnManager,-9.269553024697044e-07,0
MtdNmCtnSend,-3.487993918844615e-05,0
ParamDfSiMtdSend,-0.0001259008644173,0
MtdputInvkd,-0.0002389614572988,0
