Feature,SHAP Value,Source
MtdNmCtnReadNotThread,0.0,0
MtdDecodInvkd,0.0,0
MtdLoadInvkd,0.0,0
RtnTypServlet,0.0,0
MtdFrmClswebInvkd,0.0,0
MtdNmCtnStream,0.0,0
MtdNmCtnCreat,0.0,0
ParamTypCtnSql,0.0,0
ClsNmCtnWeb,0.0,0
ParamTypCtnStr,0.0,0
ClsNmCtnSecurity,0.0,0
MtdReqInvkd,0.0,0
ClsPUBLIC,0.0,0
ParamTypCtnIo,0.0,0
SoMtdRtnDecode,0.0,0
SoMtdRtnLoad,0.0,0
ClsFINAL,0.0,0
ClsNmCtnOutPut,0.0,0
MtdOutPutInvkd,0.0,0
RtnTypCharsequence,0.0,0
MtdCtnParams,0.0,0
MtdNmCtnUnescap,0.0,0
RtnTypByte[],0.0,0
MtdNmCtnDecod,0.0,0
MtdCreatInvkd,0.0,0
ParamTypCtnWeb,0.0,0
MtdReadInvkd,0.0,0
MtdModFINAL,0.0,0
MtdNmCtnPars,0.0,0
SoMtdRtnRead,0.0,0
ParamTypCtnChar[],0.0,0
ClsNmCtnIo,0.0,0
ParamTypCtnByte[],0.0,0
RtnTypNode,0.0,0
ClsNmCtnSql,0.0,0
MtdGetInvkd,0.0,0
SoMtdRtnUnescape,0.0,0
ClsNmCtnNet,0.0,0
MtdFrmClsIoInvkd,0.0,0
MtdFrmClsNetInvkd,0.0,0
ParamTypCtnCharsequence,0.0,0
MtdNmCtnName,0.0,0
ClsAnonymous,0.0,0
ClsSTATIC,0.0,0
MtdNmCtnReq,0.0,0
SoMtdRtnCreate,0.0,0
MtdFrmClsDbInvkd,0.0,0
RtnTypDocument,0.0,0
MtdModPUBLIC,0.0,0
MtdModSTATIC,0.0,0
MtdNmCtnRetriev,0.0,0
ClsNmCtnManager,0.0,0
MtdNmCtnLoadNotPayload,0.0,0
MtdUnescapInvkd,0.0,0
MtdConstructor,0.0,0
ImplicitMtd,0.0,0
ClsNmCtnHtml,0.0,0
SoMtdRtnReq,0.0,0
MtdRtnsConst,0.0,0
RtnTypStr,0.0,0
MtdFrmClsSqlInvkd,0.0,0
MtdNmStrtGet,0.0,0
MtdModPRIVATE,0.0,0
ParamTypCtnDb,0.0,0
RtnTypReq,0.0,0
SoMtdRtnGet,0.0,0
MtdNmCtnObject,0.0,0
InnerCls,0.0,0
source,0.0,0
MtdNmCtnReadNotThread,0.0,1
MtdDecodInvkd,0.0,1
MtdLoadInvkd,0.0,1
RtnTypServlet,0.0,1
MtdFrmClswebInvkd,0.0,1
MtdNmCtnStream,0.0,1
MtdNmCtnCreat,0.0,1
ParamTypCtnSql,0.0,1
ClsNmCtnWeb,0.0,1
ParamTypCtnStr,0.0,1
ClsNmCtnSecurity,0.0,1
MtdReqInvkd,0.0,1
ClsPUBLIC,0.0,1
ParamTypCtnIo,0.0,1
SoMtdRtnDecode,0.0,1
SoMtdRtnLoad,0.0,1
ClsFINAL,0.0,1
ClsNmCtnOutPut,0.0,1
MtdOutPutInvkd,0.0,1
RtnTypCharsequence,0.0,1
MtdCtnParams,0.0,1
MtdNmCtnUnescap,0.0,1
RtnTypByte[],0.0,1
MtdNmCtnDecod,0.0,1
MtdCreatInvkd,0.0,1
ParamTypCtnWeb,0.0,1
MtdReadInvkd,0.0,1
MtdModFINAL,0.0,1
MtdNmCtnPars,0.0,1
SoMtdRtnRead,0.0,1
ParamTypCtnChar[],0.0,1
ClsNmCtnIo,0.0,1
ParamTypCtnByte[],0.0,1
RtnTypNode,0.0,1
ClsNmCtnSql,0.0,1
MtdGetInvkd,0.0,1
SoMtdRtnUnescape,0.0,1
ClsNmCtnNet,0.0,1
MtdFrmClsIoInvkd,0.0,1
MtdFrmClsNetInvkd,0.0,1
ParamTypCtnCharsequence,0.0,1
MtdNmCtnName,0.0,1
ClsAnonymous,0.0,1
ClsSTATIC,0.0,1
MtdNmCtnReq,0.0,1
SoMtdRtnCreate,0.0,1
MtdFrmClsDbInvkd,0.0,1
RtnTypDocument,0.0,1
MtdModPUBLIC,0.0,1
MtdModSTATIC,0.0,1
MtdNmCtnRetriev,0.0,1
ClsNmCtnManager,0.0,1
MtdNmCtnLoadNotPayload,0.0,1
MtdUnescapInvkd,0.0,1
MtdConstructor,0.0,1
ImplicitMtd,0.0,1
ClsNmCtnHtml,0.0,1
SoMtdRtnReq,0.0,1
MtdRtnsConst,0.0,1
RtnTypStr,0.0,1
MtdFrmClsSqlInvkd,0.0,1
MtdNmStrtGet,0.0,1
MtdModPRIVATE,0.0,1
ParamTypCtnDb,0.0,1
RtnTypReq,0.0,1
SoMtdRtnGet,0.0,1
MtdNmCtnObject,0.0,1
InnerCls,0.0,1
source,0.0,1
MtdNmCtnReadNotThread,0.0,2
MtdDecodInvkd,0.0,2
MtdLoadInvkd,0.0,2
RtnTypServlet,0.0,2
MtdFrmClswebInvkd,0.0,2
MtdNmCtnStream,0.0,2
MtdNmCtnCreat,0.0,2
ParamTypCtnSql,0.0,2
ClsNmCtnWeb,0.0,2
ParamTypCtnStr,0.0,2
ClsNmCtnSecurity,0.0,2
MtdReqInvkd,0.0,2
ClsPUBLIC,0.0,2
ParamTypCtnIo,0.0,2
SoMtdRtnDecode,0.0,2
SoMtdRtnLoad,0.0,2
ClsFINAL,0.0,2
ClsNmCtnOutPut,0.0,2
MtdOutPutInvkd,0.0,2
RtnTypCharsequence,0.0,2
MtdCtnParams,0.0,2
MtdNmCtnUnescap,0.0,2
RtnTypByte[],0.0,2
MtdNmCtnDecod,0.0,2
MtdCreatInvkd,0.0,2
ParamTypCtnWeb,0.0,2
MtdReadInvkd,0.0,2
MtdModFINAL,0.0,2
MtdNmCtnPars,0.0,2
SoMtdRtnRead,0.0,2
ParamTypCtnChar[],0.0,2
ClsNmCtnIo,0.0,2
ParamTypCtnByte[],0.0,2
RtnTypNode,0.0,2
ClsNmCtnSql,0.0,2
MtdGetInvkd,0.0,2
SoMtdRtnUnescape,0.0,2
ClsNmCtnNet,0.0,2
MtdFrmClsIoInvkd,0.0,2
MtdFrmClsNetInvkd,0.0,2
ParamTypCtnCharsequence,0.0,2
MtdNmCtnName,0.0,2
ClsAnonymous,0.0,2
ClsSTATIC,0.0,2
MtdNmCtnReq,0.0,2
SoMtdRtnCreate,0.0,2
MtdFrmClsDbInvkd,0.0,2
RtnTypDocument,0.0,2
MtdModPUBLIC,0.0,2
MtdModSTATIC,0.0,2
MtdNmCtnRetriev,0.0,2
ClsNmCtnManager,0.0,2
MtdNmCtnLoadNotPayload,0.0,2
MtdUnescapInvkd,0.0,2
MtdConstructor,0.0,2
ImplicitMtd,0.0,2
ClsNmCtnHtml,0.0,2
SoMtdRtnReq,0.0,2
MtdRtnsConst,0.0,2
RtnTypStr,0.0,2
MtdFrmClsSqlInvkd,0.0,2
MtdNmStrtGet,0.0,2
MtdModPRIVATE,0.0,2
ParamTypCtnDb,0.0,2
RtnTypReq,0.0,2
SoMtdRtnGet,0.0,2
MtdNmCtnObject,0.0,2
InnerCls,0.0,2
source,0.0,2
MtdNmCtnReadNotThread,0.0,3
MtdDecodInvkd,0.0,3
MtdLoadInvkd,0.0,3
RtnTypServlet,0.0,3
MtdFrmClswebInvkd,0.0,3
MtdNmCtnStream,0.0,3
MtdNmCtnCreat,0.0,3
ParamTypCtnSql,0.0,3
ClsNmCtnWeb,0.0,3
ParamTypCtnStr,0.0,3
ClsNmCtnSecurity,0.0,3
MtdReqInvkd,0.0,3
ClsPUBLIC,0.0,3
ParamTypCtnIo,0.0,3
SoMtdRtnDecode,0.0,3
SoMtdRtnLoad,0.0,3
ClsFINAL,0.0,3
ClsNmCtnOutPut,0.0,3
MtdOutPutInvkd,0.0,3
RtnTypCharsequence,0.0,3
MtdCtnParams,0.0,3
MtdNmCtnUnescap,0.0,3
RtnTypByte[],0.0,3
MtdNmCtnDecod,0.0,3
MtdCreatInvkd,0.0,3
ParamTypCtnWeb,0.0,3
MtdReadInvkd,0.0,3
MtdModFINAL,0.0,3
MtdNmCtnPars,0.0,3
SoMtdRtnRead,0.0,3
ParamTypCtnChar[],0.0,3
ClsNmCtnIo,0.0,3
ParamTypCtnByte[],0.0,3
RtnTypNode,0.0,3
ClsNmCtnSql,0.0,3
MtdGetInvkd,0.0,3
SoMtdRtnUnescape,0.0,3
ClsNmCtnNet,0.0,3
MtdFrmClsIoInvkd,0.0,3
MtdFrmClsNetInvkd,0.0,3
ParamTypCtnCharsequence,0.0,3
MtdNmCtnName,0.0,3
ClsAnonymous,0.0,3
ClsSTATIC,0.0,3
MtdNmCtnReq,0.0,3
SoMtdRtnCreate,0.0,3
MtdFrmClsDbInvkd,0.0,3
RtnTypDocument,0.0,3
MtdModPUBLIC,0.0,3
MtdModSTATIC,0.0,3
MtdNmCtnRetriev,0.0,3
ClsNmCtnManager,0.0,3
MtdNmCtnLoadNotPayload,0.0,3
MtdUnescapInvkd,0.0,3
MtdConstructor,0.0,3
ImplicitMtd,0.0,3
ClsNmCtnHtml,0.0,3
SoMtdRtnReq,0.0,3
MtdRtnsConst,0.0,3
RtnTypStr,0.0,3
MtdFrmClsSqlInvkd,0.0,3
MtdNmStrtGet,0.0,3
MtdModPRIVATE,0.0,3
ParamTypCtnDb,0.0,3
RtnTypReq,0.0,3
SoMtdRtnGet,0.0,3
MtdNmCtnObject,0.0,3
InnerCls,0.0,3
source,0.0,3
MtdNmCtnReadNotThread,0.0,4
MtdDecodInvkd,0.0,4
MtdLoadInvkd,0.0,4
RtnTypServlet,0.0,4
MtdFrmClswebInvkd,0.0,4
MtdNmCtnStream,0.0,4
MtdNmCtnCreat,0.0,4
ParamTypCtnSql,0.0,4
ClsNmCtnWeb,0.0,4
ParamTypCtnStr,0.0,4
ClsNmCtnSecurity,0.0,4
MtdReqInvkd,0.0,4
ClsPUBLIC,0.0,4
ParamTypCtnIo,0.0,4
SoMtdRtnDecode,0.0,4
SoMtdRtnLoad,0.0,4
ClsFINAL,0.0,4
ClsNmCtnOutPut,0.0,4
MtdOutPutInvkd,0.0,4
RtnTypCharsequence,0.0,4
MtdCtnParams,0.0,4
MtdNmCtnUnescap,0.0,4
RtnTypByte[],0.0,4
MtdNmCtnDecod,0.0,4
MtdCreatInvkd,0.0,4
ParamTypCtnWeb,0.0,4
MtdReadInvkd,0.0,4
MtdModFINAL,0.0,4
MtdNmCtnPars,0.0,4
SoMtdRtnRead,0.0,4
ParamTypCtnChar[],0.0,4
ClsNmCtnIo,0.0,4
ParamTypCtnByte[],0.0,4
RtnTypNode,0.0,4
ClsNmCtnSql,0.0,4
MtdGetInvkd,0.0,4
SoMtdRtnUnescape,0.0,4
ClsNmCtnNet,0.0,4
MtdFrmClsIoInvkd,0.0,4
MtdFrmClsNetInvkd,0.0,4
ParamTypCtnCharsequence,0.0,4
MtdNmCtnName,0.0,4
ClsAnonymous,0.0,4
ClsSTATIC,0.0,4
MtdNmCtnReq,0.0,4
SoMtdRtnCreate,0.0,4
MtdFrmClsDbInvkd,0.0,4
RtnTypDocument,0.0,4
MtdModPUBLIC,0.0,4
MtdModSTATIC,0.0,4
MtdNmCtnRetriev,0.0,4
ClsNmCtnManager,0.0,4
MtdNmCtnLoadNotPayload,0.0,4
MtdUnescapInvkd,0.0,4
MtdConstructor,0.0,4
ImplicitMtd,0.0,4
ClsNmCtnHtml,0.0,4
SoMtdRtnReq,0.0,4
MtdRtnsConst,0.0,4
RtnTypStr,0.0,4
MtdFrmClsSqlInvkd,0.0,4
MtdNmStrtGet,0.0,4
MtdModPRIVATE,0.0,4
ParamTypCtnDb,0.0,4
RtnTypReq,0.0,4
SoMtdRtnGet,0.0,4
MtdNmCtnObject,0.0,4
InnerCls,0.0,4
source,0.0,4
MtdNmCtnReadNotThread,0.0,5
MtdDecodInvkd,0.0,5
MtdLoadInvkd,0.0,5
RtnTypServlet,0.0,5
MtdFrmClswebInvkd,0.0,5
MtdNmCtnStream,0.0,5
MtdNmCtnCreat,0.0,5
ParamTypCtnSql,0.0,5
ClsNmCtnWeb,0.0,5
ParamTypCtnStr,0.0,5
ClsNmCtnSecurity,0.0,5
MtdReqInvkd,0.0,5
ClsPUBLIC,0.0,5
ParamTypCtnIo,0.0,5
SoMtdRtnDecode,0.0,5
SoMtdRtnLoad,0.0,5
ClsFINAL,0.0,5
ClsNmCtnOutPut,0.0,5
MtdOutPutInvkd,0.0,5
RtnTypCharsequence,0.0,5
MtdCtnParams,0.0,5
MtdNmCtnUnescap,0.0,5
RtnTypByte[],0.0,5
MtdNmCtnDecod,0.0,5
MtdCreatInvkd,0.0,5
ParamTypCtnWeb,0.0,5
MtdReadInvkd,0.0,5
MtdModFINAL,0.0,5
MtdNmCtnPars,0.0,5
SoMtdRtnRead,0.0,5
ParamTypCtnChar[],0.0,5
ClsNmCtnIo,0.0,5
ParamTypCtnByte[],0.0,5
RtnTypNode,0.0,5
ClsNmCtnSql,0.0,5
MtdGetInvkd,0.0,5
SoMtdRtnUnescape,0.0,5
ClsNmCtnNet,0.0,5
MtdFrmClsIoInvkd,0.0,5
MtdFrmClsNetInvkd,0.0,5
ParamTypCtnCharsequence,0.0,5
MtdNmCtnName,0.0,5
ClsAnonymous,0.0,5
ClsSTATIC,0.0,5
MtdNmCtnReq,0.0,5
SoMtdRtnCreate,0.0,5
MtdFrmClsDbInvkd,0.0,5
RtnTypDocument,0.0,5
MtdModPUBLIC,0.0,5
MtdModSTATIC,0.0,5
MtdNmCtnRetriev,0.0,5
ClsNmCtnManager,0.0,5
MtdNmCtnLoadNotPayload,0.0,5
MtdUnescapInvkd,0.0,5
MtdConstructor,0.0,5
ImplicitMtd,0.0,5
ClsNmCtnHtml,0.0,5
SoMtdRtnReq,0.0,5
MtdRtnsConst,0.0,5
RtnTypStr,0.0,5
MtdFrmClsSqlInvkd,0.0,5
MtdNmStrtGet,0.0,5
MtdModPRIVATE,0.0,5
ParamTypCtnDb,0.0,5
RtnTypReq,0.0,5
SoMtdRtnGet,0.0,5
MtdNmCtnObject,0.0,5
InnerCls,0.0,5
source,0.0,5
MtdNmCtnReadNotThread,0.0,6
MtdDecodInvkd,0.0,6
MtdLoadInvkd,0.0,6
RtnTypServlet,0.0,6
MtdFrmClswebInvkd,0.0,6
MtdNmCtnStream,0.0,6
MtdNmCtnCreat,0.0,6
ParamTypCtnSql,0.0,6
ClsNmCtnWeb,0.0,6
ParamTypCtnStr,0.0,6
ClsNmCtnSecurity,0.0,6
MtdReqInvkd,0.0,6
ClsPUBLIC,0.0,6
ParamTypCtnIo,0.0,6
SoMtdRtnDecode,0.0,6
SoMtdRtnLoad,0.0,6
ClsFINAL,0.0,6
ClsNmCtnOutPut,0.0,6
MtdOutPutInvkd,0.0,6
RtnTypCharsequence,0.0,6
MtdCtnParams,0.0,6
MtdNmCtnUnescap,0.0,6
RtnTypByte[],0.0,6
MtdNmCtnDecod,0.0,6
MtdCreatInvkd,0.0,6
ParamTypCtnWeb,0.0,6
MtdReadInvkd,0.0,6
MtdModFINAL,0.0,6
MtdNmCtnPars,0.0,6
SoMtdRtnRead,0.0,6
ParamTypCtnChar[],0.0,6
ClsNmCtnIo,0.0,6
ParamTypCtnByte[],0.0,6
RtnTypNode,0.0,6
ClsNmCtnSql,0.0,6
MtdGetInvkd,0.0,6
SoMtdRtnUnescape,0.0,6
ClsNmCtnNet,0.0,6
MtdFrmClsIoInvkd,0.0,6
MtdFrmClsNetInvkd,0.0,6
ParamTypCtnCharsequence,0.0,6
MtdNmCtnName,0.0,6
ClsAnonymous,0.0,6
ClsSTATIC,0.0,6
MtdNmCtnReq,0.0,6
SoMtdRtnCreate,0.0,6
MtdFrmClsDbInvkd,0.0,6
RtnTypDocument,0.0,6
MtdModPUBLIC,0.0,6
MtdModSTATIC,0.0,6
MtdNmCtnRetriev,0.0,6
ClsNmCtnManager,0.0,6
MtdNmCtnLoadNotPayload,0.0,6
MtdUnescapInvkd,0.0,6
MtdConstructor,0.0,6
ImplicitMtd,0.0,6
ClsNmCtnHtml,0.0,6
SoMtdRtnReq,0.0,6
MtdRtnsConst,0.0,6
RtnTypStr,0.0,6
MtdFrmClsSqlInvkd,0.0,6
MtdNmStrtGet,0.0,6
MtdModPRIVATE,0.0,6
ParamTypCtnDb,0.0,6
RtnTypReq,0.0,6
SoMtdRtnGet,0.0,6
MtdNmCtnObject,0.0,6
InnerCls,0.0,6
source,0.0,6
MtdNmCtnReadNotThread,0.0,7
MtdDecodInvkd,0.0,7
