Feature,GlobalShapValAgg
ClsNmCtnEncod,0.00019655083151055768
ParamDfRtn,2.0669816611963215e-05
MtdModFINAL,6.704555142281113e-05
RtnTypByte[],7.784948631012823e-05
MtdModPUBLIC,0.00025529756454595754
ClsEscapInvkd,0.0
MtdSanitiInvkd,0.0008316977263258749
ParamTypCtnStringbuilder,9.426803985409089e-06
ClsNmEndsEncoder,0.0001096706456144719
MtdNmStrtSet,0.0
ClsSTATIC,0.0
MtdNmCtnEscapeNotUnescape,0.001932148220834959
MtdNmCtnUnescape,3.716657026736628e-05
MtdNmCtnStrip,0.0
MtdNmStrtPut,0.0
MethodEncodInvkd,3.1990045457840404e-05
MtdNmCtnVerif,3.706861681331094e-05
MtdNmStrtGet,0.0
MtdNmCtnEncodNotEncoding,0.0038301757878340193
ParamTypEqRtnTyp,0.0013860232382994788
ImplicitMtd,2.3626687560593177e-05
ClsNmCtnPage,0.0
ClsFINAL,3.8497298289632246e-05
ClsEncodInvkd,0.0
RtnTypCharSequence,0.0
MethodEscapInvkd,0.0
MethodMatchInvkd,0.00013280403806347963
MethodRegexInvkd,0.0
ParamTypCtnChar[],3.0457736153508154e-05
RtnTypStr,0.005866262811036979
MtdNmCtnReplac,0.002117429736032795
ClsNmCtnValid,0.00020049843081050312
MethodStripInvkd,0.0
MtdConstructor,0.0
ClsNmCtnEscap,4.3180703472442485e-05
ParamTypCtnStr,0.0014245813132420426
ParamTypCtnCharsequence,0.00019883459995313418
MtdNmStrtHas,0.0
ParamTypCtnByte[],6.306184105235208e-05
MtdNmCtnRegex,0.0005050556224349422
ClsRegexInvkd,6.94760739803556e-05
MtdReplacInvkd,3.513894263863283e-05
MtdCtnParams,0.0019330645191392944
ClsNmCtnSaniti,0.00019346581193799558
ClsSanitiInvkd,0.0001860776658829358
MtdModSTATIC,0.000165704208547669
MtdNmCtnSaniti,0.001657338824691066
ClsPUBLIC,3.561075792739113e-05
