row,dataset_row,base_value,prediction,ClsNmCtnEncod,ParamDfRtn,MtdModFINAL,RtnTypByte[],MtdModPUBLIC,ClsEscapInvkd,MtdSanitiInvkd,ParamTypCtnStringbuilder,ClsNmEndsEncoder,MtdNmStrtSet,ClsSTATIC,MtdNmCtnEscapeNotUnescape,MtdNmCtnUnescape,MtdNmCtnStrip,MtdNmStrtPut,MethodEncodInvkd,MtdNmCtnVerif,MtdNmStrtGet,MtdNmCtnEncodNotEncoding,ParamTypEqRtnTyp,ImplicitMtd,ClsNmCtnPage,ClsFINAL,ClsEncodInvkd,RtnTypCharSequence,MethodEscapInvkd,MethodMatchInvkd,MethodRegexInvkd,ParamTypCtnChar[],RtnTypStr,MtdNmCtnReplac,ClsNmCtnValid,MethodStripInvkd,MtdConstructor,ClsNmCtnEscap,ParamTypCtnStr,ParamTypCtnCharsequence,MtdNmStrtHas,ParamTypCtnByte[],MtdNmCtnRegex,ClsRegexInvkd,MtdReplacInvkd,MtdCtnParams,ClsNmCtnSaniti,ClsSanitiInvkd,MtdModSTATIC,MtdNmCtnSaniti,ClsPUBLIC
0,8109,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007015291165939826,0.0,-0.00017986899888869796,0.0,0.0,-0.001399307380835308,0.0,0.0,0.0,-4.1695107691348684e-05,0.0,0.0,-0.0012600289613627271,-0.0005936033456299129,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014972642204689608,0.0,0.0,-0.003253014529962498,-0.0005128171496669032,-0.00012364741171817488,0.0,0.0,0.0,-0.0007455654468811571,0.0,0.0,0.0,0.0,-9.39678516948653e-05,0.0,-0.0020961007895738378,0.0,0.0,-0.0001787528473921323,-0.0006703746400615572,0.0
1,5710,0.012,0.0,0.0,0.0,0.0,0.00014815416376078215,0.0,0.0,-0.0007265461791549922,0.0,-9.063297880797569e-05,0.0,0.0,-0.001501330878948109,-6.5026677933545e-05,0.0,0.0,-0.00011596842863322849,0.0,0.0,-0.0013951600820344648,-0.0005194066347905228,-5.82560728458675e-05,0.0,-1.8602812510694026e-05,0.0,0.0,0.0,-0.00018993611352270172,0.0,0.0,-0.0032969457165969514,-0.0005253476623956661,0.0,0.0,0.0,0.0,-0.0006159456989918287,-6.35496517000605e-05,0.0,0.0,0.0,-3.485516064012177e-05,-4.901568537390615e-05,-0.0019379992637467564,0.0,0.0,-0.0002261352919967372,-0.0007174931731366539,0.0
2,3146,0.012,1.734723475976807e-18,-0.00020329619098272662,0.0,0.0,-0.00010092659551703898,0.0,0.0,-0.0007114875852297657,0.0,-1.2829102540576636e-05,0.0,0.0,-0.0014124083153383134,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014402698005422804,-0.0005360784897810655,-6.617518378327967e-05,0.0,0.0,0.0,0.0,0.0,-0.00010150653972230312,0.0,-8.259465510427304e-05,-0.0033434393729000512,-0.0004314343768047085,-0.00013037340682158535,0.0,0.0,-5.644509268816247e-05,-0.0005824480659367667,0.0,0.0,0.0,-6.013228969389409e-05,0.0,-3.635866698573532e-05,-0.0019224921863571704,0.0,0.0,-6.393977429592571e-05,-0.0007053643089743756,0.0
3,8746,0.012,0.0,-0.00016439116266744126,0.0,-6.618869801892117e-06,0.0,-4.468710025148439e-05,0.0,-0.0007366410745329846,0.0,-0.0001155051798333667,0.0,0.0,-0.0014395364410172418,0.0,0.0,0.0,0.0,-7.552316254530411e-05,0.0,-0.0012747755471189562,-0.0005498841677685064,-5.2296058426691506e-05,0.0,0.0,0.0,0.0,0.0,-9.584624789843895e-05,0.0,0.0,-0.0032521951544765616,-0.0004713146235429609,-0.00016933263102205282,0.0,0.0,0.0,-0.0007414065076623401,0.0,0.0,-1.066672675488537e-05,0.0,0.0,0.0,-0.0020230161265982496,0.0,0.0,-0.00017142935618213217,-0.0006049338618985094,0.0
4,7367,0.012,3.469446951953614e-18,-9.656686559187054e-05,0.0,0.0,0.0,0.0,0.0,-0.0007987265102613853,0.0,-5.6622337493831406e-05,0.0,0.0,-0.0019413332589906932,0.0,0.0,0.0,0.0,0.0,0.0,-0.001843491093239879,-0.000383406758421958,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001520025509847041,0.0,-3.2618377950323936e-05,-0.004426718444774045,-0.0006711478579111463,-0.00013987143553291989,0.0,0.0,-1.0399335101793009e-05,-0.0005092486191760791,0.0,0.0,-2.3723469532382667e-05,-1.4905309980589456e-05,-1.65618412714146e-05,-6.787455198674091e-05,0.0,0.0,0.0,-3.80623307564618e-05,-0.0007767190510417805,0.0
5,7203,0.012,3.469446951953614e-18,-4.318622532632934e-05,0.0,0.0,-8.219404862491733e-05,0.0,0.0,-0.00090471723956107,0.0,-8.214309692119317e-05,0.0,0.0,-0.0017483254697085128,0.0,0.0,0.0,0.0,-4.6869516462675904e-05,0.0,-0.0016988621779558937,-0.0005718317393282227,0.0,0.0,0.0,0.0,0.0,0.0,-6.427525460085444e-05,0.0,0.0,-0.004247443399649465,-0.0006677527977024375,-7.575550560222848e-05,0.0,0.0,0.0,-0.0006696272762329678,0.0,0.0,-3.535942243721499e-05,-4.111917140256951e-05,-9.560330184235416e-05,0.0,0.0,0.0,0.0,-0.00014982247610918,-0.0007751118805319115,0.0
6,364,0.012,0.0,-8.82690053125972e-05,-3.0138080902089764e-05,-9.039553586750023e-06,-0.00011493338792140984,-6.973678694779527e-05,0.0,-0.0006708101154435681,0.0,-0.00015720799706325073,0.0,0.0,-0.0014002426771378296,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013957231899472521,-0.0003906912920400332,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002514955124195302,0.0,-5.784081174457172e-06,-0.003309794467912132,-0.00055474356806463,-0.00023909127301975072,0.0,0.0,0.0,-0.0006037744482219262,0.0,0.0,0.0,0.0,-5.06096093858453e-05,0.0,-0.001950561547072107,0.0,0.0,-0.0001322805761082685,-0.0005750728303187767,0.0
7,4992,0.012,0.0,-7.386490452854294e-05,0.0,0.0,0.0,0.0,0.0,-0.0008562185049196841,0.0,-8.012270741017649e-05,0.0,0.0,-0.0018155604647616186,-3.2272252310344884e-05,0.0,0.0,0.0,-1.5615872154642525e-05,0.0,-0.0017130976379094547,-0.0005696341180383405,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002549826694384676,0.0,0.0,-0.004122301380666931,-0.0005831530231569559,-0.0001579792602204662,0.0,0.0,-1.5297452300510203e-05,-0.0006473401063825687,0.0,0.0,0.0,0.0,-5.060988698980414e-05,0.0,-1.3079820455237984e-05,0.0,0.0,-0.0001412191591096277,-0.0008576507792466236,0.0
8,5598,0.012,0.0,-8.19529744238195e-05,0.0,0.0,0.0,-3.500089827860332e-05,0.0,-0.0008579816953443894,0.0,-4.68038579940972e-05,0.0,0.0,-0.0017925113736820461,-1.656740276219033e-05,0.0,0.0,-1.2901307089280983e-05,0.0,0.0,-0.0017269521235092626,-0.0004858023623872705,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013186642377703873,0.0,-1.5320890578631107e-05,-0.004120078965973518,-0.0006428415920580312,-0.00018312548993532074,0.0,0.0,0.0,-0.0006405071164466582,0.0,0.0,0.0,0.0,-6.45489191265856e-05,0.0,-2.371677789209957e-05,0.0,0.0,-0.00017026311377304538,-0.0009318606811020691,-1.93960338660433e-05
9,5815,0.012,0.0,-9.776886853679036e-05,-0.00014029759287807755,0.0,-1.60780025707166e-05,-0.0005084725920750797,0.0,-0.0005068975402248006,0.0,0.0,0.0,0.0,-0.0013227587055439736,-2.073692489329263e-05,0.0,0.0,0.0,-0.00016062278454581665,0.0,-0.0012231691123110674,-0.0005997097787065721,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002606866517931337,0.0,0.0,-0.003085293105660016,-0.0004490366061002834,-0.000145979344035503,0.0,0.0,0.0,-0.0007370575171758318,0.0,0.0,0.0,0.0,-9.441453386208255e-05,0.0,-0.0019295776438948246,0.0,0.0,0.0,-0.0006761487211415003,-2.5293974050637907e-05
