Feature,LocalShapValAgg
ClsNmCtnEncod,0.0
ParamDfRtn,5.661993152759913e-06
MtdModFINAL,0.0
RtnTypByte[],0.0
MtdModPUBLIC,5.5409371976151965e-05
ClsEscapInvkd,0.0
MtdSanitiInvkd,0.0
ParamTypCtnStringbuilder,0.0
ClsNmEndsEncoder,0.0
MtdNmStrtSet,0.0
ClsSTATIC,0.0
MtdNmCtnEscapeNotUnescape,0.0
MtdNmCtnUnescape,0.0
MtdNmCtnStrip,0.0
MtdNmStrtPut,0.0
MethodEncodInvkd,8.627324121845844e-06
MtdNmCtnVerif,0.0
MtdNmStrtGet,0.0
MtdNmCtnEncodNotEncoding,0.0006413580487811494
ParamTypEqRtnTyp,0.0002084748292239415
ImplicitMtd,8.782466994011034e-06
ClsNmCtnPage,0.0
ClsFINAL,7.32406690175557e-06
ClsEncodInvkd,0.0
RtnTypCharSequence,0.0
MethodEscapInvkd,0.0
MethodMatchInvkd,0.0
MethodRegexInvkd,0.0
ParamTypCtnChar[],0.0
RtnTypStr,0.00038008297997947844
MtdNmCtnReplac,0.0
ClsNmCtnValid,0.0
MethodStripInvkd,0.0
MtdConstructor,0.0
ClsNmCtnEscap,0.0
ParamTypCtnStr,0.0007396110076206122
ParamTypCtnCharsequence,0.0
MtdNmStrtHas,0.0
ParamTypCtnByte[],2.1251601052318234e-05
MtdNmCtnRegex,0.0
ClsRegexInvkd,0.0
MtdReplacInvkd,1.1662659352830467e-05
MtdCtnParams,0.0
ClsNmCtnSaniti,0.0
ClsSanitiInvkd,0.0
MtdModSTATIC,5.4604789229584e-05
MtdNmCtnSaniti,0.0
ClsPUBLIC,0.00019874715062045628
