Feature,LocalShapValAgg
ClsNmCtnEncod,0.0
ParamDfRtn,8.34981132602184e-06
MtdModFINAL,0.0
RtnTypByte[],0.0
MtdModPUBLIC,0.00018087213309752196
ClsEscapInvkd,0.0
MtdSanitiInvkd,0.0
ParamTypCtnStringbuilder,0.0
ClsNmEndsEncoder,0.0
MtdNmStrtSet,0.0
ClsSTATIC,0.0
MtdNmCtnEscapeNotUnescape,0.0
MtdNmCtnUnescape,0.0
MtdNmCtnStrip,0.0
MtdNmStrtPut,0.0
MethodEncodInvkd,0.000521637546297924
MtdNmCtnVerif,0.0
MtdNmStrtGet,0.0
MtdNmCtnEncodNotEncoding,0.0017895696449414433
ParamTypEqRtnTyp,0.00024943238400742244
ImplicitMtd,1.810339652437654e-05
ClsNmCtnPage,0.0
ClsFINAL,6.440997011747486e-05
ClsEncodInvkd,0.0
RtnTypCharSequence,6.064151765524497e-08
MethodEscapInvkd,0.0
MethodMatchInvkd,0.0
MethodRegexInvkd,0.0
ParamTypCtnChar[],0.0
RtnTypStr,0.0012263061970121509
MtdNmCtnReplac,0.0
ClsNmCtnValid,0.0
MethodStripInvkd,0.0
MtdConstructor,0.0
ClsNmCtnEscap,0.0
ParamTypCtnStr,0.00038178558219490534
ParamTypCtnCharsequence,0.0
MtdNmStrtHas,0.0
ParamTypCtnByte[],0.00010212800486664492
MtdNmCtnRegex,0.0
ClsRegexInvkd,0.0
MtdReplacInvkd,6.355874092677086e-06
MtdCtnParams,0.0
ClsNmCtnSaniti,0.0
ClsSanitiInvkd,0.0
MtdModSTATIC,0.00038606667126117475
MtdNmCtnSaniti,0.0
ClsPUBLIC,4.1093550770984404e-05
