row,dataset_row,base_value,prediction,ClsNmCtnEncod,ParamDfRtn,MtdModFINAL,RtnTypByte[],MtdModPUBLIC,ClsEscapInvkd,MtdSanitiInvkd,ParamTypCtnStringbuilder,ClsNmEndsEncoder,MtdNmStrtSet,ClsSTATIC,MtdNmCtnEscapeNotUnescape,MtdNmCtnUnescape,MtdNmCtnStrip,MtdNmStrtPut,MethodEncodInvkd,MtdNmCtnVerif,MtdNmStrtGet,MtdNmCtnEncodNotEncoding,ParamTypEqRtnTyp,ImplicitMtd,ClsNmCtnPage,ClsFINAL,ClsEncodInvkd,RtnTypCharSequence,MethodEscapInvkd,MethodMatchInvkd,MethodRegexInvkd,ParamTypCtnChar[],RtnTypStr,MtdNmCtnReplac,ClsNmCtnValid,MethodStripInvkd,MtdConstructor,ClsNmCtnEscap,ParamTypCtnStr,ParamTypCtnCharsequence,MtdNmStrtHas,ParamTypCtnByte[],MtdNmCtnRegex,ClsRegexInvkd,MtdReplacInvkd,MtdCtnParams,ClsNmCtnSaniti,ClsSanitiInvkd,MtdModSTATIC,MtdNmCtnSaniti,ClsPUBLIC
0,40,0.0018130691716904694,1.860748217524192e-07,0.0,1.3911583867577546e-06,0.0,0.0,9.714436178006803e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002489013842774205,0.0,0.0,-0.0006633960252437628,-3.903602277809701e-05,1.5113580916715933e-06,0.0,7.116698769302517e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006192388794673217,0.0,0.0,0.0,0.0,0.0,-3.185311320738447e-05,0.0,0.0,-2.90567618772242e-06,0.0,0.0,-2.5563696071075746e-06,0.0,0.0,0.0,-0.00021966597277240236,0.0,1.3417241391353463e-06
1,139,0.0018130691716904694,0.4084283363810945,0.0,-0.0005757618472714007,0.0,0.0,0.017033772361215765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06093858327198906,0.0,0.0,0.21317711635992545,-0.015100045977996152,0.0011793906415241539,0.0,-0.0036317470718895,0.0,0.0,0.0,0.0,0.0,0.0,0.13216616384131188,0.0,0.0,0.0,0.0,0.0,-0.0372762109759425,0.0,0.0,-0.001845655088865553,0.0,0.0,0.0004657232885194675,0.0,0.0,0.0,0.04297897422048923,0.0,-0.002895035813605895
2,114,0.0018130691716904694,1.8607482175198552e-07,0.0,3.7056139138211558e-06,0.0,0.0,6.451373074708593e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00025620422835363315,0.0,0.0,-0.0006541158580358053,-3.6353356377536655e-05,-2.5906805529417103e-06,0.0,3.6114592912506153e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006268290890397119,0.0,0.0,0.0,0.0,0.0,-3.24563373653977e-05,0.0,0.0,7.600312863901341e-07,0.0,0.0,3.555881090681816e-06,0.0,0.0,0.0,-0.0002227553804087537,0.0,3.587787970336107e-06
3,23,0.0018130691716904694,0.00022565271784302787,0.0,-2.4450669460275343e-05,0.0,0.0,-0.001836925233145814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035314766228316955,0.0,0.0,-0.0022014343985128906,0.0014890837059045512,1.032629722384369e-05,0.0,-8.866450682154493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0007255521479620161,0.0,0.0,0.0,0.0,0.0,0.0009337156654008607,0.0,0.0,-0.00042907037529488776,0.0,0.0,2.0977339423154716e-05,0.0,0.0,0.0,0.00023982970538835986,0.0,-7.320846963164559e-05
4,109,0.0018130691716904694,1.860748217524192e-07,0.0,-5.0868122973677675e-06,0.0,0.0,9.30900594182883e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024243062449396955,0.0,0.0,-0.0006600332506062417,-3.7558586828588654e-05,-5.344778727513329e-06,0.0,-5.536004631075335e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006282906631150266,0.0,0.0,0.0,0.0,0.0,-2.5259778765359362e-05,0.0,0.0,8.79143466081293e-07,0.0,0.0,-3.793382908069323e-07,0.0,0.0,0.0,-0.00021537548892351302,0.0,2.2240804028351036e-06
5,30,0.0018130691716904694,1.860748217524192e-07,0.0,4.115699575528737e-06,0.0,0.0,7.5543685559829025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024290924947181514,0.0,0.0,-0.0006580655272225849,-3.890629033192568e-05,-4.117254994272618e-06,0.0,1.0110849845380687e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.000632494631823814,0.0,0.0,0.0,0.0,0.0,-2.345694514431621e-05,0.0,0.0,-3.45516905454034e-07,0.0,0.0,3.920720969573377e-06,0.0,0.0,0.0,-0.0002189110303138967,0.0,-1.0278524746260833e-05
6,176,0.0018130691716904694,1.8607482175220236e-07,0.0,1.7640616677957431e-06,0.0,0.0,3.5611225527807e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024351562545050346,0.0,0.0,-0.0006559305666801241,-4.324966448765449e-05,5.132384273709347e-06,0.0,-3.720668872999183e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006250044639937851,0.0,0.0,0.0,0.0,0.0,-2.2250274633434353e-05,0.0,0.0,-6.849172309848731e-06,0.0,0.0,2.38916007597074e-06,0.0,0.0,0.0,-0.0002213382003507866,0.0,-7.21979064553682e-06
7,100,0.0018130691716904694,8.542835363213987e-06,0.0,1.3799015361434272e-05,0.0,0.0,0.00013421194986822134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002495616016540054,0.0,0.0,-0.0011192543749045858,-0.0008888206335403478,-3.7961613002928784e-05,0.0,-2.553945780541146e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016023642080586786,0.0,0.0,0.0,0.0,0.0,-0.0005382197925932563,0.0,0.0,0.0029117637317725336,0.0,0.0,9.891256571430877e-06,0.0,0.0,0.0,-0.0003899059857978508,0.0,-4.555013456868052e-05
8,37,0.0018130691716904694,0.004123311757699126,0.0,-3.485168807850905e-05,0.0,0.0,0.00029951582175572063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005179578388638532,0.0,0.0,-0.0027312130800556445,0.0027212194490113827,-2.509675225586611e-05,0.0,-0.0003251429487632548,0.0,0.0,0.0,0.0,0.0,0.0,0.0019338645645167144,0.0,0.0,0.0,0.0,0.0,0.0015875922778586424,0.0,0.0,-0.0010686975058205228,0.0,0.0,2.017619365764361e-05,0.0,0.0,0.0,0.0007297452270669865,0.0,-0.00027891113402078336
9,216,0.0018130691716904694,1.1633461916053193e-06,0.0,3.5195915784984042e-06,0.0,0.0,1.0380630989749322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027765481803921965,0.0,0.0,-0.0010624949946658948,-4.598358570599136e-05,2.546917004000661e-06,0.0,5.446949731361403e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007795455306804339,0.0,0.0,0.0,0.0,0.0,0.0005893263405322134,0.0,0.0,-2.943351035786643e-06,0.0,0.0,-9.250243871829162e-06,0.0,0.0,0.0,-0.00024322559802310103,0.0,-2.028133312430378e-06
