row,dataset_row,base_value,prediction,ClsNmCtnWeb,MtdNmCtnSend,MtdNmCtnExecut,MtdModFINAL,ClsNmCtnInput,ClsNmEndsReq,ClsNmCtnRedirect,ParamDfSiMtdRun,ParamTypCtnSql,ParamDfSiMtdDump,ParamDfSiMtdStream,MtdWritInvkd,MtdSetInvkd,MtdNmCtnHandl,ParamDfSiMtdLog,MtdModPRIVATE,ClsNmCtnManager,RtnTypResultSet,MtdExecutInvkd,ClsFINAL,ParamDfSiMtdPrint,MtdUpdatInvkd,ClsWebInvkd,MtdNmCtnLog,ParamTypCtnDb,ParamDfSiMtdExecut,MtdRunInvkd,ParamTypCtnStr,ParamDfSiMtdUpdat,MtdReplacInvkd,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,ClsLogInvkd,MtdParsInvkd,ParamTypCtnWeb,ParamDfSiMtdHandl,MtdModPUBLIC,ParamTypCtn.io.,ClsNmEndsRender,MtdNmCtnWrit,InnerCls,MtdLogInvkd,MtdNmCtnPrint,MtdPutInvkd,ClsDbInvkd,ParamTypCtnStringbuilder,ParamDfSiMtdWrit,ClsNmCtnResponse,ClsNmCtnJdbc,MtdNmStrtSet,ClsSTATIC,MtdNmCtnUpdat,MtdNmCtnRedirect,ParamDfSiMtdSet,MtdNmCtnStream,ParamDfSiMtdPut,Implicit method,Cls.io.Invkd,Cls.net.Invkd,ClsNmCtn.io.,MtdHandlInvkd,ClsNmCtnHtml,MtdNmStrtOn,ClsAnonymous,ParamTypCtnChar[],MtdNmCtnReplac,MtdPrintInvkd,ClsNmCtnNet,MtdConstructor,ParamDfSiMtdSend,MtdSendInvkd,MtdNmCtnRun,ParamTypCtnCharsequence,ParamTypCtnByte[],MtdLoneGetterOrSetter,ParamDfSiMtdPars,MtdCtnParams,MtdNmCtnDump,MtdDumpInvkd,ClsNmCtnSql,ClsPUBLIC,MtdNmCtnSetheader
0,8109,0.20800000000000002,0.0,0.0,0.0,-0.0038779472263855393,0.0,0.0,0.0,0.0,-0.0008840145170698426,0.0,0.0,0.0,0.0,0.0,0.0,-0.004124848062686324,0.0,0.0,0.0,-0.0021199757300047113,0.0,0.0,-0.003683266014863264,0.0,0.0,0.0,0.0,-0.00037635778397358865,0.0,0.0,0.0,0.0,-0.00023256775800858237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01957593673007591,0.0,0.0,0.0,-0.014508475785853004,0.0,0.0,0.0,-0.00047855194689855633,0.0,0.0,0.0,0.0,0.0,-0.025697257434343375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003549932186627177,-0.0036022978124954064,-0.0001656430379342081,0.0,0.0,0.0,-0.0015902867651370136,0.0,0.0,-0.01768129393519257,-0.0009787657137090599,-0.09872332475113003,0.0,0.0,-0.006149256807611858,0.0,0.0
1,5710,0.20800000000000002,0.0,0.0,-0.00024556478087464195,-0.0038039573605566676,0.0,-5.552479336019716e-05,0.0,0.0,-0.00045400652169993257,0.0,0.0,0.0,0.0,0.0,0.0,-0.004381667280258726,0.0,0.0,-0.00034771755713722616,-0.0017576232345243557,0.0,0.0,-0.0032116922833519204,-0.00020572221164128808,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011591619312290204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020375000574142852,0.0,0.0,0.0,-0.013774110676829826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026246280613070157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004072337095024062,-0.003583326509955888,0.0,0.0,0.0,0.0,-0.0011663622134690946,0.0,0.0,-0.017585523806879975,-0.0012660007024813645,-0.09860240378206282,0.0,0.0,-0.006749261809556123,0.0,0.0
2,3146,0.20800000000000002,0.0,0.0,0.0,-0.0036587057263667445,0.0,0.0,0.0,0.0,-0.0010573198914151716,0.0,0.0,0.0,0.0,0.0,0.0,-0.003545943670679745,0.0,-0.0004545403893484459,0.0,-0.002249608933383572,0.0,0.0,-0.0031676861784281514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020401907901265264,0.0,0.0,0.0,-0.014283776218064353,0.0,0.0,0.0,-0.00032224471252135346,0.0,0.0,0.0,0.0,0.0,-0.026232454727131857,0.0,0.0,0.0,0.0,0.0,-0.00012232640889605717,0.0,0.0,0.0,0.0,0.0,-0.004195576735145137,-0.004042453631948289,0.0,0.0,0.0,0.0,-0.001092795155483477,-0.0001104416820863507,0.0,-0.01688886373992551,-0.0011954686252629474,-0.09871104594231062,0.0,0.0,-0.006266839730336982,0.0,0.0
3,8746,0.20800000000000002,-5.551115123125783e-17,0.0,0.0,-0.0032404664535548716,0.0,0.0,0.0,0.0,-0.0013024658170957873,0.0,0.0,0.0,0.0,0.0,0.0,-0.004416475350321495,0.0,0.0,0.0,-0.0021635312416579586,0.0,0.0,-0.00360522190486361,-0.0005978288877373719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027232230745898632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01999463079298731,0.0,0.0,0.0,-0.014531757405302555,0.0,0.0,0.0,-0.0004447157571561091,0.0,0.0,0.0,0.0,0.0,-0.026764807448773343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004296861340835767,-0.004356333669463153,0.0,0.0,0.0,0.0,-0.0018626818079012428,0.0,0.0,-0.017357352730036028,-0.000635824549554997,-0.09876072768717957,0.0,0.0,-0.006391540230168746,0.0,0.0
4,7367,0.20800000000000002,1.0,0.0,0.0,-0.004587464184146934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0044155630171938244,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034384763809312004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006416296107199118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6177608729984414,0.0,0.0,0.0,-0.017607043579824917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023698986053207242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004739929760848751,-0.003726176489821757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017750974478965596,0.0,0.25504449824937636,0.0,0.0,-0.007257053410076653,0.0,0.0
5,7203,0.20800000000000002,1.0,0.0,0.0,-0.003439604628994961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004126535939513028,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042058502639820495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019694958199897108,0.0,0.0,0.0,-0.01714111014752658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02438474170646944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004102446291120387,-0.002912816847425042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250794229855119,0.0,0.2544702247118682,0.0,0.0,-0.007541583672451502,0.0,0.0
6,364,0.20800000000000002,-2.7755575615628914e-17,-0.00014413533271377012,-0.000540193003720821,-0.003708259740427371,0.0,0.0,0.0,0.0,-0.0006051216389832593,0.0,0.0,0.0,0.0,0.0,0.0,-0.003780265356660428,0.0,0.0,0.0,-0.002426025781682761,0.0,0.0,-0.0028639054622663206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019504115463193555,0.0,0.0,0.0,-0.014898562836231496,0.0,0.0,0.0,-0.0003659477957999198,0.0,0.0,0.0,0.0,0.0,-0.025818914674125056,0.0,0.0,-0.0002478012175523715,-0.0002667799032695829,0.0,-0.00034677965092402564,0.0,-0.00031760616233423124,0.0,0.0,-6.246749310713413e-05,-0.003163686721207612,-0.004281122246317975,0.0,0.0,0.0,0.0,-0.0017896605337154225,0.0,0.0,-0.017344295857709986,-0.00115398440960438,-0.0978168351321942,0.0,0.0,-0.0065535335862583755,0.0,0.0
7,4992,0.20800000000000002,0.0,-0.0001509099649631395,-0.0007697373502775129,-0.00869219776198051,-0.0012007911243385701,0.0,0.0,0.0,-0.0023029263373076404,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075032925386834025,0.0,0.0,-0.000888587360778922,-0.0042032177355174425,0.0,0.0,-0.008081152341590295,0.0,0.0,0.0,0.0,-0.0007592303646508386,0.0,0.0,0.0,0.0,0.0,0.0012297861239034952,0.0029687038333575115,0.0,-0.00018012448760308889,0.0,0.0,0.0,0.0,0.0,-0.04136154430910723,0.0,-0.0001524347312252031,0.0,-0.03466675960550903,0.0031416623005911825,0.0,0.0,-0.003043550031754842,0.0,0.0,0.0,-6.839311030214643e-05,0.0,-0.05026456004521614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007311607945678616,-0.008028265074999796,0.0,0.0,0.0,0.0,-0.0025885171226060536,0.0,0.0,-0.03485736538426504,-0.0028131758123726603,0.01745748951635402,0.0,0.0,-0.01277413512217972,-0.0001351661112983793,0.0
8,5598,0.20800000000000002,5.551115123125783e-17,0.0,0.0,0.0,0.022847118348646136,-0.010773282629333308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01644526133416309,-0.018823373276802426,0.0,0.0,0.0,0.0,-0.010212667634974582,0.0,-0.003856284508435279,0.0,0.0,0.0,-0.01667921450182774,0.0,0.0,0.0,0.0,0.013612783686365022,-0.0075839946609348756,0.0,-0.36942342267578865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019809459467166956,0.0,0.011684701889469733,-0.007120107295658923,0.2620650597172576,-0.38057883298783424,0.0,-0.012348594214266321,0.0,0.0,0.0,0.0,0.0,0.0,-0.024473326981418624,-0.006217343741905377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008164659370420525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0192476250249218,0.0,0.1082236022159206,0.0,0.0,0.28004041292294884,-0.007606751143081347,0.0
9,5815,0.20800000000000002,0.0,0.0,0.0,-0.003171732468640614,0.0,0.0,0.0,0.0,-0.0015544952717124604,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039000281350152475,0.0,0.0,-0.0004877704480667485,-0.002884416736446234,0.0,0.0,-0.003691735562674172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035552142785143476,0.0,0.0,-0.020799234567305327,0.0,0.0,0.0,-0.01364444334465762,0.0,0.0,0.0,-0.0003008723793579265,0.0,0.0,0.0,0.0,0.0,-0.025669058391878483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038810783159931137,-0.0032588204896983955,0.0,0.0,0.0,0.0,-0.001350603785753342,0.0,0.0,-0.016961096089500336,-0.001331708368019038,-0.09844470434959689,0.0,0.0,-0.006312679867832627,0.0,0.0
