Feature,LocalShapValAgg
ClsNmCtnWeb,0.0
MtdNmCtnSend,0.0
MtdNmCtnExecut,0.0073554499804428485
MtdModFINAL,7.491855794275194e-05
ClsNmCtnInput,0.0
ClsNmEndsReq,0.0
ClsNmCtnRedirect,0.0
ParamDfSiMtdRun,0.0
ParamTypCtnSql,7.46187314762369e-05
ParamDfSiMtdDump,0.0
ParamDfSiMtdStream,9.63374090386717e-05
MtdWritInvkd,7.823104663731767e-05
MtdSetInvkd,8.769097317586554e-05
MtdNmCtnHandl,0.0
ParamDfSiMtdLog,0.0
MtdModPRIVATE,7.777813757068356e-05
ClsNmCtnManager,0.0
RtnTypResultSet,0.0
MtdExecutInvkd,0.0023934751777720618
ClsFINAL,1.834098367818412e-05
ParamDfSiMtdPrint,0.0
MtdUpdatInvkd,0.008803788315362498
ClsWebInvkd,0.00011284639951986428
MtdNmCtnLog,0.0
ParamTypCtnDb,0.0
ParamDfSiMtdExecut,0.0
MtdRunInvkd,0.0
ParamTypCtnStr,3.9772716565931006e-05
ParamDfSiMtdUpdat,5.640210858679391e-05
MtdReplacInvkd,4.629589283903252e-05
MtdNmCtnPars,0.00010611653936449144
ClsNmCtnSecurity,0.0
MtdModSTATIC,3.766146398211081e-05
ClsSqlInvkd,0.0020478693711682813
ClsLogInvkd,0.0
MtdParsInvkd,0.000166737209567945
ParamTypCtnWeb,0.0
ParamDfSiMtdHandl,0.0
MtdModPUBLIC,7.735730935552114e-05
ParamTypCtn.io.,9.822117019028284e-05
ClsNmEndsRender,0.0
MtdNmCtnWrit,0.046886167257582184
InnerCls,0.0
MtdLogInvkd,2.443867761936791e-05
MtdNmCtnPrint,0.0
MtdPutInvkd,0.047571760675447924
ClsDbInvkd,0.007384120871588006
ParamTypCtnStringbuilder,0.0
ParamDfSiMtdWrit,3.897841694722117e-05
ClsNmCtnResponse,0.0
ClsNmCtnJdbc,0.0
MtdNmStrtSet,0.0
ClsSTATIC,0.0
MtdNmCtnUpdat,0.0
MtdNmCtnRedirect,0.0
ParamDfSiMtdSet,0.05629872939237531
MtdNmCtnStream,8.224929387110261e-05
ParamDfSiMtdPut,0.00010303246737816908
Implicit method,0.0
Cls.io.Invkd,0.00011089972201961823
Cls.net.Invkd,0.00012838308481159637
ClsNmCtn.io.,0.0
MtdHandlInvkd,0.0
ClsNmCtnHtml,0.0
MtdNmStrtOn,0.0
ClsAnonymous,0.0
ParamTypCtnChar[],0.0
MtdNmCtnReplac,0.0
MtdPrintInvkd,0.005956631118534929
ClsNmCtnNet,0.0
MtdConstructor,0.0
ParamDfSiMtdSend,0.0
MtdSendInvkd,0.0
MtdNmCtnRun,0.0
ParamTypCtnCharsequence,0.0
ParamTypCtnByte[],0.0
MtdLoneGetterOrSetter,0.012066760266403654
ParamDfSiMtdPars,0.0059451305902976275
MtdCtnParams,0.044382304019818436
MtdNmCtnDump,0.0
MtdDumpInvkd,0.0
ClsNmCtnSql,0.007286514211693397
ClsPUBLIC,9.054074856517347e-05
MtdNmCtnSetheader,0.0
