row,dataset_row,base_value,prediction,ClsNmCtnWeb,MtdNmCtnSend,MtdNmCtnExecut,MtdModFINAL,ClsNmCtnInput,ClsNmEndsReq,ClsNmCtnRedirect,ParamDfSiMtdRun,ParamTypCtnSql,ParamDfSiMtdDump,ParamDfSiMtdStream,MtdWritInvkd,MtdSetInvkd,MtdNmCtnHandl,ParamDfSiMtdLog,MtdModPRIVATE,ClsNmCtnManager,RtnTypResultSet,MtdExecutInvkd,ClsFINAL,ParamDfSiMtdPrint,MtdUpdatInvkd,ClsWebInvkd,MtdNmCtnLog,ParamTypCtnDb,ParamDfSiMtdExecut,MtdRunInvkd,ParamTypCtnStr,ParamDfSiMtdUpdat,MtdReplacInvkd,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,ClsLogInvkd,MtdParsInvkd,ParamTypCtnWeb,ParamDfSiMtdHandl,MtdModPUBLIC,ParamTypCtn.io.,ClsNmEndsRender,MtdNmCtnWrit,InnerCls,MtdLogInvkd,MtdNmCtnPrint,MtdPutInvkd,ClsDbInvkd,ParamTypCtnStringbuilder,ParamDfSiMtdWrit,ClsNmCtnResponse,ClsNmCtnJdbc,MtdNmStrtSet,ClsSTATIC,MtdNmCtnUpdat,MtdNmCtnRedirect,ParamDfSiMtdSet,MtdNmCtnStream,ParamDfSiMtdPut,Implicit method,Cls.io.Invkd,Cls.net.Invkd,ClsNmCtn.io.,MtdHandlInvkd,ClsNmCtnHtml,MtdNmStrtOn,ClsAnonymous,ParamTypCtnChar[],MtdNmCtnReplac,MtdPrintInvkd,ClsNmCtnNet,MtdConstructor,ParamDfSiMtdSend,MtdSendInvkd,MtdNmCtnRun,ParamTypCtnCharsequence,ParamTypCtnByte[],MtdLoneGetterOrSetter,ParamDfSiMtdPars,MtdCtnParams,MtdNmCtnDump,MtdDumpInvkd,ClsNmCtnSql,ClsPUBLIC,MtdNmCtnSetheader
0,71,0.128,2.7755575615628914e-17,0.0,0.0,-0.004654378192339386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.788604644519737e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020909311772364307,0.0,0.0,-0.005971138170856685,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001191353053181234,0.0,0.0,0.0,0.0,0.0016404776579296639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031982054918481786,0.0,0.0,0.0,-0.03196198426657559,0.0020099301809926983,0.0,-0.00011638466571626861,0.0,0.0,0.0,0.0,0.0,0.0,-0.03785158896187855,0.0,0.0,0.0,0.0,-0.00018730367736671138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003946590334982529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00785181051167845,-0.003927295334507587,0.00404947973408217,0.0,0.0,-0.004853801735707247,-9.760427391397597e-05,0.0
1,187,0.128,0.0,0.0,0.0,-0.004665043390588015,0.00012761066138137166,0.0,0.0,0.0,0.0,-5.249202684504754e-05,0.0,0.0,0.0,0.0,0.0,0.0,-9.673101140720498e-05,0.0,0.0,-0.0020148031407602822,0.0,0.0,-0.005941951836239752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.908528470505104e-05,0.0,-5.333529485681008e-05,0.001344648571381037,0.0,-0.00011745727333579086,0.0,0.0,0.0,-1.2863068253183521e-05,0.0,-0.03194588878288827,0.0,0.0001665280979484237,0.0,-0.03186043649212821,0.0019682668423003057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03807877533300683,0.0,0.0,0.0,-8.976553437217104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004105948758108336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007921305360777679,-0.003929624931018549,0.004108679791333991,0.0,0.0,-0.004504467728260391,-0.00023575871679357152,0.0
2,70,0.128,0.0,0.0,0.0,-0.004707301578170646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020774893861825908,0.000174074274215346,0.0,-0.005995540254763017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1852950661433436e-05,0.0,0.0,0.0,0.0014888340659286242,0.0,-8.595283948964095e-05,0.0,0.0,0.0,0.0,0.0,-0.03189494064343624,0.0,0.0,0.0,-0.031983771665042175,0.0020019312430807185,0.0,-0.00015718343133495108,0.0,0.0,0.0,0.0,0.0,0.0,-0.03796829176288752,0.0,0.0,0.0,0.0,-7.539110664206372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004120591932568646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077716870651941584,-0.004064012849360088,0.003997738847735292,0.0,0.0,-0.00471857096522682,0.0,0.0
3,236,0.128,0.0,0.0,0.0,-0.004519842200615293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021375583907936972,0.00010352584118792896,-8.466416039474973e-05,0.0,0.0,-0.00012205568379711977,0.0,0.0,-0.00197011648134076,0.0,0.0,-0.006106121495590378,0.0,0.0,0.0,0.0,0.0,0.0,0.0001491338462510284,0.0,-8.70181769701601e-05,0.0,-6.083152786068639e-05,0.0013851137298182602,0.0,-0.00015426868269517073,0.0,0.0,0.0,-5.355781347567484e-05,0.0,-0.032042031560447576,0.0,0.0,0.0,-0.031897479012832464,0.002039067057717442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038017044945439483,0.0,0.0,0.0,0.00014312640126221848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003961591641509943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00799266366547716,-0.0040320199066850955,0.0038691738752684246,0.0,0.0,-0.004801589635452977,0.0,0.0
4,135,0.128,0.0,0.0,0.0,-0.0021393901328944764,-4.190895719243961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005572438516242459,0.0,0.0,-0.002468599490632184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006384913230308478,0.0,0.0,0.0,0.0015988596068895985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016239721122688552,0.0,0.0,0.0,-0.015531206653185364,-0.06361409286611792,0.0,-0.0004585708541384534,0.0,0.0,0.0,0.0,0.0,0.0,-0.018912508564978024,0.0,0.0,0.0,-0.0006135051988726458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002309523958840685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035083204087614055,-0.0019279464955010944,0.002603887722719828,0.0,0.0,-0.0032417174511510938,0.0,0.0
5,203,0.128,2.7755575615628914e-17,0.0,0.0,-0.0046682699002242286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019272430181618806,0.0,0.0,-0.005873009678791635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001364570512041678,0.0,-8.196336635928533e-05,0.0,0.0,0.0,0.0,0.0,-0.03192138326218138,0.0,-0.00010264251287918815,0.0,-0.03188492632893776,0.002071565768077685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038030815626089266,-0.0001222912308640559,-0.0001494207096067759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038855150261394226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008134350214808886,-0.00397886284268595,0.003856578208734187,0.0,0.0,-0.004532020771123815,0.0,0.0
6,214,0.128,0.0,0.0,0.0,-0.0026122704727831224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022997391342846622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015994519157396992,0.0,-0.014843720057370037,0.0,0.0,0.0,-0.016032042735194246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019841587242452406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017467064803170036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037227365479825408,-0.0011376143981511881,-0.06262784246888262,0.0,0.0,-0.002975795271008219,0.0,0.0
7,231,0.128,0.0,0.0,0.0,-0.0047395684006873075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021147037619655907,0.0,0.0,0.0,0.0,0.0,-0.001963304621292263,0.0,0.0,-0.005940819334286351,0.0,0.0,0.0,0.0,0.0,0.0,0.0001321429871279679,0.0,-7.455135866687142e-05,0.0,-0.00016259037511400114,0.0015259220822725723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031869823782013036,0.0,0.0,0.0,-0.03205184877627592,0.0020702890638561624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037978814350120974,0.0,-6.227297838793308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003998910664670973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008080367710438538,-0.003907348399248844,0.004065812072607017,0.0,0.0,-0.004752475078464144,0.0,0.0
8,149,0.128,2.7755575615628914e-17,0.0,0.0,-0.004625972946150922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.585648464206094e-05,-0.00013371754606775354,0.0,0.0,0.0,0.0,0.0,0.0,-0.002050358694889759,-2.3403803996092687e-05,0.0,-0.005872029128913918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013753008573541938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03195091462324449,0.0,0.0,0.0,-0.03186075589182021,0.0021227902414981056,0.0,-7.067782807981246e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.03802974457320854,0.0,-6.400673593569925e-05,0.0,-9.624362723123015e-05,-4.738501549894475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003987464470633855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007876072173353264,-0.003920812667015939,0.004038810784348388,0.0,0.0,-0.004811789337432238,-3.969633508593695e-05,0.0
9,27,0.128,0.0,0.0,0.0,-0.004577333098767147,0.0,0.0,0.0,0.0,0.0,0.0002850376582722327,0.0,-5.845987227834316e-05,0.0,-0.00013226174751323184,0.0,0.0,0.0,0.0,0.0,-0.0019560751557544847,-0.00012542323206996895,0.0,-0.0059365987988766935,-5.5152732771895106e-05,0.0,0.0,0.0,0.0,0.0,0.00012377463269443406,0.0,0.0,0.0,0.0,0.001312382907477662,0.0,0.0,0.0,0.0,0.0,-8.28464955348894e-05,0.0,-0.032229355933182845,0.0,0.0,0.0,-0.03201533026173832,0.0019399786752512982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03800440064681652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004052873871276182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008000035552360455,-0.003952381315064974,0.004155820882858641,0.0,0.0,-0.00463846604254832,0.0,0.0
