Feature,LocalShapValAgg
ClsNmCtnWeb,0.0
MtdNmCtnSend,0.0
MtdNmCtnExecut,0.004525715593905549
MtdModFINAL,0.0026079141636804796
ClsNmCtnInput,0.0
ClsNmEndsReq,0.0
ClsNmCtnRedirect,0.0
ParamDfSiMtdRun,0.0
ParamTypCtnSql,0.0009504113078512864
ParamDfSiMtdDump,0.0
ParamDfSiMtdStream,0.0007200448685744042
MtdWritInvkd,0.012800197351865095
MtdSetInvkd,0.018226976180962
MtdNmCtnHandl,0.0
ParamDfSiMtdLog,0.0
MtdModPRIVATE,0.007022589165409705
ClsNmCtnManager,0.0
RtnTypResultSet,0.0
MtdExecutInvkd,0.0011256451458285174
ClsFINAL,0.010094160410741656
ParamDfSiMtdPrint,0.0
MtdUpdatInvkd,0.004927435593611395
ClsWebInvkd,0.0005599503621064935
MtdNmCtnLog,0.0
ParamTypCtnDb,0.0
ParamDfSiMtdExecut,0.0
MtdRunInvkd,0.0
ParamTypCtnStr,0.05584089492523808
ParamDfSiMtdUpdat,0.0006655160867002356
MtdReplacInvkd,0.00045645976206962343
MtdNmCtnPars,0.0018342247526142198
ClsNmCtnSecurity,0.0
MtdModSTATIC,0.02002824786122991
ClsSqlInvkd,0.0006009446105442694
ClsLogInvkd,0.0
MtdParsInvkd,0.0013995922100117158
ParamTypCtnWeb,0.0
ParamDfSiMtdHandl,0.0
MtdModPUBLIC,0.04801929735361866
ParamTypCtn.io.,0.004104273816132623
ClsNmEndsRender,0.0
MtdNmCtnWrit,0.006339790267785615
InnerCls,0.0
MtdLogInvkd,0.0015846674876451015
MtdNmCtnPrint,0.0
MtdPutInvkd,0.015103367717193
ClsDbInvkd,0.0021846754581851253
ParamTypCtnStringbuilder,0.0
ParamDfSiMtdWrit,0.0018157456571141395
ClsNmCtnResponse,0.0
ClsNmCtnJdbc,0.0
MtdNmStrtSet,0.0
ClsSTATIC,0.0
MtdNmCtnUpdat,0.0
MtdNmCtnRedirect,0.0
ParamDfSiMtdSet,0.018626578489266254
MtdNmCtnStream,0.0006456669904672871
ParamDfSiMtdPut,0.001490532831399587
Implicit method,0.0
Cls.io.Invkd,0.011061834431546838
Cls.net.Invkd,0.0023210135762035283
ClsNmCtn.io.,0.0
MtdHandlInvkd,0.0
ClsNmCtnHtml,0.0
MtdNmStrtOn,0.0
ClsAnonymous,0.0
ParamTypCtnChar[],0.0
MtdNmCtnReplac,0.0
MtdPrintInvkd,0.0015622570248531365
ClsNmCtnNet,0.0
MtdConstructor,0.0
ParamDfSiMtdSend,0.0
MtdSendInvkd,0.0
MtdNmCtnRun,0.0
ParamTypCtnCharsequence,0.0
ParamTypCtnByte[],0.0
MtdLoneGetterOrSetter,0.006359198009644479
ParamDfSiMtdPars,0.0010103864852654845
MtdCtnParams,0.12238961079284771
MtdNmCtnDump,0.0
MtdDumpInvkd,0.0
ClsNmCtnSql,0.004460114648466687
ClsPUBLIC,0.015742955167386965
MtdNmCtnSetheader,0.0
