row,dataset_row,base_value,prediction,ClsNmCtnWeb,MtdNmCtnSend,MtdNmCtnExecut,MtdModFINAL,ClsNmCtnInput,ClsNmEndsReq,ClsNmCtnRedirect,ParamDfSiMtdRun,ParamTypCtnSql,ParamDfSiMtdDump,ParamDfSiMtdStream,MtdWritInvkd,MtdSetInvkd,MtdNmCtnHandl,ParamDfSiMtdLog,MtdModPRIVATE,ClsNmCtnManager,RtnTypResultSet,MtdExecutInvkd,ClsFINAL,ParamDfSiMtdPrint,MtdUpdatInvkd,ClsWebInvkd,MtdNmCtnLog,ParamTypCtnDb,ParamDfSiMtdExecut,MtdRunInvkd,ParamTypCtnStr,ParamDfSiMtdUpdat,MtdReplacInvkd,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,ClsLogInvkd,MtdParsInvkd,ParamTypCtnWeb,ParamDfSiMtdHandl,MtdModPUBLIC,ParamTypCtn.io.,ClsNmEndsRender,MtdNmCtnWrit,InnerCls,MtdLogInvkd,MtdNmCtnPrint,MtdPutInvkd,ClsDbInvkd,ParamTypCtnStringbuilder,ParamDfSiMtdWrit,ClsNmCtnResponse,ClsNmCtnJdbc,MtdNmStrtSet,ClsSTATIC,MtdNmCtnUpdat,MtdNmCtnRedirect,ParamDfSiMtdSet,MtdNmCtnStream,ParamDfSiMtdPut,Implicit method,Cls.io.Invkd,Cls.net.Invkd,ClsNmCtn.io.,MtdHandlInvkd,ClsNmCtnHtml,MtdNmStrtOn,ClsAnonymous,ParamTypCtnChar[],MtdNmCtnReplac,MtdPrintInvkd,ClsNmCtnNet,MtdConstructor,ParamDfSiMtdSend,MtdSendInvkd,MtdNmCtnRun,ParamTypCtnCharsequence,ParamTypCtnByte[],MtdLoneGetterOrSetter,ParamDfSiMtdPars,MtdCtnParams,MtdNmCtnDump,MtdDumpInvkd,ClsNmCtnSql,ClsPUBLIC,MtdNmCtnSetheader
0,71,0.27969558130130423,0.5535066431961637,0.0,0.0,-0.0033282406969470813,0.0021679105345974877,0.0,0.0,0.0,0.0,-0.0018858137518332609,0.0,-0.0006640822381738944,-0.007360326013737024,-0.0160922396716983,0.0,0.0,0.0039540937652298444,0.0,0.0,-0.001551837150455364,0.009598173556138673,0.0,-0.0020317372821022843,-0.0008900094896117979,0.0,0.0,0.0,0.0,0.10131594518939399,-0.0005599352143230242,-0.0011282142974066074,-0.0006477065441257785,0.0,0.01534319322158264,-0.00011221712088869535,0.0,-0.0006015669534693515,0.0,0.0,0.06081213379875535,-0.003123509642221621,0.0,-0.0032392308507010787,0.0,0.0005360587111395681,0.0,-0.011641935921862512,0.0019257924620846268,0.0,-0.000582062451503562,0.0,0.0,0.0,0.0,0.0,0.0,-0.010948768649086478,0.0012811852684320624,-0.0012420499882445802,0.0,0.01423558160089302,0.003534152036297496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016270922675394928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029141994067945114,0.0006453118215497874,0.1100433525201811,0.0,0.0,-0.0021861075615787614,0.02131267753210342,0.0
1,187,0.27969558130130423,0.32584277899369357,0.0,0.0,-0.0019956272508541307,0.001553470459848606,0.0,0.0,0.0,0.0,-0.00046811955854101213,0.0,-0.00012669709078398,-0.011237411084896046,-0.012137091903682359,0.0,0.0,-0.0015756901356563555,0.0,0.0,-0.000907500994293122,0.008760979942825108,0.0,-0.003729530357645937,0.00010734302068825045,0.0,0.0,0.0,0.0,-0.059948366329773795,-0.00020748237409377984,-0.00023367972843800074,-0.0010830582889000424,0.0,0.016138705478777594,0.0,0.0,-0.00023970349507720343,0.0,0.0,0.03642256552643157,-0.0014690979672020994,0.0,-0.001598945977611388,0.0,0.0016058613372695498,0.0,-0.009784855185965613,0.0017472383791360857,0.0,-0.0011703179681869975,0.0,0.0,0.0,0.0,0.0,0.0,-0.008339106812272084,0.0005192434618408008,-0.0011457152856018387,0.0,0.008382506229473537,-0.0005629635388464489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013165141561116264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003914809527006708,-0.0008711676783511534,0.08892471197408824,0.0,0.0,-0.00304229345018405,0.009090318021985781,0.0
2,70,0.27969558130130423,0.5535066431961637,0.0,0.0,-0.0020012096341976548,0.0025514605036169105,0.0,0.0,0.0,0.0,-0.00038366179464326844,0.0,-0.0016804721707673982,-0.007011293887953875,-0.016221039060469088,0.0,0.0,0.004167733773328636,0.0,0.0,0.0,0.00978179209314714,0.0,-0.002775990633269015,0.0,0.0,0.0,0.0,0.0,0.10055974179594347,0.0,0.0,-0.002358685411393218,0.0,0.015840880167921418,0.0,0.0,-0.0014834479233402404,0.0,0.0,0.06122487031046144,-0.0032871190826875957,0.0,-0.003270864702840223,0.0,0.0,0.0,-0.012193043898016514,0.0021995422692555697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010328340277992658,0.0,0.0,0.0,0.013405400573579042,0.0024714581976758416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008564312806638277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002207781788279049,0.0,0.10966737320847085,0.0,0.0,-0.0022929242696380038,0.020293114817610813,0.0
3,236,0.27969558130130423,0.32584277899369357,0.0,0.0,-0.0024955551393973582,0.0017304274318630103,0.0,0.0,0.0,0.0,-0.0005928053926781084,0.0,0.0,-0.01141988112791884,-0.012203112804025848,0.0,0.0,-0.0008212931793745843,0.0,0.0,-0.0004052594237067773,0.008705903600287801,0.0,-0.003946526295980096,0.0,0.0,0.0,0.0,0.0,-0.06058075616696006,-0.00045214958266074083,0.0,-0.0012434271910168686,0.0,0.01628107127291688,0.000566536845045494,0.0,0.00019492911223910466,0.0,0.0,0.03604321944151767,-0.0009512445281625194,0.0,-0.0017438928241227476,0.0,0.0015720924313418132,0.0,-0.009558176906338103,0.0014389889732017117,0.0,-0.0016574081679036855,0.0,0.0,0.0,0.0,0.0,0.0,-0.00856941191030339,0.0001829562855877283,-0.0011234949795839943,0.0,0.008327406933503723,-0.0007821495922596659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012576915708237338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037596277468425906,-0.000987358558508496,0.08887342929103212,0.0,0.0,-0.002676616177187885,0.00945807533960838,0.0
4,135,0.27969558130130423,0.48624594445945835,0.0,0.0,-0.0028967322687000626,0.0034519033246689004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0069911612998279195,-0.015032555633574342,0.0,0.0,0.002291896372446075,0.0,0.0,-0.0016814390027811753,0.008454306415078171,0.0,-0.0020479876649002653,0.0,0.0,0.0,0.0,0.0,0.09752959723811452,0.0,0.0,-0.0014026500913303062,0.0,0.013843718993666291,0.0,0.0,-0.0005737699506187942,0.0,0.0,0.05415408368185225,-0.0029288850825094502,0.0,-0.0033557269769624617,0.0,0.0,0.0,-0.010546643368575082,-0.04004749975613026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009822640089992994,0.0,-0.0002882883337990648,0.0,0.011321804786684044,0.00238336392625515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010758674302781283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031398470176191443,0.0,0.0983917939440378,0.0,0.0,-0.0025750458598890005,0.01913463430283932,0.0
5,203,0.27969558130130423,0.32584277899369357,0.0,0.0,-0.002340417804659776,0.0014566918506986773,0.0,0.0,0.0,0.0,-0.0004957397906641104,0.0,-0.00044670774659579936,-0.011403046519852354,-0.012144295730053394,0.0,0.0,-0.0011420515709551931,0.0,0.0,-0.00044509387564932185,0.008616845303017895,0.0,-0.003622152063466068,0.00021082484951769862,0.0,0.0,0.0,0.0,-0.060208612945877024,-0.00011534236744948426,0.0,-0.000978888884513967,0.0,0.015894795430328235,0.00029542959773310243,0.0,0.0,0.0,0.0,0.036131048027180306,-0.0012880725375756827,0.0,-0.002107618466663289,0.0,0.0015088345484549803,0.0,-0.009802159208036353,0.0017840814806856183,0.0,-0.001576794071819638,0.0,0.0,0.0,0.0,0.0,0.0,-0.00836674175544333,0.0005269256045829326,-0.0005731032305157344,0.0,0.00877483156384288,-0.0008341581653940317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012186948537870293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003596986633627501,-0.0009489471289397028,0.08857222744741823,0.0,0.0,-0.0028780975718331147,0.008908384912300692,0.0
6,214,0.27969558130130423,0.009244245034021603,0.0,0.0,-0.002370330400130532,0.0014194811714870706,0.0,0.0,0.0,0.0,-0.0005454926229400924,0.0,-0.0011458653195742853,-0.005420018367818625,-0.0034001574629120334,0.0,0.0,-0.0010949169979712014,0.0,0.0,0.0,-0.028598940284641633,0.0,-0.0008274012064136968,0.0,0.0,0.0,0.0,0.0,-0.01966694617417485,0.0,0.002266487933983745,0.0,0.0,0.004720791025101607,0.0,0.0,0.0,0.0,0.0,0.004532140959190473,-0.0016693562441585771,0.0,-0.006026906395332452,0.0,0.0,0.0,-0.0060298010138857185,0.0,0.0,-0.001910389632855486,0.0,0.0,0.0,0.0,0.0,0.0,-0.011127886792808322,0.0,-0.0018764971205368242,0.0,0.003909687228277283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003801068235273567,0.0,-0.13147351732117665,0.0,0.0,-0.0007242826943605723,-0.05959015029835771,0.0
7,231,0.27969558130130423,0.027176517905464825,0.0,0.0,-0.0030912443881760503,0.0,0.0,0.0,0.0,0.0,-0.0003876062586661591,0.0,0.0,-0.009962914538358958,-0.0054506788139214,0.0,0.0,0.005175940968765105,0.0,0.0,0.0,-0.08277587041533843,0.0,-0.0013464176737271482,0.0,0.0,0.0,0.0,0.0,-0.020499598019879526,0.0,0.0,0.0,0.0,0.005826797144744657,0.0,0.0,-0.000747025332834679,0.0,0.0,-0.007408610098108383,-0.0061695771143907355,0.0,-0.008501129344094367,0.0,0.0,0.0,-0.010718711561388275,0.0,0.0,-0.00043029099983395494,0.0,0.0,0.0,0.0,0.0,0.0,-0.019593623894861023,-0.0005524639380823354,-0.0008787069650131546,0.0,0.002337122437250837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004696022841542081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037951774342805385,-0.002342418080509576,0.046912891492074664,0.0,0.0,-0.0017301410546043342,-0.12592000722845142,0.0
8,149,0.27969558130130423,0.10592625104390208,0.0,0.0,-0.0032968072418084328,-0.002357325897149413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01116887629349025,-0.0062792503466987705,0.0,0.0,-0.007599389498934161,0.0,0.0,-0.0008884818064948557,0.00451663847779195,0.0,-0.004061500032311214,-0.0003660037470853168,0.0,0.0,0.0,0.0,-0.018084165304165747,-0.001198186267861983,0.0007404122623380875,-0.0007992341007602662,0.0,0.009002707597974528,0.0,0.0,-0.0002881139935764445,0.0,0.0,-0.15682310486233578,-0.0031715591805978583,0.0,-0.0019197232609719486,0.0,0.0004615900734330793,0.0,-0.005950312008775155,0.0015227696632872522,0.0,-0.001702702915542201,0.0,0.0,0.0,0.0,0.0,0.0,-0.015667466869492535,0.0,0.0,0.0,0.0023990980078343743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011718423803555686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005128968056675135,-0.0013097343345846815,0.05582436082809283,0.0,0.0,-0.00267641178938347,0.0036722530208969095,0.0
9,27,0.27969558130130423,0.013356098197562005,0.0,0.0,-0.002521541455840538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0076210259502396075,-0.021334328104320274,0.0,0.0,-0.00464567084781148,0.0,0.0,0.0,0.0,0.0,-0.003429472941758365,0.0,0.0,0.0,0.0,0.0,0.020805931330880854,0.0,-0.0014814289220266704,0.0,0.0,0.005640009750759096,0.0,0.0,-0.0014335171448178286,0.0,0.0,-0.2576182163118346,-0.005674569567266263,0.0,-0.0032539636693118632,0.0,0.0,0.0,-0.015023060275136654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015536443182044847,-0.0016076134468415392,-0.0018190642571413018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004593602865850518,0.0,0.05396785492661868,0.0,0.0,-0.004472135047277476,0.0053123748775190105,0.0
