ClsNmCtnWeb,MtdNmCtnSend,MtdNmCtnExecut,MtdModFINAL,ClsNmCtnInput,ClsNmEndsReq,ClsNmCtnRedirect,ParamDfSiMtdRun,ParamTypCtnSql,ParamDfSiMtdDump,ParamDfSiMtdStream,MtdWritInvkd,MtdSetInvkd,MtdNmCtnHandl,ParamDfSiMtdLog,MtdModPRIVATE,ClsNmCtnManager,RtnTypResultSet,MtdExecutInvkd,ClsFINAL,ParamDfSiMtdPrint,MtdUpdatInvkd,ClsWebInvkd,MtdNmCtnLog,ParamTypCtnDb,ParamDfSiMtdExecut,MtdRunInvkd,ParamTypCtnStr,ParamDfSiMtdUpdat,MtdReplacInvkd,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,ClsLogInvkd,MtdParsInvkd,ParamTypCtnWeb,ParamDfSiMtdHandl,MtdModPUBLIC,ParamTypCtn.io.,ClsNmEndsRender,MtdNmCtnWrit,InnerCls,MtdLogInvkd,MtdNmCtnPrint,MtdPutInvkd,ClsDbInvkd,ParamTypCtnStringbuilder,ParamDfSiMtdWrit,ClsNmCtnResponse,ClsNmCtnJdbc,MtdNmStrtSet,ClsSTATIC,MtdNmCtnUpdat,MtdNmCtnRedirect,ParamDfSiMtdSet,MtdNmCtnStream,ParamDfSiMtdPut,Implicit method,Cls.io.Invkd,Cls.net.Invkd,ClsNmCtn.io.,MtdHandlInvkd,ClsNmCtnHtml,MtdNmStrtOn,ClsAnonymous,ParamTypCtnChar[],MtdNmCtnReplac,MtdPrintInvkd,ClsNmCtnNet,MtdConstructor,ParamDfSiMtdSend,MtdSendInvkd,MtdNmCtnRun,ParamTypCtnCharsequence,ParamTypCtnByte[],MtdLoneGetterOrSetter,ParamDfSiMtdPars,MtdCtnParams,MtdNmCtnDump,MtdDumpInvkd,ClsNmCtnSql,ClsPUBLIC,MtdNmCtnSetheader
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013477860913264639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00416154438571663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02294882754887461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010956557477145416,0.0,0.0,0.0,-0.007080168596216323,0.013139296610627444,0.0,0.0,-0.007603313201778823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04090756067396639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233381333022831,0.0,0.0,0.0,0.0,-0.007369327035635112,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003108921525710658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023414013665249644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011148557369253794,0.0,0.0,0.0,-0.006504519108794459,0.01170393088668087,0.0,0.0,-0.006924538923986445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0392000275296402,0.0,0.0,0.0,0.0,-0.002574375994770395,0.0,0.0,-0.040206138672739145,0.0,0.0,0.0,0.0,0.8545491345729647,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005158475773643645,0.0,0.0,0.0,0.0,0.0,-0.002939269567934296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025071379623437663,0.0,0.0,-0.009705243372379472,0.0,0.0,0.0,-0.005176839071170833,-0.10865308970603603,0.0,0.0,-0.006145101392785252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03856492814046994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03816104633610772,0.0,0.0,0.0,0.0,-0.007631496873408354,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00483308336577806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012425250812060676,0.0,0.0,0.0,0.0,-0.0008861730906071785,0.0,0.0,-0.02141111300638326,0.0,0.0,0.0,-0.013225448867620787,0.0,0.0,0.0,-0.015336378097228051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08002664946091208,0.0,0.0,0.0,0.0,-0.0026953374587348556,0.0,0.0,-0.0792136345876134,0.0,0.0,0.0,0.0,-0.014797432877183034,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033987710949835966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025389361512808385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010944771991669454,0.0,0.0,0.0,-0.006817830659995132,0.013134083433319824,0.0,0.0,0.8521494046086227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038678897938890434,0.0,0.0,0.0,0.0,-0.0021024557854791848,0.0,0.0,-0.04028917690392613,0.0,0.0,0.0,0.0,-0.008440945179807013,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44957765909046327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5089675519755258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017000581919300418,0.0,0.0,0.0,-0.006078800305268768,0.0,0.0,0.0,-0.004984301611391215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004627317175619505,0.0,0.0,0.0,0.0,0.0,0.0,-0.06594929248529115,0.0,0.0,0.0,0.0,0.0,0.0,-0.003576546251540441,-0.0502540732681669,0.0,0.0,0.0,0.0,-0.008139194098359122,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006052681745845923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01196478209800224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02231017617850771,0.0,0.0,0.0,-0.013970725237553711,0.006044305398631933,0.0,0.0,-0.015963030304795543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08001016538817197,0.0,0.0,0.0,0.0,-0.003588749731756325,0.0,0.0,-0.0801173483916142,0.0,0.0,0.0,0.0,-0.01599621051838881,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014172518090386471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019731101891607213,0.0,0.0,0.0,0.44123826454630216,-0.5145444992354554,0.0,0.0,-0.010342591428051828,0.0,0.0,0.0,-0.004685925317490874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06211802041818973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048823474230766536,0.0,0.0,0.0,0.0,-0.010626786483338469,-0.004538383631788609,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028457642362457866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02307649493748037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010634162441552781,0.0,0.0,0.0,-0.007959110268309975,0.0118519840217189,0.0,0.0,-0.007141667654401395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04018006784355479,0.0,0.0,0.0,0.0,-0.0013144343640022482,0.0,0.0,0.8227568196394295,0.0,0.0,0.0,0.0,-0.007610091790561666,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006030632298693406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011861525530428756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022260266888192565,0.0,0.0,0.0,-0.014344205893404016,0.005679166565399907,0.0,0.0,-0.016122839543205758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07991607331920242,0.0,0.0,0.0,0.0,-0.0026294392399487825,0.0,0.0,-0.08015795223602458,0.0,0.0,0.0,0.0,-0.016079282677157178,0.0,0.0
