Feature,LocalShapValAgg
ClsNmCtnWeb,0.0
MtdModFINAL,3.797367321969751e-06
ParamTypCtnSql,0.004072466441907558
MtdNmCtnName,3.6000512376404082e-06
MtdNmCtnDecod,0.0
ClsNmCtnOutput,0.0
SoMtdRtnGet,0.0
SoMtdRtnRequest,0.0
MtdModPRIVATE,2.657737728513191e-06
ClsNmCtnManager,0.0
MtdNmCtnUnescap,0.0
ClsFINAL,5.704247731661229e-06
MtdCreatInvkd,3.0576342048545683e-06
SoMtdRtnLoad,0.0
ClsWebInvkd,0.005242940353358849
ParamTypCtnDb,0.0
MtdCtnParams,0.428215561498756
ParamTypCtnStr,6.33045001474481e-06
RtnTypConstant,7.72619112026157e-06
MtdNmCtnCreat,6.295265835513031e-06
MtdNmCtnPars,1.4778288719752497e-06
ClsNmCtnSecurity,0.0
MtdModSTATIC,6.93168549753302e-06
ClsSqlInvkd,0.0021436760411480114
MtdNmCtnRequest,0.0
RtnTypByte[],0.0
ParamTypCtnWeb,0.0
MtdModPUBLIC,6.643056213950342e-06
ParamTypCtn.io.,0.019824626579601885
MtdDecodInvkd,0.0
MtdOutputInvkd,0.0
InnerCls,0.0
RtnTypServlet,0.0
MtdNmCtnReadNotThread,6.7671375828090725e-06
ClsDbInvkd,0.05058411280646055
ClsSTATIC,0.0
MtdNmCtnRetriev,0.0
MtdGetInvkd,5.400193984025276e-06
MtdNmStrtGet,0.0
MtdNmCtnStream,1.7637922614799847e-06
ImplicitMtd,0.0
Cls.io.Invkd,4.465734060303409e-06
Cls.net.Invkd,4.242571974393731e-06
SoMtdRtnCreate,0.0
ClsNmCtn.io.,0.0
MtdNmCtnObject,3.5599296583487343e-06
RtnTypCharSequence,0.0
MtdRequestInvkd,0.0
ClsNmCtnHtml,0.0
ClsAnonymous,0.0
ParamTypCtnChar[],0.0
RtnTypStr,7.75415704508738e-06
SoMtdRtnUnescape,0.0
MtdUnescapInvkd,0.0
SoMtdRtnRead,0.0
RtnTypDocument,4.770749033039122e-06
RtnTypNode,0.0
ClsNmCtn.net.,0.0
MtdReadInvkd,3.622112226216609e-06
MtdConstructor,0.0
RtnTypRequest,0.0
MtdNmCtnLoadNotPayload,7.903697279355063e-06
ParamTypCtnCharsequence,0.0
MtdLoadInvkd,4.042775727168288e-06
ParamTypCtnByte[],0.0
SoMtdRtnDecode,0.0
ClsNmCtnSql,0.0040813638681071575
ClsPUBLIC,2.6896300462004863e-06
