row,dataset_row,base_value,prediction,ClsNmCtnWeb,MtdModFINAL,ParamTypCtnSql,MtdNmCtnName,MtdNmCtnDecod,ClsNmCtnOutput,SoMtdRtnGet,SoMtdRtnRequest,MtdModPRIVATE,ClsNmCtnManager,MtdNmCtnUnescap,ClsFINAL,MtdCreatInvkd,SoMtdRtnLoad,ClsWebInvkd,ParamTypCtnDb,MtdCtnParams,ParamTypCtnStr,RtnTypConstant,MtdNmCtnCreat,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,MtdNmCtnRequest,RtnTypByte[],ParamTypCtnWeb,MtdModPUBLIC,ParamTypCtn.io.,MtdDecodInvkd,MtdOutputInvkd,InnerCls,RtnTypServlet,MtdNmCtnReadNotThread,ClsDbInvkd,ClsSTATIC,MtdNmCtnRetriev,MtdGetInvkd,MtdNmStrtGet,MtdNmCtnStream,ImplicitMtd,Cls.io.Invkd,Cls.net.Invkd,SoMtdRtnCreate,ClsNmCtn.io.,MtdNmCtnObject,RtnTypCharSequence,MtdRequestInvkd,ClsNmCtnHtml,ClsAnonymous,ParamTypCtnChar[],RtnTypStr,SoMtdRtnUnescape,MtdUnescapInvkd,SoMtdRtnRead,RtnTypDocument,RtnTypNode,ClsNmCtn.net.,MtdReadInvkd,MtdConstructor,RtnTypRequest,MtdNmCtnLoadNotPayload,ParamTypCtnCharsequence,MtdLoadInvkd,ParamTypCtnByte[],SoMtdRtnDecode,ClsNmCtnSql,ClsPUBLIC
0,71,0.6000000000000001,0.0,0.0,0.0,0.0006222110368238284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004092319153984531,0.0,-0.6140532006020298,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012733727327458174,0.0,0.0,0.0,0.0,0.0039963899577814925,0.0,0.0,0.0,0.0,0.0,0.014010834286916189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007894572072386641,0.0
1,187,0.6000000000000001,0.0,0.0,0.0,0.0005939162205564688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003898198350613723,0.0,-0.6138672681682004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013003786277139336,0.0,0.0,0.0,0.0,0.004061767117421741,0.0,0.0,0.0,0.0,0.0,0.013843437812876053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005667239956737014,0.0
2,70,0.6000000000000001,1.0,0.0,0.0,0.0031077529476856575,0.00016234973495585762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018816258066165648,0.0,0.3485670238247125,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009932761738730511,0.0,0.0,0.0,0.0,0.01423058608002238,0.0,0.0,0.0,0.0,0.0,0.033903593194299184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004124909612820413,0.0,0.0,0.0002103394415255166,0.0,0.0,0.0,0.0,0.003105747718570473,0.0
3,236,0.6000000000000001,1.0,0.0,0.0,0.0027388417141441888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019486683874664588,0.0,0.3488358540057048,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009130761157301904,0.0,0.0,0.0,0.0,0.014166733423403839,0.0,0.0,0.0,0.0,0.0,0.033990208466922606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031301068930210674,0.0
4,135,0.6000000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036687055561717475,0.0,0.17087786289812198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007123368310896119,0.0,0.0,0.0,0.0,0.0,-0.7743325256528464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,203,0.6000000000000001,0.0,0.0,0.0,0.0007024518434492567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00395053894697055,0.0,-0.6142298179593254,0.0,0.0,0.0,0.0,0.0,0.0,-0.001302339928369599,0.0,0.0,0.0,0.0,0.003905263761880284,0.0,0.0,0.0,0.0,0.0,0.014174515952676887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007004652766590125,0.0
6,214,0.6000000000000001,1.0,0.0,0.0,0.0029342442871127276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002334667765922046,0.0,-0.002085543916247124,0.0,0.34900201382748436,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010285831890986742,0.0,0.0,0.0,0.0,0.01396245532720642,0.0,0.0,0.0,0.0,0.0,0.033979129509074044,0.0,0.0,0.0,0.0,0.0,0.0,0.00016259857109434918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028402188067815914,0.0
7,231,0.6000000000000001,1.0,0.0,0.0,0.002903031271488006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020773622705871075,0.0,0.34901161916261353,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010458437363389888,0.0,0.0,0.0,0.0,0.01388553214107076,0.0,0.0,0.0,0.0,0.0,0.034007773292302916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003078040380883023,0.00023720975856778015
8,149,0.6000000000000001,1.0,0.0,0.0,0.0031006152276653945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00195401538095782,0.0,0.3489883126508146,0.0,0.0,0.0,0.0,0.0,0.0,-0.001110387383753175,0.0,0.0,0.0,0.0,0.014027371090145348,0.0,0.0,0.0,0.0,0.0,0.03378817810454667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003159925691538945,0.0
9,27,0.6000000000000001,1.1102230246251565e-16,0.0,0.0,0.0007050363642736195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004014472308528513,0.0,-0.6139377978970101,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012831510634276505,0.0,0.0,0.0,0.0,0.004084921641501144,0.0,0.0,0.0,0.0,0.0,0.013962117275568784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048334598762278524,0.0
