@relation 'weka-code-br-v6:-C 25'

@attribute 'RtnTypUser'  {false,true}
@attribute 'ClsNmCtnBind'  {false,true}
@attribute 'ClsNmCtnCredential'  {false,true}
@attribute 'MtdNmCtnRole'  {false,true}
@attribute 'ClsAnonymous'  {false,true}
@attribute 'MtdNmCtnLogout'  {false,true}
@attribute 'MtdNmCtnConnect'  {false,true}
@attribute 'ParamTypCtnStr'  {false,true}
@attribute 'MtdLogoutInvkd'  {false,true}
@attribute 'MtdNmCtnDisconnect'  {false,true}
@attribute 'ParamTypEqRtnTyp'  {false,true}
@attribute 'MtdAuthoriInvkd'  {false,true}
@attribute 'MtdNmCtnLogin'  {false,true}
@attribute 'ClsNmCtnConnect'  {false,true}
@attribute 'MtdLoginInvkd'  {false,true}
@attribute 'MtdConstructor'  {false,true}
@attribute 'ImplicitMtd'  {false,true}
@attribute 'ClsEndEncoder'  {false,true}
@attribute 'MtdAuthenInvkd'  {false,true}
@attribute 'ParamTypCtnCredential'  {false,true}
@attribute 'ClsNmCtnUser'  {false,true}
@attribute 'RtnTypCredential'  {false,true}
@attribute 'MtdCredentialInvkd'  {false,true}
@attribute 'MtdNmCtnAuthori'  {false,true}
@attribute 'InnerCls'  {false,true}
@attribute CWE862 {0,1}

@data
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,1
false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0
