@relation 'weka-code-br-v6:-C 84'

@attribute '<P_c_web>' {true,false}
@attribute '<P_c_.io.>' {true,false}
@attribute '<P_f_M_c_execut>' {true,false}
@attribute '<C_e_Request>' {true,false}
@attribute '<P_c_char[]>' {true,false}
@attribute '<M_c_put_i>' {true,false}
@attribute '<C_c_.io._i>' {true,false}
@attribute '<P_f_M_c_print>' {true,false}
@attribute '<M_c_dump_i>' {true,false}
@attribute '<M_c_print_i>' {true,false}
@attribute '<M_c_execut_i>' {true,false}
@attribute '<C_c_db_i>' {true,false}
@attribute '<Method is lone getter or setter>' {true,false}
@attribute '<M_c_stream>' {true,false}
@attribute '<M_c_redirect>' {true,false}
@attribute '<P_f_M_c_set>' {true,false}
@attribute '<M_c_pars>' {true,false}
@attribute '<M_s_set>' {true,false}
@attribute '<M_c_execut>' {true,false}
@attribute '<C_anonymous>' {true,false}
@attribute '<M_c_run_i>' {true,false}
@attribute '<M_c_pars_i>' {true,false}
@attribute '<MM_STATIC>' {true,false}
@attribute '<MM_PUBLIC>' {true,false}
@attribute '<C_c_html>' {true,false}
@attribute '<P_f_M_c_stream>' {true,false}
@attribute '<C_c_jdbc>' {true,false}
@attribute '<P_f_M_c_writ>' {true,false}
@attribute '<P_c_java.lang.stringbuilder>' {true,false}
@attribute '<M_c_updat_i>' {true,false}
@attribute '<M_c_writ>' {true,false}
@attribute '<P_f_M_c_run>' {true,false}
@attribute '<M_c_set_i>' {true,false}
@attribute '<C_c_sql>' {true,false}
@attribute '<MM_FINAL>' {true,false}
@attribute '<M_c_print>' {true,false}
@attribute '<P_c_byte[]>' {true,false}
@attribute '<M_c_replac>' {true,false}
@attribute '<P_f_M_c_handl>' {true,false}
@attribute '<M_s_on and R_void/bool>' {true,false}
@attribute '<R_java.sql.ResultSet>' {true,false}
@attribute '<M_c_log>' {true,false}
@attribute '<C_c_input>' {true,false}
@attribute '<C_e_Render>' {true,false}
@attribute '<P_c_java.lang.charsequence>' {true,false}
@attribute '<CM_STATIC>' {true,false}
@attribute '<C_c_web>' {true,false}
@attribute '<C_c_sql_i>' {true,false}
@attribute '<Inner_Class>' {true,false}
@attribute '<M_c_handl>' {true,false}
@attribute '<P_f_M_c_dump>' {true,false}
@attribute '<C_c_Log._i>' {true,false}
@attribute '<M_c_send_i>' {true,false}
@attribute '<C_c_response>' {true,false}
@attribute '<CM_PUBLIC>' {true,false}
@attribute '<C_c_.net.>' {true,false}
@attribute '<P_f_M_c_put>' {true,false}
@attribute '<M_c_log_i>' {true,false}
@attribute '<M_c_send>' {true,false}
@attribute '<M_c_setheader>' {true,false}
@attribute '<P_c_sql>' {true,false}
@attribute '<C_c_security>' {true,false}
@attribute '<P_f_M_c_send>' {true,false}
@attribute '<MM_PRIVATE>' {true,false}
@attribute '<M_c_updat>' {true,false}
@attribute '<M_c_dump>' {true,false}
@attribute '<P_f_M_c_log>' {true,false}
@attribute '<C_c_manager>' {true,false}
@attribute '<CM_FINAL>' {true,false}
@attribute '<P_c_db>' {true,false}
@attribute '<C_c_redirect>' {true,false}
@attribute '<P_f_M_c_pars>' {true,false}
@attribute '<Implicit method>' {true,false}
@attribute '<C_c_.net._i>' {true,false}
@attribute '<M_c_replac_i>' {true,false}
@attribute '<Method is constructor>' {true,false}
@attribute '<P_c_java.lang.string>' {true,false}
@attribute '<C_c_.io.>' {true,false}
@attribute '<C_c_web_i>' {true,false}
@attribute '<M_c_run>' {true,false}
@attribute '<M_c_writ_i>' {true,false}
@attribute '<M_c_handl_i>' {true,false}
@attribute '<P_f_M_c_updat>' {true,false}
@attribute '<M_h_params>' {true,false}
@attribute sink {0,1}

@data
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0
false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,1
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,1
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,1
false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,1
false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,0
false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,1
